Orthogroup	MFC_MF18_genes	MHP_KM014_genes
OG0000000	DR082_RS03455	CIB43_RS02600
OG0000001	DR082_RS00825, DR082_RS00820	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670
OG0000002	DR082_RS03830	CIB43_RS02610
OG0000004	DR082_RS01625	CIB43_RS00110
OG0000007	DR082_RS02890	CIB43_RS03095
OG0000007	DR082_RS02895	CIB43_RS03080
OG0000007	DR082_RS03930	CIB43_RS03075
OG0000011	DR082_RS03895, DR082_RS03545	CIB43_RS02845, CIB43_RS02850
OG0000014	DR082_RS03685	CIB43_RS01485, CIB43_RS01955
OG0000016	DR082_RS00770	CIB43_RS03755
OG0000017	DR082_RS00175	CIB43_RS00855
OG0000017	DR082_RS00760	CIB43_RS03765
OG0000018	DR082_RS03790	CIB43_RS01250, CIB43_RS01185
OG0000020	DR082_RS03845	CIB43_RS00635
OG0000022	DR082_RS03835	CIB43_RS02590
OG0000023	DR082_RS02000	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195
OG0000024	DR082_RS00830	CIB43_RS02140
OG0000025	DR082_RS02390	CIB43_RS02585
OG0000026	DR082_RS02045	CIB43_RS02565
OG0000027	DR082_RS03875	CIB43_RS00440
OG0000028	DR082_RS01105	CIB43_RS03340
OG0000030	DR082_RS03880	CIB43_RS00435
OG0000031	DR082_RS01195	CIB43_RS01295, CIB43_RS00065
OG0000039	DR082_RS00665	CIB43_RS02500
OG0000042	DR082_RS00660, DR082_RS00805	CIB43_RS03855
OG0000043	DR082_RS02595	CIB43_RS00070
OG0000045	DR082_RS03225, DR082_RS03230	CIB43_RS02520
OG0000047	DR082_RS00835	CIB43_RS01205, CIB43_RS00045
OG0000048	DR082_RS03010, DR082_RS02750	CIB43_RS02995
OG0000051	DR082_RS01520	CIB43_RS03575
OG0000052	DR082_RS03660	CIB43_RS00775
OG0000053	DR082_RS03920	CIB43_RS02315
OG0000054	DR082_RS01135	CIB43_RS03395
OG0000055	DR082_RS03970	CIB43_RS00835
OG0000056	DR082_RS02415	CIB43_RS00630, CIB43_RS03960
OG0000057	DR082_RS00685	CIB43_RS03840
OG0000062	DR082_RS00025	CIB43_RS00675
OG0000063	DR082_RS00020	CIB43_RS00660
OG0000064	DR082_RS00010	CIB43_RS00650
