Orthogroup	MFC_MF18_genes	MFC_ATCC27716_genes
OG0000000	DR082_RS03155	MFC_RS01410
OG0000000	DR082_RS03150	MFC_RS00010
OG0000000	DR082_RS03455	MFC_RS00365
OG0000001	DR082_RS00825, DR082_RS00820	MFC_RS03350
OG0000002	DR082_RS02685	MFC_RS03355
OG0000002	DR082_RS03795	MFC_RS00395
OG0000002	DR082_RS02920	MFC_RS02940
OG0000002	DR082_RS03830	MFC_RS00370
OG0000003	DR082_RS03925	MFC_RS02995
OG0000004	DR082_RS01625	MFC_RS00155
OG0000007	DR082_RS02890	MFC_RS02975
OG0000007	DR082_RS02895	MFC_RS02970
OG0000007	DR082_RS03930	MFC_RS02965
OG0000011	DR082_RS03895	MFC_RS03510
OG0000011	DR082_RS03545	MFC_RS03505
OG0000011	DR082_RS02625	MFC_RS01350
OG0000013	DR082_RS01090	MFC_RS03175
OG0000013	DR082_RS01085	MFC_RS02880
OG0000013	DR082_RS03095	MFC_RS03420
OG0000014	DR082_RS03685	MFC_RS00870
OG0000016	DR082_RS00770	MFC_RS01050
OG0000016	DR082_RS00190	MFC_RS02390
OG0000017	DR082_RS00175	MFC_RS03155
OG0000017	DR082_RS00760	MFC_RS01040
OG0000018	DR082_RS03790	MFC_RS00540
OG0000019	DR082_RS03120	MFC_RS03000
OG0000020	DR082_RS03840	MFC_RS00305
OG0000020	DR082_RS03845	MFC_RS00300
OG0000022	DR082_RS03835	MFC_RS00360
OG0000023	DR082_RS02000	MFC_RS00535, MFC_RS01695
OG0000024	DR082_RS00830	MFC_RS01110
OG0000025	DR082_RS02390	MFC_RS00355
OG0000026	DR082_RS02045	MFC_RS00580
OG0000027	DR082_RS03875	MFC_RS02850
OG0000028	DR082_RS01105	MFC_RS01205, MFC_RS01200
OG0000029	DR082_RS00605	MFC_RS00875
OG0000030	DR082_RS03880	MFC_RS02855
OG0000031	DR082_RS01195	MFC_RS01295
OG0000032	DR082_RS02570	MFC_RS02685, MFC_RS02860
OG0000033	DR082_RS01110	MFC_RS01210
OG0000039	DR082_RS00665	MFC_RS03135, MFC_RS00935
OG0000040	DR082_RS01855	MFC_RS01640
OG0000040	DR082_RS00885	MFC_RS01165
OG0000042	DR082_RS00660	MFC_RS00930
OG0000042	DR082_RS00805	MFC_RS01085
OG0000043	DR082_RS02595	MFC_RS01320
OG0000045	DR082_RS03225, DR082_RS03230	MFC_RS00950
OG0000047	DR082_RS00835	MFC_RS03280
OG0000048	DR082_RS03010, DR082_RS02750	MFC_RS00140
