Orthogroup	MHP_UFV01_proteins	MHP_4284_proteins
OG0000000	WP_243216234.1	WP_406823103.1
OG0000000	WP_243216171.1	WP_406823110.1
OG0000000	WP_243216097.1	WP_406823272.1
OG0000001	WP_243216044.1	WP_406823250.1
OG0000001	WP_228365393.1	WP_240536609.1
OG0000001	WP_243216277.1	WP_406823154.1
OG0000002	WP_237697200.1	WP_258555377.1
OG0000002	WP_243216173.1	WP_406823109.1
OG0000002	WP_243216098.1	WP_406823273.1
OG0000003	WP_233688742.1	WP_406823275.1
OG0000003	WP_243216179.1	WP_406823104.1
OG0000004	WP_243216334.1	WP_406823181.1
OG0000004	WP_233688544.1	WP_406823184.1
OG0000005	WP_233688595.1	WP_406823208.1
OG0000005	WP_243215929.1	WP_348571918.1
OG0000005	WP_243215923.1	WP_146379450.1
OG0000005	WP_243215926.1	WP_406823209.1
OG0000005	WP_011289946.1	WP_406823210.1
OG0000006	WP_243216200.1	WP_225972978.1
OG0000007	WP_243216178.1	WP_011284157.1
OG0000007	WP_243216175.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_243216199.1	WP_406823102.1
OG0000008	WP_243216076.1	WP_406823264.1
OG0000008	WP_243216238.1	WP_406823131.1
OG0000009	WP_243215989.1	WP_146379497.1
OG0000010	WP_243216127.1	WP_406823282.1
OG0000011	WP_160587900.1	WP_406823289.1
OG0000011	WP_243216150.1	WP_406823288.1
OG0000012	WP_243216349.1	WP_081450695.1
OG0000013	WP_243216215.1	WP_406823122.1
OG0000014	WP_243215979.1	WP_406823229.1
OG0000014	WP_308705305.1	WP_406823237.1
OG0000016	WP_243216292.1	WP_020835836.1
OG0000016	WP_243215935.1	WP_406823211.1
OG0000017	WP_243215933.1	WP_020835500.1
OG0000017	WP_243216293.1	WP_020835837.1
OG0000020	WP_243215897.1	WP_406823202.1
OG0000020	WP_279288053.1	WP_406823203.1
OG0000021	WP_014579781.1	WP_348602819.1
OG0000022	WP_243216081.1	WP_406823266.1
OG0000022	WP_243216096.1	WP_406823271.1
OG0000023	WP_243216049.1, WP_243216102.1	WP_044272391.1
OG0000024	WP_243216276.1	WP_406823153.1
OG0000024	WP_243216040.1	WP_406823249.1
OG0000025	WP_243216083.1	WP_160607943.1
OG0000025	WP_243216095.1	WP_160606775.1
OG0000026	WP_044284614.1	WP_044284614.1
OG0000026	WP_243216092.1	WP_406823270.1
OG0000027	WP_243215859.1	WP_406823196.1
OG0000029	WP_243216007.1	WP_406823230.1
OG0000030	WP_243215857.1	WP_240536353.1
OG0000034	WP_233688423.1	WP_406823106.1
OG0000035	WP_179695901.1	WP_406823183.1
OG0000036	WP_011205863.1	WP_020835495.1
OG0000036	WP_243215930.1	WP_348571921.1
OG0000038	WP_243216117.1	WP_406823274.1
OG0000039	WP_179221095.1	WP_406823260.1, WP_406823259.1
OG0000040	WP_044272644.1	WP_406823189.1
OG0000042	WP_243216302.1	WP_406823168.1
OG0000043	WP_243216144.1, WP_243216108.1	WP_014579804.1
OG0000044	WP_081430780.1	WP_081430780.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_243216072.1, WP_243216073.1	WP_406823261.1
OG0000048	WP_243216169.1	WP_011290213.1
OG0000049	WP_011290363.1	WP_020835860.1
OG0000050	WP_044272534.1	WP_406823126.1
OG0000051	WP_243216261.1	WP_406823144.1
OG0000052	WP_094521536.1	WP_011289937.1
OG0000053	WP_243216057.1	WP_406823255.1
OG0000054	WP_243216226.1	WP_348602541.1
OG0000055	WP_011205867.1	WP_348571923.1
OG0000056	WP_243215894.1	WP_348571887.1
OG0000057	WP_011290343.1	WP_020835847.1
OG0000060	WP_243216026.1	WP_348602763.1
OG0000061	WP_044284624.1	WP_135618818.1
OG0000062	WP_094521530.1	WP_011206522.1
OG0000063	WP_011206521.1	WP_406823204.1
OG0000064	WP_160615736.1	WP_011290440.1
OG0000065	WP_160601112.1	WP_225972975.1
OG0000066	WP_243216052.1	WP_011205965.1
OG0000067	WP_243215973.1	WP_406823225.1
OG0000068	WP_011206103.1	WP_160587949.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_348602542.1
OG0000071	WP_044272640.1	WP_406823187.1
OG0000072	WP_243216342.1	WP_406823188.1
OG0000073	WP_011206093.1	WP_011290025.1
OG0000074	WP_014579624.1	WP_348571983.1
OG0000075	WP_243215955.1	WP_014579568.1
OG0000076	WP_243215957.1	WP_146379475.1
OG0000077	WP_243215965.1	WP_406823222.1
OG0000078	WP_243216087.1	WP_406823268.1
OG0000079	WP_233688475.1	WP_020835797.1
OG0000080	WP_179695988.1	WP_406823141.1
OG0000081	WP_243215952.1	WP_406823218.1
OG0000082	WP_243216212.1	WP_406823121.1
OG0000083	WP_014579823.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_243216165.1	WP_011206223.1
OG0000086	WP_243216167.1	WP_406823091.1
OG0000087	WP_044272477.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_406823093.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_011283835.1	WP_094521535.1
