Orthogroup	MHP_KM014_proteins	MFC_Ms42_proteins
OG0000000	WP_039387598.1	WP_039387598.1
OG0000000	WP_157696719.1	WP_318023901.1
OG0000001	WP_094521767.1, WP_011206352.1, WP_094521729.1	WP_002557631.1
OG0000002	WP_011284160.1, WP_011206235.1	WP_002557507.1
OG0000002	WP_094521652.1	WP_002557503.1
OG0000004	WP_094521753.1	WP_236681778.1, WP_236681779.1
OG0000007	WP_011284157.1	WP_002557994.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000011	WP_094521774.1, WP_094521674.1	WP_039387561.1
OG0000014	WP_094521578.1, WP_094521602.1	WP_002557587.1
OG0000015	WP_094521488.1	WP_039387716.1
OG0000016	WP_094521736.1	WP_002557621.1
OG0000017	WP_020835500.1	WP_002557881.1
OG0000017	WP_020835837.1	WP_144245598.1
OG0000018	WP_094521567.1, WP_094521560.1	WP_002557538.1
OG0000019	WP_094521748.1, WP_094521749.1	WP_039387667.1
OG0000020	WP_094521756.1	WP_002557490.1
OG0000022	WP_094521650.1	WP_002557501.1
OG0000023	WP_094521566.1, WP_094521562.1	WP_002557747.1
OG0000024	WP_094521619.1	WP_236681781.1
OG0000025	WP_094521649.1	WP_002557500.1
OG0000026	WP_094521646.1	WP_002557545.1
OG0000027	WP_094521515.1	WP_002557970.1
OG0000028	WP_094521713.1	WP_002557653.1, WP_040538377.1
OG0000030	WP_020835904.1	WP_002557971.1
OG0000031	WP_088172525.1, WP_011290238.1	WP_002557676.1
OG0000037	WP_094521640.1	WP_082019631.1
OG0000039	WP_094521643.1	WP_160609261.1, WP_002557597.1
OG0000042	WP_094521741.1	WP_002557596.1, WP_002557628.1
OG0000043	WP_011290239.1	WP_002557679.1
OG0000045	WP_094521771.1	WP_002557601.1
OG0000047	WP_094521491.1	WP_155897261.1
OG0000048	WP_011284150.1	WP_039387763.1
OG0000051	WP_094521726.1	WP_002557852.1
OG0000052	WP_094521536.1	WP_002557464.1
OG0000053	WP_094521633.1	WP_002557561.1
OG0000054	WP_011206291.1	WP_002557665.1
OG0000055	WP_011205867.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_157696708.1, WP_157696707.1	WP_081605276.1
OG0000057	WP_094521783.1	WP_231237864.1
OG0000062	WP_094521530.1	WP_002557486.1
OG0000063	WP_094521529.1	WP_002557487.1
OG0000064	WP_011290440.1	WP_002557489.1
OG0000065	WP_011290219.1	WP_002557517.1
OG0000067	WP_094521575.1	WP_002557573.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011206373.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_094521512.1	WP_002557736.1
OG0000072	WP_094521513.1	WP_002557737.1
OG0000073	WP_011206093.1	WP_039387630.1
OG0000075	WP_094521552.1	WP_002557918.1
OG0000077	WP_094521763.1	WP_002557937.1
OG0000078	WP_094521645.1	WP_002557996.1
OG0000079	WP_011206305.1	WP_002558020.1
OG0000080	WP_014579900.1	WP_002558011.1, WP_196792423.1
OG0000081	WP_094521551.1	WP_039387493.1
OG0000082	WP_094521707.1	WP_231237888.1
OG0000083	WP_094521681.1	WP_002557446.1
OG0000084	WP_011284142.1	WP_002557451.1
OG0000086	WP_094521683.1	WP_002557454.1
OG0000087	WP_094521684.1	WP_236681783.1
OG0000088	WP_044272480.1	WP_002557458.1
OG0000089	WP_011206231.1	WP_002557461.1
OG0000090	WP_094521535.1	WP_002557465.1
OG0000091	WP_020835487.1	WP_002557468.1
