Orthogroup	MHP_KM014_proteins	MHP_J_proteins
OG0000000	WP_094521687.1	WP_202793361.1
OG0000000	WP_094521686.1	WP_044284650.1
OG0000000	WP_157696714.1, WP_157696719.1	WP_044284630.1
OG0000001	WP_094521767.1	WP_237697234.1
OG0000001	WP_011206352.1	WP_228365393.1
OG0000001	WP_094521729.1	WP_237697212.1, WP_011206342.1
OG0000002	WP_011284160.1	WP_237697200.1
OG0000002	WP_094521652.1	WP_011284083.1
OG0000003	WP_094521666.1	WP_148166899.1
OG0000004	WP_094521510.1	WP_044284712.1
OG0000004	WP_044284710.1	WP_044284710.1
OG0000004	WP_094521753.1	WP_237697215.1
OG0000005	WP_094521539.1	WP_011283839.1
OG0000006	WP_041361789.1	WP_237697209.1, WP_044284675.1
OG0000006	WP_094521717.1	WP_148166905.1, WP_225972978.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_044284652.1
OG0000008	WP_094521776.1	WP_011284180.1
OG0000009	WP_094521581.1	WP_011283921.1
OG0000010	WP_094521667.1	WP_011284107.1
OG0000010	WP_094521538.1	WP_228365400.1
OG0000011	WP_094521674.1	WP_011284124.1
OG0000012	WP_094521543.1, WP_094521638.1, WP_094521670.1	WP_011284103.1
OG0000014	WP_094521602.1	WP_011283980.1
OG0000016	WP_094521736.1	WP_011206378.1
OG0000017	WP_020835500.1	WP_011205870.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_094521567.1, WP_094521560.1	WP_044284613.1
OG0000020	WP_094521756.1	WP_269076327.1
OG0000021	WP_094521655.1	WP_044277959.1
OG0000022	WP_094521650.1	WP_011284082.1
OG0000024	WP_094521619.1	WP_011284011.1
OG0000025	WP_094521649.1	WP_011284081.1
OG0000026	WP_094521646.1	WP_011284078.1
OG0000027	WP_094521515.1	WP_044284725.1
OG0000028	WP_094521713.1	WP_044284666.1, WP_044284667.1
OG0000030	WP_020835904.1	WP_044284724.1
OG0000035	WP_094521509.1	WP_044284711.1
OG0000035	WP_094521508.1	WP_044284709.1
OG0000036	WP_044284813.1	WP_237697225.1
OG0000037	WP_094521641.1, WP_094521640.1	WP_044284625.1
OG0000038	WP_094521654.1	WP_044284582.1, WP_044284633.1
OG0000039	WP_094521643.1	WP_011284065.1
OG0000041	WP_011206099.1	WP_011206099.1
OG0000042	WP_094521741.1	WP_044284695.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_011290239.1	WP_014579804.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_094521771.1	WP_225973032.1
OG0000048	WP_011284150.1	WP_011284150.1
