Orthogroup	Species	MHP_REF_protein	Orthologs
OG0000000	MFC_MF33_protein	WP_044272461.1	WP_220190083.1, WP_002557520.1, WP_308704744.1, WP_220190082.1
OG0000000	MFC_MF11_protein	WP_044272461.1	WP_220190834.1, WP_002557520.1, WP_308705399.1
OG0000000	MFC_MF22_protein	WP_044272461.1	WP_220190244.1, WP_160583943.1, WP_160584052.1
OG0000000	MFC_MF18_protein	WP_044272461.1	WP_220190244.1, WP_160583943.1, WP_308507119.1, WP_220190416.1
OG0000000	MFC_MF29_protein	WP_044272461.1	WP_308704663.1, WP_002557520.1, WP_258555793.1, WP_220200593.1
OG0000000	MFC_ATCC27716_protein	WP_044272461.1	WP_039387558.1, WP_002557520.1, WP_002557686.1, WP_002557687.1
OG0000000	MFC_MS42_protein	WP_044272461.1	WP_039387558.1, WP_002557520.1, WP_039387561.1
OG0000000	MFC_MF30_protein	WP_044272461.1	WP_160605420.1, WP_160583943.1, WP_160605422.1
OG0000000	MHP_98_protein	WP_044272461.1	WP_179696099.1, WP_220200503.1, WP_179696098.1
OG0000000	MHP_168_protein	WP_044272461.1	WP_014579809.1, WP_014579826.1, WP_044278002.1, WP_011284124.1
OG0000000	MHP_168L_protein	WP_044272461.1	WP_014579809.1, WP_014579826.1, WP_233417363.1, WP_081632348.1
OG0000000	MHP_TB1_protein	WP_044272461.1	WP_014579809.1, WP_014579826.1, WP_252862134.1, WP_088764586.1
OG0000000	MHP_J_protein	WP_044272461.1	WP_044284646.1, WP_014579826.1, WP_044278002.1, WP_011284124.1
OG0000000	MHP_UFV01_protein	WP_044272461.1	WP_243216150.1, WP_243216186.1, WP_160587900.1
OG0000000	MHP_UFV02_protein	WP_044272461.1	WP_243216150.1, WP_243216186.1, WP_160587900.1
OG0000000	MHP_MHP650_protein	WP_044272461.1	WP_160600904.1, WP_160601110.1, WP_160600906.1
OG0000000	MHP_NCTC10127_protein	WP_044272461.1	WP_011206201.1, WP_044284797.1, WP_011206202.1
OG0000000	MHP_232_protein	WP_044272461.1	WP_011206201.1, WP_044284797.1, WP_011206202.1
OG0000000	MHP_11_protein	WP_044272461.1	WP_088172557.1, WP_044284797.1, WP_011206202.1
OG0000000	MHP_ES2_protein	WP_044272461.1	WP_135618832.1, WP_014579826.1, WP_240536403.1, WP_135618836.1
OG0000000	MHP_LH_protein	WP_044272461.1	WP_233688756.1, WP_233688434.1, WP_233688757.1
OG0000000	MHP_MHP653_protein	WP_044272461.1	WP_160615548.1, WP_146379632.1, WP_160615550.1
OG0000000	MHP_7448_protein	WP_044272461.1	WP_044272461.1, WP_020835754.1, WP_011290191.1
OG0000000	MHP_F72C_protein	WP_044272461.1	WP_225972964.1, WP_146379632.1, WP_146379608.1
OG0000000	MHP_MHP699_protein	WP_044272461.1	WP_160585019.1, WP_160585205.1, WP_160585017.1
OG0000000	MHP_MHP679_protein	WP_044272461.1	WP_160590022.1, WP_160590309.1, WP_160590024.1
OG0000000	MHP_MHP682_protein	WP_044272461.1	WP_160585601.1, WP_146379632.1, WP_160585600.1
OG0000000	MHP_MHP696_protein	WP_044272461.1	WP_160587898.1, WP_146379632.1, WP_160587900.1
OG0000000	MHP_MHP709_protein	WP_044272461.1	WP_160587898.1, WP_146379632.1, WP_160587900.1
OG0000000	MHP_MHP691_protein	WP_044272461.1	WP_160607868.1, WP_160607678.1, WP_020835714.1, WP_160606477.1
OG0000000	MHP_7422_protein	WP_044272461.1	WP_020835713.1, WP_020835754.1, WP_020835714.1, WP_020835715.1
OG0000000	MHP_MHP694_protein	WP_044272461.1	WP_020835713.1, WP_160606848.1, WP_220200677.1, WP_160606477.1
OG0000000	MHP_ES2L_protein	WP_044272461.1	WP_014579826.1, WP_020835714.1, WP_179221118.1
OG0000001	MHP_MHP694_protein	WP_044272444.1	WP_160606452.1
OG0000001	MHP_MHP679_protein	WP_044272444.1	WP_160590073.1, WP_240536590.1, WP_308506998.1, WP_160590541.1
OG0000001	MHP_7448_protein	WP_044272444.1	WP_044272444.1, WP_044272440.1, WP_044272308.1
OG0000001	MHP_J_protein	WP_044272444.1	WP_044284583.1, WP_237697199.1, WP_237697197.1, WP_237697198.1, WP_044284634.1
OG0000001	MHP_168L_protein	WP_044272444.1	WP_014579584.1, WP_014579780.1
OG0000001	MHP_168_protein	WP_044272444.1	WP_014579584.1, WP_014579780.1
OG0000001	MHP_UFV02_protein	WP_044272444.1	WP_243215969.1, WP_243216179.1, WP_233688742.1
OG0000001	MHP_UFV01_protein	WP_044272444.1	WP_243215969.1, WP_243216179.1, WP_233688742.1
OG0000001	MHP_LH_protein	WP_044272444.1	WP_233688628.1, WP_233688427.1, WP_233688742.1
OG0000001	MHP_MHP650_protein	WP_044272444.1	WP_220200909.1, WP_237697199.1, WP_308704766.1
OG0000001	MHP_MHP653_protein	WP_044272444.1	WP_160615980.1, WP_240536590.1, WP_160615810.1, WP_308506998.1, WP_160615984.1, WP_160615982.1
OG0000001	MHP_TB1_protein	WP_044272444.1	WP_252862215.1
OG0000001	MHP_MHP682_protein	WP_044272444.1	WP_220191211.1, WP_160585818.1, WP_160585822.1
OG0000001	MHP_MHP699_protein	WP_044272444.1	WP_220190744.1, WP_240536590.1, WP_160584822.1, WP_308506998.1
OG0000001	MHP_ES2_protein	WP_044272444.1	WP_135618807.1, WP_135618540.1, WP_237697199.1, WP_240536309.1, WP_240536310.1, WP_135618606.1, WP_135618795.1
OG0000001	MHP_MHP691_protein	WP_044272444.1	WP_160607882.1, WP_240536590.1, WP_258555606.1, WP_308704686.1, WP_308704693.1
OG0000001	MHP_F72C_protein	WP_044272444.1	WP_146379620.1, WP_225973025.1, WP_225973018.1, WP_225973026.1, WP_225973019.1, WP_146379482.1
OG0000001	MHP_NCTC10127_protein	WP_044272444.1	WP_044284785.1, WP_044284791.1
OG0000001	MHP_232_protein	WP_044272444.1	WP_044284785.1, WP_044284791.1
OG0000001	MHP_11_protein	WP_044272444.1	WP_044284785.1, WP_044284791.1
OG0000001	MFC_MF22_protein	WP_044272444.1	WP_160584042.1
OG0000001	MFC_MF18_protein	WP_044272444.1	WP_160584042.1
OG0000001	MFC_MF33_protein	WP_044272444.1	WP_258556794.1, WP_308704745.1
OG0000001	MHP_MHP696_protein	WP_044272444.1	WP_308507067.1, WP_240536309.1, WP_135618795.1
OG0000001	MHP_MHP709_protein	WP_044272444.1	WP_308507067.1, WP_240536309.1, WP_160587869.1
OG0000001	MFC_MF29_protein	WP_044272444.1	WP_160581478.1
OG0000001	MFC_MF11_protein	WP_044272444.1	WP_160603254.1
OG0000001	MFC_ATCC27716_protein	WP_044272444.1	WP_039387603.1
OG0000001	MFC_MS42_protein	WP_044272444.1	WP_039387603.1
OG0000001	MHP_ES2L_protein	WP_044272444.1	WP_240536589.1, WP_240536590.1, WP_044272440.1
OG0000001	MHP_7422_protein	WP_044272444.1	WP_041361653.1, WP_041361639.1
OG0000001	MHP_98_protein	WP_044272444.1	WP_258556590.1, WP_258556536.1, WP_179696110.1
OG0000002	MHP_J_protein	WP_228366099.1	WP_011283853.1, WP_237697206.1
OG0000002	MHP_NCTC10127_protein	WP_228366099.1	WP_232039504.1, WP_011206279.1
OG0000002	MHP_232_protein	WP_228366099.1	WP_011205876.1, WP_011206279.1
OG0000002	MHP_LH_protein	WP_228366099.1	WP_233688607.1, WP_233688454.1
OG0000002	MHP_11_protein	WP_228366099.1	WP_241499457.1, WP_011206279.1
OG0000002	MHP_168_protein	WP_228366099.1	WP_228365404.1, WP_228365388.1
OG0000002	MHP_168L_protein	WP_228366099.1	WP_233417357.1, WP_233417349.1
OG0000002	MHP_ES2_protein	WP_228366099.1	WP_240536360.1, WP_240536333.1
OG0000002	MHP_MHP682_protein	WP_228366099.1	WP_308507000.1, WP_258555342.1
OG0000002	MHP_7422_protein	WP_228366099.1	WP_020835504.1, WP_020835777.1
OG0000002	MHP_MHP679_protein	WP_228366099.1	WP_308704697.1, WP_258555710.1
OG0000002	MHP_98_protein	WP_228366099.1	WP_308705282.1, WP_258556557.1
OG0000002	MHP_MHP653_protein	WP_228366099.1	WP_308507024.1, WP_258555933.1
OG0000002	MHP_MHP694_protein	WP_228366099.1	WP_308704588.1, WP_258555454.1
OG0000002	MHP_F72C_protein	WP_228366099.1	WP_225973006.1, WP_225972984.1
OG0000002	MHP_MHP709_protein	WP_228366099.1	WP_308507056.1, WP_258555342.1
OG0000002	MHP_MHP696_protein	WP_228366099.1	WP_308507056.1, WP_258555342.1
OG0000002	MHP_MHP691_protein	WP_228366099.1	WP_308704685.1, WP_258555582.1
OG0000002	MHP_7448_protein	WP_228366099.1	WP_228366120.1, WP_228366099.1
OG0000002	MHP_MHP699_protein	WP_228366099.1	WP_280996468.1, WP_280996675.1
OG0000002	MHP_ES2L_protein	WP_228366099.1	WP_240536631.1, WP_240536602.1
OG0000002	MHP_UFV01_protein	WP_228366099.1	WP_243215939.1, WP_243216215.1
OG0000002	MHP_UFV02_protein	WP_228366099.1	WP_243215939.1, WP_243216215.1
OG0000002	MHP_MHP650_protein	WP_228366099.1	WP_308704751.1, WP_258556709.1
OG0000002	MHP_TB1_protein	WP_228366099.1	WP_252862122.1, WP_252862184.1
OG0000002	MFC_MF18_protein	WP_228366099.1	WP_160583612.1, WP_258556248.1, WP_160593399.1
OG0000002	MFC_MF22_protein	WP_228366099.1	WP_160583612.1, WP_258556599.1, WP_160583610.1
OG0000002	MFC_MF33_protein	WP_228366099.1	WP_160609295.1, WP_258556745.1, WP_160609296.1
OG0000002	MFC_MF30_protein	WP_228366099.1	WP_160605385.1, WP_258555096.1, WP_160605387.1
OG0000002	MFC_MS42_protein	WP_228366099.1	WP_051054340.1, WP_002557887.1, WP_002557975.1
OG0000002	MFC_ATCC27716_protein	WP_228366099.1	WP_051054340.1, WP_002557887.1, WP_002557975.1
OG0000002	MFC_MF11_protein	WP_228366099.1	WP_160603101.1, WP_258554019.1, WP_160603103.1
OG0000002	MFC_MF29_protein	WP_228366099.1	WP_160580979.1, WP_258555762.1, WP_160580981.1
OG0000031	MHP_7448_protein	WP_011205867.1	WP_011205867.1
OG0000031	MHP_UFV02_protein	WP_011205867.1	WP_011205867.1
OG0000031	MHP_232_protein	WP_011205867.1	WP_011205867.1
OG0000031	MHP_7422_protein	WP_011205867.1	WP_011205867.1
OG0000031	MHP_NCTC10127_protein	WP_011205867.1	WP_011205867.1
OG0000031	MHP_UFV01_protein	WP_011205867.1	WP_011205867.1
OG0000031	MHP_11_protein	WP_011205867.1	WP_011205867.1
OG0000031	MHP_J_protein	WP_011205867.1	WP_014579531.1
OG0000031	MHP_168L_protein	WP_011205867.1	WP_014579531.1
OG0000031	MHP_TB1_protein	WP_011205867.1	WP_014579531.1
OG0000031	MHP_MHP650_protein	WP_011205867.1	WP_014579531.1
OG0000031	MHP_MHP679_protein	WP_011205867.1	WP_014579531.1
OG0000031	MHP_168_protein	WP_011205867.1	WP_014579531.1
