#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP157501.1:113013-113804|+ -            264 1679at2085           -            265   1.1e-78  259.4  13.2   1   1   1.3e-80   1.2e-78  259.3  13.2    12   256     1   255     1   263 0.90 NZ_CP157501.1_91 # 113013 # 113804 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_CP157501.1:93125-94426|+   -            434 1679at2085           -            265   3.4e-23   77.5  11.9   1   3   1.3e-11   1.2e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_CP157501.1_74 # 93125 # 94426 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.294
NZ_CP157501.1:93125-94426|+   -            434 1679at2085           -            265   3.4e-23   77.5  11.9   2   3   1.4e-12   1.3e-10   36.3   0.5    22   173    78   228    71   240 0.77 NZ_CP157501.1_74 # 93125 # 94426 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.294
NZ_CP157501.1:93125-94426|+   -            434 1679at2085           -            265   3.4e-23   77.5  11.9   3   3   6.2e-06   0.00059   14.4   1.1    24   139   251   380   245   386 0.62 NZ_CP157501.1_74 # 93125 # 94426 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.294
NZ_CP157501.1:563787-564383|- -            199 1679at2085           -            265   2.8e-13   45.0   5.6   1   2   7.7e-13   7.2e-11   37.1   0.1   123   172    41    91    31   105 0.91 NZ_CP157501.1_435 # 563787 # 564383 # -1 # ID=1_435;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_CP157501.1:563787-564383|- -            199 1679at2085           -            265   2.8e-13   45.0   5.6   2   2   0.00017     0.016    9.7   1.9    24    97   117   195   102   198 0.78 NZ_CP157501.1_435 # 563787 # 564383 # -1 # ID=1_435;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_CP157501.1:237161-238489|- -            443 1679at2085           -            265   1.5e-12   42.6  16.2   1   3      0.93        87   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_CP157501.1_207 # 237161 # 238489 # -1 # ID=1_207;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP157501.1:237161-238489|- -            443 1679at2085           -            265   1.5e-12   42.6  16.2   2   3   8.9e-14   8.4e-12   40.2   0.2    97   174   194   275   184   287 0.78 NZ_CP157501.1_207 # 237161 # 238489 # -1 # ID=1_207;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP157501.1:237161-238489|- -            443 1679at2085           -            265   1.5e-12   42.6  16.2   3   3   0.00027     0.025    9.1   6.5    21   104   291   366   283   386 0.70 NZ_CP157501.1_207 # 237161 # 238489 # -1 # ID=1_207;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP157501.1:173724-174605|+ -            294 1679at2085           -            265   1.5e-10   36.0   9.5   1   2   1.8e-11   1.7e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_CP157501.1_152 # 173724 # 174605 # 1 # ID=1_152;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_CP157501.1:173724-174605|+ -            294 1679at2085           -            265   1.5e-10   36.0   9.5   2   2    0.0013      0.12    6.8   4.0    47   103   108   169    77   190 0.77 NZ_CP157501.1_152 # 173724 # 174605 # 1 # ID=1_152;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_CP157501.1:55684-56943|+   -            420 1679at2085           -            265   3.2e-06   21.8  12.5   1   2     5e-07   4.7e-05   18.0   0.0   124   174   161   214   145   235 0.75 NZ_CP157501.1_43 # 55684 # 56943 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
NZ_CP157501.1:55684-56943|+   -            420 1679at2085           -            265   3.2e-06   21.8  12.5   2   2    0.0063      0.59    4.6   9.4    39   121   257   343   253   346 0.86 NZ_CP157501.1_43 # 55684 # 56943 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.310
NZ_CP157501.1:344503-345606|- -            368 1679at2085           -            265   1.2e-05   20.0   0.1   1   1     3e-07   2.8e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_CP157501.1_287 # 344503 # 345606 # -1 # ID=1_287;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use
# Date:            Sun Dec  1 19:04:24 2024
# [ok]
