#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP157501.1:759933-761672|- -            580 539at2085            -            541  7.2e-246  812.2  14.1   1   1    5e-248  8.3e-246  812.1  14.1     1   541     8   574     8   574 0.97 NZ_CP157501.1_576 # 759933 # 761672 # -1 # ID=1_576;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.296
NZ_CP157501.1:71135-72502|+   -            456 539at2085            -            541   3.9e-10   34.2   1.0   1   3      0.16        26   -1.5   0.0   197   228    56    87    39   101 0.72 NZ_CP157501.1_61 # 71135 # 72502 # 1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP157501.1:71135-72502|+   -            456 539at2085            -            541   3.9e-10   34.2   1.0   2   3   1.3e-08   2.1e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_CP157501.1_61 # 71135 # 72502 # 1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP157501.1:71135-72502|+   -            456 539at2085            -            541   3.9e-10   34.2   1.0   3   3   5.9e-05    0.0097    9.8   0.1   451   540   354   449   348   450 0.83 NZ_CP157501.1_61 # 71135 # 72502 # 1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.301
NZ_CP157501.1:467244-468683|- -            480 539at2085            -            541   4.6e-07   24.1   6.9   1   2     0.015       2.4    1.9   0.0   186   316    43   183    34   205 0.66 NZ_CP157501.1_376 # 467244 # 468683 # -1 # ID=1_376;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.312
NZ_CP157501.1:467244-468683|- -            480 539at2085            -            541   4.6e-07   24.1   6.9   2   2   2.8e-09   4.6e-07   24.1   2.2   408   525   237   366   229   382 0.78 NZ_CP157501.1_376 # 467244 # 468683 # -1 # ID=1_376;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.312
NZ_CP157501.1:298330-299571|+ -            414 539at2085            -            541   8.6e-05   16.6   0.5   1   3      0.17        28   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_CP157501.1_246 # 298330 # 299571 # 1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
NZ_CP157501.1:298330-299571|+ -            414 539at2085            -            541   8.6e-05   16.6   0.5   2   3   1.5e-05    0.0024   11.8   0.0   153   362   133   347   119   353 0.81 NZ_CP157501.1_246 # 298330 # 299571 # 1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
NZ_CP157501.1:298330-299571|+ -            414 539at2085            -            541   8.6e-05   16.6   0.5   3   3     0.014       2.3    2.0   0.0   411   458   361   406   353   409 0.77 NZ_CP157501.1_246 # 298330 # 299571 # 1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/4284/Use
# Date:            Sun Dec  1 19:04:29 2024
# [ok]
