Orthogroup	MFC_ATCC27716_genes	MHP_MHP650_genes
OG0000000	MFC_RS01410	DR083_RS02765
OG0000000	MFC_RS02935	DR083_RS04550, DR083_RS03535, DR083_RS03820, DR083_RS00790
OG0000000	MFC_RS00365	DR083_RS04215
OG0000001	MFC_RS03350	DR083_RS04075, DR083_RS00590, DR083_RS00540, DR083_RS00545
OG0000002	MFC_RS00395	DR083_RS04320, DR083_RS02760
OG0000002	MFC_RS02940	DR083_RS04915
OG0000002	MFC_RS00370	DR083_RS04760
OG0000003	MFC_RS02995	DR083_RS04460
OG0000007	MFC_RS02975	DR083_RS03475
OG0000007	MFC_RS02970	DR083_RS03470
OG0000007	MFC_RS02965	DR083_RS03465
OG0000011	MFC_RS03510, MFC_RS03505	DR083_RS01555
OG0000011	MFC_RS01350	DR083_RS01550
OG0000013	MFC_RS03175, MFC_RS02880	DR083_RS05105
OG0000013	MFC_RS03420	DR083_RS03885
OG0000014	MFC_RS00870	DR083_RS03770, DR083_RS04890
OG0000016	MFC_RS01050	DR083_RS00630
OG0000017	MFC_RS03155	DR083_RS00025
OG0000017	MFC_RS01040	DR083_RS00640
OG0000018	MFC_RS00540	DR083_RS04835
OG0000019	MFC_RS03330	DR083_RS04180
OG0000020	MFC_RS00305	DR083_RS04635
OG0000020	MFC_RS00300	DR083_RS04640
OG0000022	MFC_RS00360	DR083_RS04755
OG0000023	MFC_RS01695	DR083_RS02935
OG0000024	MFC_RS01110	DR083_RS03365, DR083_RS01215
OG0000025	MFC_RS00355	DR083_RS02105
OG0000026	MFC_RS00580	DR083_RS01120, DR083_RS02085
OG0000027	MFC_RS02850	DR083_RS04880
OG0000029	MFC_RS00875	DR083_RS02525, DR083_RS03325
OG0000030	MFC_RS02855	DR083_RS04855, DR083_RS04885
OG0000031	MFC_RS01295	DR083_RS02520
OG0000032	MFC_RS02685	DR083_RS03590
OG0000032	MFC_RS02860	DR083_RS03215
OG0000033	MFC_RS01210	DR083_RS00310
OG0000037	MFC_RS00375	DR083_RS04925
OG0000039	MFC_RS03135, MFC_RS00935	DR083_RS03505
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	DR083_RS02780
OG0000042	MFC_RS00930, MFC_RS01085	DR083_RS00730
OG0000043	MFC_RS01320	DR083_RS01520
OG0000045	MFC_RS00950	DR083_RS03515
OG0000048	MFC_RS00140	DR083_RS02860
OG0000049	MFC_RS03220, MFC_RS03365	DR083_RS01660
OG0000050	MFC_RS01260	DR083_RS00350
OG0000051	MFC_RS02240	DR083_RS02195
OG0000052	MFC_RS00160	DR083_RS02690
OG0000053	MFC_RS00665	DR083_RS04665
OG0000054	MFC_RS01235	DR083_RS00375
OG0000055	MFC_RS03415, MFC_RS03540	DR083_RS00005
OG0000056	MFC_RS00325	DR083_RS00815
OG0000057	MFC_RS00965	DR083_RS03975, DR083_RS03980
OG0000062	MFC_RS00270	DR083_RS00865
OG0000063	MFC_RS00275	DR083_RS04645
OG0000064	MFC_RS00285	DR083_RS00850
OG0000065	MFC_RS00440	DR083_RS02715
OG0000066	MFC_RS00570	DR083_RS01130
OG0000068	MFC_RS00910	DR083_RS03160
OG0000069	MFC_RS01075	DR083_RS00605
OG0000070	MFC_RS01215	DR083_RS00380
OG0000071	MFC_RS01630	DR083_RS02790
OG0000072	MFC_RS01635	DR083_RS04820
OG0000073	MFC_RS03395, MFC_RS03390	DR083_RS01265
OG0000074	MFC_RS03400	DR083_RS04700
OG0000075	MFC_RS02565	DR083_RS00220
OG0000076	MFC_RS02580	DR083_RS00235
OG0000077	MFC_RS02670	DR083_RS03235
OG0000078	MFC_RS03005	DR083_RS02075
OG0000079	MFC_RS02930, MFC_RS03120	DR083_RS01845
OG0000080	MFC_RS03315	DR083_RS04190
OG0000081	MFC_RS03430, MFC_RS02560	DR083_RS00215
OG0000083	MFC_RS00040	DR083_RS01625
OG0000084	MFC_RS00070	DR083_RS02910
OG0000085	MFC_RS00075	DR083_RS02905
OG0000086	MFC_RS00085	DR083_RS02895
OG0000087	MFC_RS03320	DR083_RS02880
OG0000088	MFC_RS00105	DR083_RS02875
OG0000089	MFC_RS00115	DR083_RS02865
OG0000090	MFC_RS00165	DR083_RS02695
OG0000091	MFC_RS00180	DR083_RS00955
OG0000092	MFC_RS00195	DR083_RS00940
OG0000093	MFC_RS00200	DR083_RS00935
OG0000094	MFC_RS00205	DR083_RS00930
OG0000095	MFC_RS00230	DR083_RS00905
OG0000096	MFC_RS00235	DR083_RS00900
OG0000097	MFC_RS00255	DR083_RS00880
OG0000098	MFC_RS00265	DR083_RS00870
OG0000099	MFC_RS00320	DR083_RS04630
OG0000100	MFC_RS00335	DR083_RS00805
OG0000101	MFC_RS00340	DR083_RS00800
OG0000102	MFC_RS00350	DR083_RS02100
OG0000103	MFC_RS00405	DR083_RS02750
OG0000104	MFC_RS00410	DR083_RS02745
OG0000105	MFC_RS00425	DR083_RS02730
OG0000106	MFC_RS00435	DR083_RS02720
OG0000107	MFC_RS00445	DR083_RS02710
OG0000108	MFC_RS00450	DR083_RS02705
OG0000109	MFC_RS00455	DR083_RS02700
OG0000110	MFC_RS00460	DR083_RS03140
OG0000111	MFC_RS00465	DR083_RS03135
OG0000112	MFC_RS00475	DR083_RS03125
OG0000113	MFC_RS00490	DR083_RS03315
OG0000114	MFC_RS00500	DR083_RS03305
OG0000115	MFC_RS00510	DR083_RS03290
OG0000116	MFC_RS00520	DR083_RS01185
OG0000117	MFC_RS00525	DR083_RS01180
OG0000118	MFC_RS00555	DR083_RS01145
OG0000119	MFC_RS00560	DR083_RS01140
OG0000120	MFC_RS00575	DR083_RS01125
OG0000121	MFC_RS00600	DR083_RS01100
OG0000122	MFC_RS00605	DR083_RS01095
OG0000123	MFC_RS00625	DR083_RS01075
OG0000124	MFC_RS00630	DR083_RS01070
OG0000125	MFC_RS00635	DR083_RS01065
OG0000126	MFC_RS00645	DR083_RS01055
OG0000127	MFC_RS00655	DR083_RS01045
OG0000128	MFC_RS00670	DR083_RS01030
OG0000129	MFC_RS00675	DR083_RS01025
OG0000130	MFC_RS00685	DR083_RS01015
OG0000131	MFC_RS00715	DR083_RS00985
OG0000132	MFC_RS00735	DR083_RS04660
OG0000133	MFC_RS00805	DR083_RS02355
OG0000134	MFC_RS00810	DR083_RS04790
OG0000135	MFC_RS00825	DR083_RS02375
OG0000136	MFC_RS00830	DR083_RS02380
OG0000137	MFC_RS00860	DR083_RS02420
OG0000138	MFC_RS00885	DR083_RS03185
OG0000139	MFC_RS00915	DR083_RS03155
OG0000140	MFC_RS00920	DR083_RS03150
OG0000141	MFC_RS00955	DR083_RS00725
OG0000142	MFC_RS00960	DR083_RS04625
OG0000143	MFC_RS00985	DR083_RS00695
OG0000144	MFC_RS00995	DR083_RS00685
OG0000145	MFC_RS01005	DR083_RS00675
OG0000146	MFC_RS01015	DR083_RS00665
OG0000147	MFC_RS01020	DR083_RS00660
OG0000148	MFC_RS01035	DR083_RS00645
OG0000149	MFC_RS01045	DR083_RS00635
OG0000150	MFC_RS01060	DR083_RS00620
OG0000151	MFC_RS01115	DR083_RS00575
OG0000152	MFC_RS01120	DR083_RS00570
OG0000153	MFC_RS01125	DR083_RS00565
OG0000154	MFC_RS01135	DR083_RS00555
OG0000155	MFC_RS01155	DR083_RS03340
OG0000156	MFC_RS01175	DR083_RS02140
OG0000157	MFC_RS01180	DR083_RS04765
OG0000158	MFC_RS01190	DR083_RS04770
OG0000159	MFC_RS01245	DR083_RS04945
OG0000160	MFC_RS01250	DR083_RS00360
OG0000161	MFC_RS01255	DR083_RS00355
OG0000162	MFC_RS01265	DR083_RS00345
OG0000163	MFC_RS01270	DR083_RS00340
OG0000164	MFC_RS01300	DR083_RS03555
OG0000165	MFC_RS01345	DR083_RS01545
OG0000166	MFC_RS01365	DR083_RS01565
OG0000167	MFC_RS01380	DR083_RS01580
OG0000168	MFC_RS01385	DR083_RS01585
OG0000169	MFC_RS01430	DR083_RS01655
OG0000170	MFC_RS01455	DR083_RS01670
OG0000171	MFC_RS01465	DR083_RS01680
OG0000172	MFC_RS01470	DR083_RS01690
OG0000173	MFC_RS01475	DR083_RS01695
OG0000174	MFC_RS01480	DR083_RS01700
OG0000175	MFC_RS01495	DR083_RS01715
OG0000176	MFC_RS01540	DR083_RS01765
OG0000177	MFC_RS01545	DR083_RS01770
OG0000178	MFC_RS01550	DR083_RS01775
OG0000179	MFC_RS01560	DR083_RS01785
OG0000180	MFC_RS01565	DR083_RS01790
OG0000181	MFC_RS01580	DR083_RS04830
OG0000182	MFC_RS01590	DR083_RS02830
OG0000183	MFC_RS01625	DR083_RS02795
OG0000184	MFC_RS01655	DR083_RS03100
OG0000185	MFC_RS01670	DR083_RS03085
OG0000186	MFC_RS01710	DR083_RS04900
OG0000187	MFC_RS01725	DR083_RS03415
OG0000188	MFC_RS01735	DR083_RS03405
OG0000189	MFC_RS03385	DR083_RS04865
OG0000190	MFC_RS01750	DR083_RS03025
OG0000191	MFC_RS01770	DR083_RS03005
OG0000192	MFC_RS01780	DR083_RS02475
OG0000193	MFC_RS01795	DR083_RS02490
OG0000194	MFC_RS01805	DR083_RS01250
OG0000195	MFC_RS01810	DR083_RS01255
OG0000196	MFC_RS01830	DR083_RS01275
OG0000197	MFC_RS01835	DR083_RS01280
OG0000198	MFC_RS01850	DR083_RS01295
OG0000199	MFC_RS01855	DR083_RS01300
OG0000200	MFC_RS01865	DR083_RS01315
OG0000201	MFC_RS01875	DR083_RS01325
OG0000202	MFC_RS01930	DR083_RS04685
OG0000203	MFC_RS01935	DR083_RS01385
OG0000204	MFC_RS01940	DR083_RS01390
OG0000205	MFC_RS01945	DR083_RS01395
OG0000206	MFC_RS01965	DR083_RS01415
OG0000207	MFC_RS01980	DR083_RS01430
OG0000208	MFC_RS01985	DR083_RS01435
OG0000209	MFC_RS01990	DR083_RS01440
OG0000210	MFC_RS02040	DR083_RS02680
OG0000211	MFC_RS02050	DR083_RS02670
OG0000212	MFC_RS02060	DR083_RS02660
OG0000213	MFC_RS02065	DR083_RS02655
OG0000214	MFC_RS02070	DR083_RS02650
OG0000215	MFC_RS02075	DR083_RS02645
OG0000216	MFC_RS02080	DR083_RS02640
OG0000217	MFC_RS02085	DR083_RS02635
OG0000218	MFC_RS02095	DR083_RS02625
OG0000219	MFC_RS02100	DR083_RS02620
OG0000220	MFC_RS02105	DR083_RS02615
OG0000221	MFC_RS02110	DR083_RS02610
OG0000222	MFC_RS03235	DR083_RS02605
OG0000223	MFC_RS02115	DR083_RS02600
OG0000224	MFC_RS02125	DR083_RS02590
OG0000225	MFC_RS02135	DR083_RS02580
OG0000226	MFC_RS02140	DR083_RS02575
OG0000227	MFC_RS02145	DR083_RS02570
OG0000228	MFC_RS03530	DR083_RS05030
OG0000229	MFC_RS02155	DR083_RS02560
OG0000230	MFC_RS02160	DR083_RS02555
OG0000231	MFC_RS02170	DR083_RS02545
OG0000232	MFC_RS02180	DR083_RS02535
OG0000233	MFC_RS02190	DR083_RS02035
OG0000234	MFC_RS02220	DR083_RS01995
OG0000235	MFC_RS02230	DR083_RS01985
OG0000236	MFC_RS02235	DR083_RS01980
OG0000237	MFC_RS02250	DR083_RS01975
OG0000238	MFC_RS02255	DR083_RS01965
OG0000239	MFC_RS02285	DR083_RS00735
OG0000240	MFC_RS02290	DR083_RS00740
OG0000241	MFC_RS02300	DR083_RS00750
OG0000242	MFC_RS02305	DR083_RS00755
OG0000243	MFC_RS02310	DR083_RS00760
OG0000244	MFC_RS02320	DR083_RS00770
OG0000245	MFC_RS02330	DR083_RS00780
OG0000246	MFC_RS02345	DR083_RS00010
OG0000247	MFC_RS02355	DR083_RS00020
OG0000248	MFC_RS02380	DR083_RS00030
OG0000249	MFC_RS02385	DR083_RS00035
OG0000250	MFC_RS02400	DR083_RS00050
OG0000251	MFC_RS02430	DR083_RS00085
OG0000252	MFC_RS02440	DR083_RS00095
OG0000253	MFC_RS02445	DR083_RS00100
OG0000254	MFC_RS02455	DR083_RS00110
OG0000255	MFC_RS02465	DR083_RS00120
OG0000256	MFC_RS02470	DR083_RS00125
OG0000257	MFC_RS02495	DR083_RS00150
OG0000258	MFC_RS02505	DR083_RS00160
OG0000259	MFC_RS02535	DR083_RS00190
OG0000260	MFC_RS02545	DR083_RS00200
OG0000261	MFC_RS02555	DR083_RS04585
OG0000262	MFC_RS02570	DR083_RS00225
OG0000263	MFC_RS02585	DR083_RS00240
OG0000264	MFC_RS02600	DR083_RS00255
OG0000265	MFC_RS02610	DR083_RS00265
OG0000266	MFC_RS02625	DR083_RS00280
OG0000267	MFC_RS02640	DR083_RS00295
OG0000268	MFC_RS02645	DR083_RS00300
OG0000269	MFC_RS02660	DR083_RS03225
OG0000270	MFC_RS02720	DR083_RS04615
OG0000271	MFC_RS02725	DR083_RS00515
OG0000272	MFC_RS02730	DR083_RS00510
OG0000273	MFC_RS02735	DR083_RS00505
OG0000274	MFC_RS02755	DR083_RS00485
OG0000275	MFC_RS03455	DR083_RS04605
OG0000276	MFC_RS02765	DR083_RS00475
OG0000277	MFC_RS02775	DR083_RS00465
OG0000278	MFC_RS02780	DR083_RS00460
OG0000279	MFC_RS02790	DR083_RS00450
OG0000280	MFC_RS02795	DR083_RS00445
OG0000281	MFC_RS03255	DR083_RS00440
OG0000282	MFC_RS02820	DR083_RS04595
OG0000283	MFC_RS02825	DR083_RS00410
OG0000284	MFC_RS02830	DR083_RS00405
OG0000285	MFC_RS02835	DR083_RS04590
OG0000286	MFC_RS02865	DR083_RS00325
OG0000287	MFC_RS02890	DR083_RS01805
OG0000288	MFC_RS02900	DR083_RS01815
OG0000289	MFC_RS02905	DR083_RS01820
OG0000290	MFC_RS03030	DR083_RS02205
OG0000291	MFC_RS03040	DR083_RS01920
OG0000292	MFC_RS03045	DR083_RS01915
OG0000293	MFC_RS03050	DR083_RS01910
OG0000294	MFC_RS03060	DR083_RS01900
OG0000295	MFC_RS03065	DR083_RS01895
OG0000296	MFC_RS03110	DR083_RS01855
OG0000297	MFC_RS03115	DR083_RS01850
OG0000298	MFC_RS02395	DR083_RS00045
OG0000299	MFC_RS02415	DR083_RS00070
OG0000300	MFC_RS02595	DR083_RS00250
OG0000301	MFC_RS02630	DR083_RS00285
OG0000302	MFC_RS02635	DR083_RS00290
OG0000303	MFC_RS00835	DR083_RS02385
OG0000304	MFC_RS00865	DR083_RS02530
OG0000305	MFC_RS01010	DR083_RS00670
OG0000306	MFC_RS01090	DR083_RS00595
OG0000307	MFC_RS01130	DR083_RS00560
OG0000308	MFC_RS03020	DR083_RS02185
OG0000309	MFC_RS03075	DR083_RS01885
OG0000310	MFC_RS02895	DR083_RS01810
OG0000311	MFC_RS01220	DR083_RS00385
OG0000312	MFC_RS01240	DR083_RS00370
OG0000313	MFC_RS01290	DR083_RS03565
OG0000314	MFC_RS01360	DR083_RS01560
OG0000315	MFC_RS01390	DR083_RS01590
OG0000316	MFC_RS01400	DR083_RS01600
OG0000317	MFC_RS00110	DR083_RS02870
OG0000318	MFC_RS00020	DR083_RS04715
OG0000319	MFC_RS00420	DR083_RS02735
OG0000320	MFC_RS00485	DR083_RS03115
OG0000321	MFC_RS00550	DR083_RS01150
OG0000322	MFC_RS00595	DR083_RS01105
OG0000323	MFC_RS00725	DR083_RS00975
OG0000324	MFC_RS01775	DR083_RS03000
OG0000325	MFC_RS01815	DR083_RS01260
OG0000326	MFC_RS01905	DR083_RS01355
OG0000327	MFC_RS01910	DR083_RS01360
OG0000328	MFC_RS01995	DR083_RS01445
OG0000329	MFC_RS02020	DR083_RS01470
OG0000330	MFC_RS02200	DR083_RS02020
OG0000331	MFC_RS02315	DR083_RS00765
OG0000332	MFC_RS01505	DR083_RS01725
OG0000333	MFC_RS01515	DR083_RS01735
OG0000334	MFC_RS01585	DR083_RS02835
OG0000335	MFC_RS01595	DR083_RS02825
OG0000336	MFC_RS02805	DR083_RS04600
OG0000337	MFC_RS00280	DR083_RS00855
OG0000338	MFC_RS00240	DR083_RS00895
OG0000339	MFC_RS00505	DR083_RS03295
OG0000340	MFC_RS00530	DR083_RS01170
OG0000341	MFC_RS01755	DR083_RS03020
