Orthogroup	MFC_ATCC27716_genes	MHP_NCTC10127_genes
OG0000000	MFC_RS01410	EXC50_RS01055
OG0000001	MFC_RS03350	EXC50_RS02805, EXC50_RS02810, EXC50_RS01640, EXC50_RS04045, EXC50_RS01590
OG0000002	MFC_RS00395	EXC50_RS04010, EXC50_RS03900
OG0000002	MFC_RS00370	EXC50_RS00680
OG0000004	MFC_RS00155	EXC50_RS01865
OG0000008	MFC_RS03380	EXC50_RS00595
OG0000011	MFC_RS03510, MFC_RS03505	EXC50_RS00895
OG0000011	MFC_RS01350	EXC50_RS00890
OG0000013	MFC_RS03175, MFC_RS02880	EXC50_RS01255
OG0000013	MFC_RS03420	EXC50_RS03965
OG0000014	MFC_RS00870	EXC50_RS04120, EXC50_RS03000, EXC50_RS03480
OG0000016	MFC_RS01050	EXC50_RS01680
OG0000017	MFC_RS03155	EXC50_RS00155
OG0000017	MFC_RS01040	EXC50_RS01690
OG0000018	MFC_RS00540	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085
OG0000019	MFC_RS03000	EXC50_RS04065
OG0000020	MFC_RS00305	EXC50_RS02390
OG0000020	MFC_RS00300	EXC50_RS02395
OG0000022	MFC_RS00360	EXC50_RS00670
OG0000023	MFC_RS01695	EXC50_RS00495, EXC50_RS03740
OG0000024	MFC_RS01110	EXC50_RS01585, EXC50_RS02815
OG0000025	MFC_RS00355	EXC50_RS00665
OG0000026	MFC_RS00580	EXC50_RS02725, EXC50_RS00645
OG0000027	MFC_RS02850	EXC50_RS02200
OG0000028	MFC_RS01205, MFC_RS01200	EXC50_RS01265
OG0000029	MFC_RS00875	EXC50_RS03005, EXC50_RS03475
OG0000030	MFC_RS02855	EXC50_RS02175, EXC50_RS02195
OG0000031	MFC_RS01295	EXC50_RS02515, EXC50_RS03805, EXC50_RS00545
OG0000032	MFC_RS02860	EXC50_RS04070
OG0000037	MFC_RS03185	EXC50_RS03970
OG0000039	MFC_RS03135, MFC_RS00935	EXC50_RS03975, EXC50_RS00560
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	EXC50_RS02120
OG0000042	MFC_RS00930, MFC_RS01085	EXC50_RS01780
OG0000043	MFC_RS01320	EXC50_RS00860
OG0000045	MFC_RS00950	EXC50_RS00570
OG0000048	MFC_RS00140	EXC50_RS01040
OG0000050	MFC_RS01260	EXC50_RS04180, EXC50_RS04200, EXC50_RS04195, EXC50_RS04185, EXC50_RS04205, EXC50_RS01295
OG0000051	MFC_RS02240	EXC50_RS01500
OG0000052	MFC_RS00160	EXC50_RS00075
OG0000053	MFC_RS00665	EXC50_RS02640
OG0000054	MFC_RS01235	EXC50_RS04250
OG0000055	MFC_RS03415, MFC_RS03540	EXC50_RS00135
OG0000056	MFC_RS00325	EXC50_RS02375
OG0000057	MFC_RS00965	EXC50_RS01765
OG0000062	MFC_RS00270	EXC50_RS02425
OG0000063	MFC_RS00275	EXC50_RS02420
OG0000064	MFC_RS00285	EXC50_RS02410
OG0000065	MFC_RS00440	EXC50_RS01100
OG0000066	MFC_RS00570	EXC50_RS02735
OG0000068	MFC_RS00910	EXC50_RS03440
OG0000069	MFC_RS01075	EXC50_RS01655
OG0000070	MFC_RS01215	EXC50_RS03840, EXC50_RS01325
OG0000071	MFC_RS01630	EXC50_RS02110
OG0000072	MFC_RS01635	EXC50_RS02115
OG0000073	MFC_RS03395, MFC_RS03390	EXC50_RS03380
OG0000074	MFC_RS03400	EXC50_RS03185
OG0000075	MFC_RS02565	EXC50_RS00355
OG0000076	MFC_RS02580	EXC50_RS00370
OG0000077	MFC_RS02670	EXC50_RS03640
OG0000078	MFC_RS03005	EXC50_RS00635
OG0000079	MFC_RS02930, MFC_RS03120	EXC50_RS01405
OG0000080	MFC_RS03315	EXC50_RS03930
OG0000081	MFC_RS03430, MFC_RS02560	EXC50_RS00350
OG0000082	MFC_RS02870	EXC50_RS01250
OG0000083	MFC_RS00040	EXC50_RS00965
OG0000084	MFC_RS00070	EXC50_RS00990
OG0000085	MFC_RS00075	EXC50_RS00995
OG0000086	MFC_RS00085	EXC50_RS01005
OG0000087	MFC_RS03320	EXC50_RS01020
OG0000088	MFC_RS00105	EXC50_RS01025
OG0000089	MFC_RS00115	EXC50_RS01035
OG0000090	MFC_RS00165	EXC50_RS00070
OG0000091	MFC_RS00180	EXC50_RS00055
OG0000092	MFC_RS00195	EXC50_RS00040
OG0000093	MFC_RS00200	EXC50_RS00035
OG0000094	MFC_RS00205	EXC50_RS00030
OG0000095	MFC_RS00230	EXC50_RS00005
OG0000096	MFC_RS00235	EXC50_RS02460
OG0000097	MFC_RS00255	EXC50_RS02440
OG0000098	MFC_RS00265	EXC50_RS02430
OG0000099	MFC_RS00320	EXC50_RS02380
OG0000100	MFC_RS00335	EXC50_RS02365
OG0000101	MFC_RS00340	EXC50_RS02360
OG0000102	MFC_RS00350	EXC50_RS00660
OG0000103	MFC_RS00405	EXC50_RS01065
OG0000104	MFC_RS00410	EXC50_RS01070
OG0000105	MFC_RS00425	EXC50_RS01085
OG0000106	MFC_RS00435	EXC50_RS01095
OG0000107	MFC_RS00445	EXC50_RS01105
OG0000108	MFC_RS00450	EXC50_RS01110
OG0000109	MFC_RS00455	EXC50_RS01115
OG0000110	MFC_RS00460	EXC50_RS01240
OG0000111	MFC_RS00465	EXC50_RS01235
OG0000112	MFC_RS00475	EXC50_RS01225
OG0000113	MFC_RS00490	EXC50_RS01205
OG0000114	MFC_RS00500	EXC50_RS01195
OG0000115	MFC_RS00510	EXC50_RS01180
OG0000116	MFC_RS00520	EXC50_RS02790
OG0000117	MFC_RS00525	EXC50_RS02785
OG0000118	MFC_RS00555	EXC50_RS02750
OG0000119	MFC_RS00560	EXC50_RS02745
OG0000120	MFC_RS00575	EXC50_RS02730
OG0000121	MFC_RS00600	EXC50_RS02705
OG0000122	MFC_RS00605	EXC50_RS02700
OG0000123	MFC_RS00625	EXC50_RS02680
OG0000124	MFC_RS00630	EXC50_RS02675
OG0000125	MFC_RS00635	EXC50_RS02670
OG0000126	MFC_RS00645	EXC50_RS02660
OG0000127	MFC_RS00655	EXC50_RS02650
OG0000128	MFC_RS00670	EXC50_RS02635
OG0000129	MFC_RS00675	EXC50_RS02630
OG0000130	MFC_RS00685	EXC50_RS02620
OG0000131	MFC_RS00715	EXC50_RS02590
OG0000132	MFC_RS00735	EXC50_RS02575
OG0000133	MFC_RS00805	EXC50_RS03555
OG0000134	MFC_RS00810	EXC50_RS03550
OG0000135	MFC_RS00825	EXC50_RS03535
OG0000136	MFC_RS00830	EXC50_RS03530
OG0000137	MFC_RS00860	EXC50_RS03500
OG0000138	MFC_RS00885	EXC50_RS03465
OG0000139	MFC_RS00915	EXC50_RS03435
OG0000140	MFC_RS00920	EXC50_RS03430
OG0000141	MFC_RS00955	EXC50_RS01775
OG0000142	MFC_RS00960	EXC50_RS01770
OG0000143	MFC_RS00985	EXC50_RS01745
OG0000144	MFC_RS00995	EXC50_RS01735
OG0000145	MFC_RS01005	EXC50_RS01725
OG0000146	MFC_RS01015	EXC50_RS01715
OG0000147	MFC_RS01020	EXC50_RS01710
OG0000148	MFC_RS01035	EXC50_RS01695
OG0000149	MFC_RS01045	EXC50_RS01685
OG0000150	MFC_RS01060	EXC50_RS01670
OG0000151	MFC_RS01115	EXC50_RS01625
OG0000152	MFC_RS01120	EXC50_RS01620
OG0000153	MFC_RS01125	EXC50_RS01615
OG0000154	MFC_RS01135	EXC50_RS01605
OG0000155	MFC_RS01155	EXC50_RS01565
OG0000156	MFC_RS01175	EXC50_RS01555
OG0000157	MFC_RS01180	EXC50_RS01550
OG0000158	MFC_RS01190	EXC50_RS04235
OG0000159	MFC_RS01245	EXC50_RS03825
OG0000160	MFC_RS01250	EXC50_RS03820
OG0000161	MFC_RS01255	EXC50_RS03815
OG0000162	MFC_RS01265	EXC50_RS01290
OG0000163	MFC_RS01270	EXC50_RS01285
OG0000164	MFC_RS01300	EXC50_RS00550
OG0000165	MFC_RS01345	EXC50_RS00885
OG0000166	MFC_RS01365	EXC50_RS00905
OG0000167	MFC_RS01380	EXC50_RS00920
