Orthogroup	MFC_ATCC27716_genes	MHP_TB1_genes
OG0000000	MFC_RS01410	B5M19_RS04470
OG0000000	MFC_RS00365	B5M19_RS02095
OG0000001	MFC_RS03350	B5M19_RS02595, B5M19_RS04385, B5M19_RS02555, B5M19_RS02505, B5M19_RS02510
OG0000002	MFC_RS00395	B5M19_RS04465, B5M19_RS04625
OG0000002	MFC_RS00370	B5M19_RS02105
OG0000008	MFC_RS03380	B5M19_RS03340
OG0000011	MFC_RS03510, MFC_RS03505	B5M19_RS04080, B5M19_RS00770
OG0000011	MFC_RS01350	B5M19_RS00765
OG0000013	MFC_RS03175, MFC_RS02880	B5M19_RS02640
OG0000013	MFC_RS03420	B5M19_RS00100
OG0000014	MFC_RS00870	B5M19_RS03715, B5M19_RS03505
OG0000015	MFC_RS03450	B5M19_RS02335
OG0000016	MFC_RS01050	B5M19_RS01425
OG0000017	MFC_RS03155	B5M19_RS00065
OG0000017	MFC_RS01040	B5M19_RS01415
OG0000018	MFC_RS00540	B5M19_RS04450, B5M19_RS04445
OG0000020	MFC_RS00305	B5M19_RS04305
OG0000020	MFC_RS00300	B5M19_RS02010
OG0000022	MFC_RS00360	B5M19_RS02090
OG0000024	MFC_RS01110	B5M19_RS02500, B5M19_RS04395, B5M19_RS04390
OG0000025	MFC_RS00355	B5M19_RS02085
OG0000026	MFC_RS00580	B5M19_RS01210, B5M19_RS02065
OG0000027	MFC_RS02850	B5M19_RS00550
OG0000028	MFC_RS01205, MFC_RS01200	B5M19_RS02470, B5M19_RS02460, B5M19_RS02465, B5M19_RS04380, B5M19_RS02475
OG0000029	MFC_RS00875	B5M19_RS03200, B5M19_RS04520, B5M19_RS03510
OG0000030	MFC_RS02855	B5M19_RS00570, B5M19_RS00555
OG0000031	MFC_RS01295	B5M19_RS04360, B5M19_RS03305
OG0000032	MFC_RS02860	B5M19_RS00560
OG0000037	MFC_RS00375	B5M19_RS04485, B5M19_RS04490
OG0000039	MFC_RS03135, MFC_RS00935	B5M19_RS03320
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	B5M19_RS02985
OG0000042	MFC_RS00930, MFC_RS01085	B5M19_RS01320
OG0000043	MFC_RS01320	B5M19_RS02270
OG0000045	MFC_RS00950	B5M19_RS03325
OG0000047	MFC_RS03280	B5M19_RS02295
OG0000048	MFC_RS00140	B5M19_RS03695
OG0000050	MFC_RS01260	B5M19_RS02825
OG0000051	MFC_RS02240	B5M19_RS04110
OG0000052	MFC_RS00160	B5M19_RS00005
OG0000053	MFC_RS00665	B5M19_RS01120
OG0000054	MFC_RS01235	B5M19_RS02800
OG0000055	MFC_RS03415, MFC_RS03540	B5M19_RS00045
OG0000056	MFC_RS00325	B5M19_RS00375
OG0000057	MFC_RS00965	B5M19_RS01340
OG0000062	MFC_RS00270	B5M19_RS01970
OG0000063	MFC_RS00275	B5M19_RS01975
OG0000064	MFC_RS00285	B5M19_RS01990
OG0000065	MFC_RS00440	B5M19_RS02925
OG0000066	MFC_RS00570	B5M19_RS01220
OG0000068	MFC_RS00910	B5M19_RS04480
OG0000069	MFC_RS01075	B5M19_RS03520
OG0000070	MFC_RS01215	B5M19_RS02795
OG0000071	MFC_RS01630	B5M19_RS02995
OG0000072	MFC_RS01635	B5M19_RS02990
OG0000073	MFC_RS03395, MFC_RS03390	B5M19_RS01840
OG0000074	MFC_RS03400	B5M19_RS01645
OG0000075	MFC_RS02565	B5M19_RS00265
OG0000076	MFC_RS02580	B5M19_RS00280
OG0000077	MFC_RS02670	B5M19_RS03440
OG0000078	MFC_RS03005	B5M19_RS02055
OG0000079	MFC_RS02930, MFC_RS03120	B5M19_RS01010
OG0000080	MFC_RS03315	B5M19_RS03900
OG0000081	MFC_RS03430, MFC_RS02560	B5M19_RS00260
OG0000082	MFC_RS02870	B5M19_RS04420, B5M19_RS04415
OG0000083	MFC_RS00040	B5M19_RS00845
OG0000084	MFC_RS00070	B5M19_RS02760
OG0000085	MFC_RS00075	B5M19_RS02755
OG0000086	MFC_RS00085	B5M19_RS02745
OG0000087	MFC_RS03320	B5M19_RS02730
OG0000088	MFC_RS00105	B5M19_RS02725
OG0000089	MFC_RS00115	B5M19_RS03690
OG0000090	MFC_RS00165	B5M19_RS03775
OG0000091	MFC_RS00180	B5M19_RS04280
OG0000092	MFC_RS00195	B5M19_RS01895
OG0000093	MFC_RS00200	B5M19_RS01900
OG0000094	MFC_RS00205	B5M19_RS01905
OG0000095	MFC_RS00230	B5M19_RS04290
OG0000096	MFC_RS00235	B5M19_RS01935
OG0000097	MFC_RS00255	B5M19_RS01955
OG0000098	MFC_RS00265	B5M19_RS04295
OG0000099	MFC_RS00320	B5M19_RS00370
OG0000100	MFC_RS00335	B5M19_RS00385
OG0000101	MFC_RS00340	B5M19_RS00390
OG0000102	MFC_RS00350	B5M19_RS02080
OG0000103	MFC_RS00405	B5M19_RS02960
OG0000104	MFC_RS00410	B5M19_RS04460
OG0000105	MFC_RS00425	B5M19_RS02940
OG0000106	MFC_RS00435	B5M19_RS02930
OG0000107	MFC_RS00445	B5M19_RS04455
OG0000108	MFC_RS00450	B5M19_RS04620
OG0000109	MFC_RS00455	B5M19_RS02910
OG0000110	MFC_RS00460	B5M19_RS02660
OG0000111	MFC_RS00465	B5M19_RS02665
OG0000112	MFC_RS00475	B5M19_RS02675
OG0000113	MFC_RS00490	B5M19_RS02700
OG0000114	MFC_RS00500	B5M19_RS02710
OG0000115	MFC_RS00510	B5M19_RS03610
OG0000116	MFC_RS00520	B5M19_RS02580
OG0000117	MFC_RS00525	B5M19_RS02575
OG0000118	MFC_RS00555	B5M19_RS01235
OG0000119	MFC_RS00560	B5M19_RS01230
OG0000120	MFC_RS00575	B5M19_RS01215
OG0000121	MFC_RS00600	B5M19_RS01190
OG0000122	MFC_RS00605	B5M19_RS01185
OG0000123	MFC_RS00625	B5M19_RS01165
