Orthogroup	MFC_ATCC27716_genes	MHP_232_genes
OG0000000	MFC_RS01410	MHP_RS02080
OG0000000	MFC_RS00365	MHP_RS03825
OG0000001	MFC_RS03350	MHP_RS00720, MHP_RS00725, MHP_RS03580, MHP_RS03935, MHP_RS02610
OG0000002	MFC_RS00395	MHP_RS03905, MHP_RS03800
OG0000002	MFC_RS00370	MHP_RS01720
OG0000004	MFC_RS00155	MHP_RS02960
OG0000008	MFC_RS03380	MHP_RS01640
OG0000011	MFC_RS03510, MFC_RS03505	MHP_RS01915
OG0000011	MFC_RS01350	MHP_RS01910
OG0000013	MFC_RS03175, MFC_RS02880	MHP_RS02275
OG0000013	MFC_RS03420	MHP_RS03840
OG0000014	MFC_RS00870	MHP_RS00920, MHP_RS01385
OG0000016	MFC_RS01050	MHP_RS02785
OG0000017	MFC_RS03155	MHP_RS00165
OG0000017	MFC_RS01040	MHP_RS02795
OG0000018	MFC_RS00540	MHP_RS03940, MHP_RS03945
OG0000019	MFC_RS03000	MHP_RS02965
OG0000020	MFC_RS00305	MHP_RS03465
OG0000020	MFC_RS00300	MHP_RS03470
OG0000022	MFC_RS00360	MHP_RS01705
OG0000023	MFC_RS01695	MHP_RS02730
OG0000024	MFC_RS01110	MHP_RS02605, MHP_RS00730
OG0000025	MFC_RS00355	MHP_RS01700
OG0000026	MFC_RS00580	MHP_RS00640, MHP_RS01680
OG0000027	MFC_RS02850	MHP_RS03280
OG0000028	MFC_RS01205, MFC_RS01200	MHP_RS02285
OG0000029	MFC_RS00875	MHP_RS00925, MHP_RS01380
OG0000030	MFC_RS02855	MHP_RS03260, MHP_RS03275
OG0000031	MFC_RS01295	MHP_RS02675, MHP_RS01600
OG0000032	MFC_RS02860	MHP_RS03960
OG0000037	MFC_RS03185	MHP_RS03820
OG0000039	MFC_RS03135, MFC_RS00935	MHP_RS03880, MHP_RS01615
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	MHP_RS03205
OG0000042	MFC_RS00930, MFC_RS01085	MHP_RS02885
OG0000043	MFC_RS01320	MHP_RS01880
OG0000045	MFC_RS00950	MHP_RS01625
OG0000048	MFC_RS00140	MHP_RS02060
OG0000050	MFC_RS01260	MHP_RS02315
OG0000051	MFC_RS02240	MHP_RS02520
OG0000052	MFC_RS00160	MHP_RS00075
OG0000053	MFC_RS00665	MHP_RS00555
OG0000054	MFC_RS01235	MHP_RS02340
OG0000055	MFC_RS03415, MFC_RS03540	MHP_RS00145
OG0000056	MFC_RS00325	MHP_RS03450
OG0000057	MFC_RS00965	MHP_RS02870
OG0000062	MFC_RS00270	MHP_RS03505
OG0000063	MFC_RS00275	MHP_RS03500
OG0000064	MFC_RS00285	MHP_RS03490
OG0000065	MFC_RS00440	MHP_RS02125
OG0000066	MFC_RS00570	MHP_RS00650
OG0000068	MFC_RS00910	MHP_RS03685
OG0000069	MFC_RS01075	MHP_RS02760
OG0000070	MFC_RS01215	MHP_RS02345
OG0000071	MFC_RS01630	MHP_RS03195
OG0000072	MFC_RS01635	MHP_RS03200
OG0000073	MFC_RS03395, MFC_RS03390	MHP_RS01290
OG0000074	MFC_RS03400	MHP_RS01100
OG0000075	MFC_RS02565	MHP_RS00350
OG0000076	MFC_RS02580	MHP_RS00365
OG0000077	MFC_RS02670	MHP_RS01545
OG0000078	MFC_RS03005	MHP_RS01670
OG0000079	MFC_RS02930, MFC_RS03120	MHP_RS02420
OG0000080	MFC_RS03315	MHP_RS03805
OG0000081	MFC_RS03430, MFC_RS02560	MHP_RS00345
OG0000082	MFC_RS02870	MHP_RS02270
OG0000083	MFC_RS00040	MHP_RS01985
OG0000084	MFC_RS00070	MHP_RS02010
OG0000085	MFC_RS00075	MHP_RS02015
OG0000086	MFC_RS00085	MHP_RS02025
OG0000087	MFC_RS03320	MHP_RS02040
OG0000088	MFC_RS00105	MHP_RS02045
OG0000089	MFC_RS00115	MHP_RS02055
OG0000090	MFC_RS00165	MHP_RS00070
OG0000091	MFC_RS00180	MHP_RS00055
OG0000092	MFC_RS00195	MHP_RS00040
OG0000093	MFC_RS00200	MHP_RS00035
OG0000094	MFC_RS00205	MHP_RS00030
OG0000095	MFC_RS00230	MHP_RS00005
OG0000096	MFC_RS00235	MHP_RS03540
OG0000097	MFC_RS00255	MHP_RS03520
OG0000098	MFC_RS00265	MHP_RS03510
OG0000099	MFC_RS00320	MHP_RS03455
OG0000100	MFC_RS00335	MHP_RS03440
OG0000101	MFC_RS00340	MHP_RS03435
OG0000102	MFC_RS00350	MHP_RS01695
OG0000103	MFC_RS00405	MHP_RS02090
OG0000104	MFC_RS00410	MHP_RS02095
