Orthogroup	MFC_ATCC27716_genes	MFC_Ms42_genes
OG0000000	MFC_RS01410	MYF_RS01330
OG0000000	MFC_RS02935	MYF_RS03215
OG0000000	MFC_RS00010	MYF_RS01460
OG0000000	MFC_RS00365	MYF_RS03295
OG0000001	MFC_RS03350	MYF_RS03415
OG0000002	MFC_RS03355	MYF_RS03430
OG0000002	MFC_RS00395	MYF_RS01530
OG0000002	MFC_RS02940	MYF_RS01475
OG0000002	MFC_RS00370	MYF_RS03010
OG0000003	MFC_RS02995	MYF_RS01515
OG0000004	MFC_RS00155	MYF_RS02535, MYF_RS02545
OG0000007	MFC_RS02975	MYF_RS01510
OG0000007	MFC_RS02970	MYF_RS01505
OG0000007	MFC_RS02965	MYF_RS01500
OG0000008	MFC_RS03380	MYF_RS01875
OG0000011	MFC_RS03510, MFC_RS03505	MYF_RS03310
OG0000011	MFC_RS01350	MYF_RS01270
OG0000013	MFC_RS03175	MYF_RS03170
OG0000013	MFC_RS02880	MYF_RS01100
OG0000013	MFC_RS03420	MYF_RS03400
OG0000014	MFC_RS00870	MYF_RS00550
OG0000015	MFC_RS03450	MYF_RS03470
OG0000016	MFC_RS01050	MYF_RS00730
OG0000016	MFC_RS02390	MYF_RS00130
OG0000017	MFC_RS03155	MYF_RS03155
OG0000017	MFC_RS01040	MYF_RS00720
OG0000018	MFC_RS00540	MYF_RS01675
OG0000019	MFC_RS03000	MYF_RS03445
OG0000019	MFC_RS03330	MYF_RS03440
OG0000020	MFC_RS00305	MYF_RS03080
OG0000020	MFC_RS00300	MYF_RS03085
OG0000022	MFC_RS00360	MYF_RS03025
OG0000023	MFC_RS00535	MYF_RS01670
OG0000023	MFC_RS01695	MYF_RS01880
OG0000024	MFC_RS01110	MYF_RS00790
OG0000025	MFC_RS00355	MYF_RS03030
OG0000026	MFC_RS00580	MYF_RS01715
OG0000027	MFC_RS02850	MYF_RS02825
OG0000028	MFC_RS01205	MYF_RS01125
OG0000028	MFC_RS01200	MYF_RS01120
OG0000029	MFC_RS00875	MYF_RS00555
