Orthogroup	MFC_ATCC27716_genes	MHP_168_genes
OG0000000	MFC_RS01410	MHP168_RS02175
OG0000001	MFC_RS03350	MHP168_RS01365, MHP168_RS03950, MHP168_RS02805, MHP168_RS02755, MHP168_RS02760
OG0000002	MFC_RS00395	MHP168_RS03985, MHP168_RS03895
OG0000002	MFC_RS00370	MHP168_RS01665, MHP168_RS01685
OG0000008	MFC_RS03380	MHP168_RS01780
OG0000011	MFC_RS03510, MFC_RS03505	MHP168_RS04085, MHP168_RS02020
OG0000011	MFC_RS01350	MHP168_RS02015
OG0000013	MFC_RS03175, MFC_RS02880	MHP168_RS02405
OG0000013	MFC_RS03420	MHP168_RS03910
OG0000014	MFC_RS00870	MHP168_RS01070, MHP168_RS01055
OG0000015	MFC_RS03450	MHP168_RS01265
OG0000016	MFC_RS01050	MHP168_RS02850
OG0000017	MFC_RS03155	MHP168_RS00130
OG0000017	MFC_RS01040	MHP168_RS02860
OG0000018	MFC_RS00540	MHP168_RS04035, MHP168_RS04030
OG0000020	MFC_RS00305	MHP168_RS03580
OG0000020	MFC_RS00300	MHP168_RS03585
OG0000022	MFC_RS00360	MHP168_RS01710
OG0000023	MFC_RS01695	MHP168_RS03535
OG0000024	MFC_RS01110	MHP168_RS02750, MHP168_RS03940, MHP168_RS03945
OG0000025	MFC_RS00355	MHP168_RS01715
OG0000026	MFC_RS00580	MHP168_RS01450, MHP168_RS01735
OG0000027	MFC_RS02850	MHP168_RS03330
OG0000028	MFC_RS01205, MFC_RS01200	MHP168_RS02415, MHP168_RS02420
OG0000029	MFC_RS00875	MHP168_RS00575, MHP168_RS01050
OG0000030	MFC_RS02855	MHP168_RS03310, MHP168_RS03325
OG0000031	MFC_RS01295	MHP168_RS03565, MHP168_RS01210, MHP168_RS01815
OG0000032	MFC_RS02860	MHP168_RS03320
OG0000037	MFC_RS00375	MHP168_RS01830
OG0000039	MFC_RS03135, MFC_RS00935	MHP168_RS01800
OG0000040	MFC_RS01640, MFC_RS01160, MFC_RS01165	MHP168_RS03260
OG0000042	MFC_RS00930, MFC_RS01085	MHP168_RS02950
OG0000043	MFC_RS01320	MHP168_RS01205
OG0000045	MFC_RS00950	MHP168_RS01795
OG0000047	MFC_RS03280	MHP168_RS01230
OG0000048	MFC_RS00140	MHP168_RS02190
OG0000050	MFC_RS01260	MHP168_RS02450
OG0000051	MFC_RS02240	MHP168_RS04010
OG0000052	MFC_RS00160	MHP168_RS00070
OG0000053	MFC_RS00665	MHP168_RS01535
OG0000054	MFC_RS01235	MHP168_RS02475
OG0000055	MFC_RS03415, MFC_RS03540	MHP168_RS00110
OG0000056	MFC_RS00325	MHP168_RS03500
OG0000057	MFC_RS00965	MHP168_RS02935
OG0000062	MFC_RS00270	MHP168_RS03625
OG0000063	MFC_RS00275	MHP168_RS03620
OG0000064	MFC_RS00285	MHP168_RS03610
OG0000065	MFC_RS00440	MHP168_RS02125
OG0000066	MFC_RS00570	MHP168_RS01440
OG0000068	MFC_RS00910	MHP168_RS03810
OG0000069	MFC_RS01075	MHP168_RS02825
OG0000070	MFC_RS01215	MHP168_RS02480
OG0000071	MFC_RS01630	MHP168_RS03250
OG0000072	MFC_RS01635	MHP168_RS03255
OG0000073	MFC_RS03395, MFC_RS03390	MHP168_RS00950
OG0000074	MFC_RS03400	MHP168_RS00760
OG0000075	MFC_RS02565	MHP168_RS00315
OG0000076	MFC_RS02580	MHP168_RS00330
OG0000077	MFC_RS02670	MHP168_RS00420
OG0000078	MFC_RS03005	MHP168_RS01745
OG0000079	MFC_RS02930, MFC_RS03120	MHP168_RS02565
OG0000080	MFC_RS03315	MHP168_RS03900
OG0000081	MFC_RS03430, MFC_RS02560	MHP168_RS00310
OG0000082	MFC_RS02870	MHP168_RS03995, MHP168_RS04000
OG0000083	MFC_RS00040	MHP168_RS02095
OG0000084	MFC_RS00070	MHP168_RS02245
OG0000085	MFC_RS00075	MHP168_RS02240
OG0000086	MFC_RS00085	MHP168_RS02230
OG0000087	MFC_RS03320	MHP168_RS02215
OG0000088	MFC_RS00105	MHP168_RS02210
OG0000089	MFC_RS00115	MHP168_RS02195
OG0000090	MFC_RS00165	MHP168_RS00065
OG0000091	MFC_RS00180	MHP168_RS00055
OG0000092	MFC_RS00195	MHP168_RS00040
OG0000093	MFC_RS00200	MHP168_RS00035
OG0000094	MFC_RS00205	MHP168_RS00030
OG0000095	MFC_RS00230	MHP168_RS00005
OG0000096	MFC_RS00235	MHP168_RS03660
OG0000097	MFC_RS00255	MHP168_RS03640
OG0000098	MFC_RS00265	MHP168_RS03630
OG0000099	MFC_RS00320	MHP168_RS03510
OG0000100	MFC_RS00335	MHP168_RS03490
OG0000101	MFC_RS00340	MHP168_RS03485
OG0000102	MFC_RS00350	MHP168_RS01720
OG0000103	MFC_RS00405	MHP168_RS02160
OG0000104	MFC_RS00410	MHP168_RS02155
OG0000105	MFC_RS00425	MHP168_RS02140
OG0000106	MFC_RS00435	MHP168_RS02130
OG0000107	MFC_RS00445	MHP168_RS02120
OG0000108	MFC_RS00450	MHP168_RS02115
OG0000109	MFC_RS00455	MHP168_RS02110
OG0000110	MFC_RS00460	MHP168_RS02385
OG0000111	MFC_RS00465	MHP168_RS02380
OG0000112	MFC_RS00475	MHP168_RS02370
OG0000113	MFC_RS00490	MHP168_RS02350
OG0000114	MFC_RS00500	MHP168_RS02340
OG0000115	MFC_RS00510	MHP168_RS02325
OG0000116	MFC_RS00520	MHP168_RS01380
OG0000117	MFC_RS00525	MHP168_RS01385
OG0000118	MFC_RS00555	MHP168_RS01425
OG0000119	MFC_RS00560	MHP168_RS01430
OG0000120	MFC_RS00575	MHP168_RS01445
OG0000121	MFC_RS00600	MHP168_RS01470
OG0000122	MFC_RS00605	MHP168_RS01475
OG0000123	MFC_RS00625	MHP168_RS01495
OG0000124	MFC_RS00630	MHP168_RS01500
OG0000125	MFC_RS00635	MHP168_RS01505
OG0000126	MFC_RS00645	MHP168_RS01515
