Orthogroup	MHP_MHP653_proteins	MFC_ATCC27716_proteins
OG0000000	WP_308507050.1	WP_318023896.1
OG0000000	WP_308507049.1	WP_081605288.1
OG0000000	WP_308507040.1	WP_002557502.1
OG0000001	WP_187145661.1, WP_258555625.1, WP_228365393.1, WP_258555925.1	WP_002557631.1
OG0000002	WP_258555957.1, WP_160615875.1	WP_002557507.1
OG0000002	WP_160615955.1	WP_002557987.1
OG0000002	WP_160615941.1	WP_002557503.1
OG0000003	WP_308506998.1	WP_039387603.1
OG0000004	WP_220191266.1	WP_231237859.1
OG0000007	WP_160615973.1	WP_002557994.1
OG0000007	WP_160585819.1	WP_002557993.1
OG0000007	WP_160615975.1	WP_002557992.1
OG0000011	WP_160615550.1	WP_002557687.1, WP_002557686.1
OG0000011	WP_160615548.1	WP_039387558.1
OG0000013	WP_258555933.1	WP_002557975.1, WP_051054340.1
OG0000013	WP_308507024.1	WP_002557887.1
OG0000014	WP_160615933.1, WP_160615935.1	WP_002557587.1
OG0000015	WP_225973030.1	WP_039387716.1
OG0000016	WP_160615653.1	WP_002557621.1
OG0000017	WP_020835500.1	WP_002557881.1
OG0000017	WP_011206380.1	WP_144245598.1
OG0000019	WP_160615599.1	WP_051054343.1
OG0000020	WP_160615923.1	WP_002557491.1
OG0000020	WP_220191323.1	WP_002557490.1
OG0000022	WP_160615774.1	WP_002557501.1
OG0000024	WP_160615698.1, WP_258555929.1	WP_231237865.1
OG0000025	WP_160615772.1	WP_002557500.1
OG0000026	WP_220191285.1, WP_160606777.1	WP_002557545.1
OG0000027	WP_160615619.1	WP_002557970.1
OG0000029	WP_160615937.1	WP_002557588.1
OG0000030	WP_240536353.1, WP_160615617.1	WP_002557971.1
OG0000031	WP_011284063.1	WP_002557676.1
OG0000032	WP_258555922.1, WP_308507034.1	WP_002557939.1
OG0000032	WP_308507003.1	WP_231237886.1
OG0000037	WP_308507036.1	WP_318024041.1
OG0000039	WP_160615671.1	WP_002557599.1, WP_002557597.1
OG0000042	WP_160615609.1	WP_002557596.1, WP_002557628.1
OG0000043	WP_160585024.1	WP_002557679.1
OG0000045	WP_258555923.1	WP_002557601.1
OG0000048	WP_011284150.1	WP_039387763.1
OG0000049	WP_160615595.1	WP_231237870.1, WP_318023899.1
OG0000050	WP_160615890.1	WP_002557670.1
OG0000051	WP_308507043.1	WP_002557852.1
OG0000052	WP_146379447.1	WP_002557464.1
OG0000053	WP_160615665.1	WP_002557561.1
OG0000054	WP_011206291.1	WP_002557665.1
OG0000055	WP_160584826.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_160615642.1	WP_081605276.1
OG0000057	WP_258555814.1	WP_231237864.1
OG0000062	WP_160588098.1	WP_002557486.1
OG0000063	WP_041361715.1	WP_002557487.1
OG0000064	WP_160615736.1	WP_002557489.1
OG0000065	WP_011290219.1	WP_002557517.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000067	WP_160615850.1	WP_002557573.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011284269.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_160615899.1	WP_002557736.1
OG0000072	WP_160615897.1	WP_002557737.1
OG0000073	WP_011206093.1	WP_002557772.1, WP_002557771.1
OG0000074	WP_160615806.1	WP_002557807.1
OG0000075	WP_014579568.1	WP_002557918.1
OG0000077	WP_160615512.1	WP_002557937.1
OG0000078	WP_258555938.1	WP_002557996.1
OG0000079	WP_160608044.1	WP_040538387.1, WP_002558020.1
OG0000080	WP_011206314.1	WP_196792423.1
OG0000081	WP_160615521.1	WP_231237881.1, WP_231237882.1
OG0000082	WP_258555932.1	WP_231237888.1
OG0000083	WP_160585593.1	WP_002557446.1
OG0000084	WP_011206222.1	WP_002557451.1
OG0000085	WP_011206223.1	WP_002557452.1
OG0000086	WP_160615566.1	WP_002557454.1
OG0000087	WP_020835732.1	WP_002557457.1
OG0000088	WP_020835733.1	WP_002557458.1
OG0000089	WP_011206231.1	WP_002557461.1
OG0000090	WP_094521535.1	WP_002557465.1
OG0000091	WP_160615746.1	WP_002557468.1
OG0000092	WP_011205847.1	WP_002557471.1
OG0000093	WP_160584856.1	WP_002557472.1
OG0000094	WP_014579519.1	WP_002557473.1
OG0000095	WP_044272251.1	WP_002557479.1
OG0000096	WP_160615742.1	WP_002557480.1
OG0000097	WP_258555934.1	WP_002557483.1
OG0000098	WP_146379769.1	WP_002557485.1
OG0000099	WP_160615967.1	WP_002557494.1
OG0000100	WP_011290432.1	WP_002557496.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_020835678.1	WP_002557499.1
OG0000103	WP_160615871.1	WP_002557509.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_011206242.1	WP_002557514.1
