Orthogroup	MHP_ES2L_protein	MHP_MHP682_protein
OG0000000	WP_014579826.1	WP_146379632.1
OG0000000	WP_179221118.1	WP_160585600.1
OG0000001	WP_240536589.1	WP_160585822.1
OG0000002	WP_240536631.1	WP_308507000.1
OG0000002	WP_240536602.1	WP_258555342.1
OG0000003	WP_218833871.1	WP_308507011.1
OG0000004	WP_225972989.1	WP_308507018.1
OG0000005	WP_179221294.1	WP_160585837.1
OG0000006	WP_179221018.1	WP_160585811.1
OG0000006	WP_179221016.1	WP_220191212.1
OG0000007	WP_240536667.1, WP_240536668.1, WP_218833876.1	WP_308507020.1
OG0000008	WP_179221234.1	WP_160585635.1
OG0000008	WP_179221232.1	WP_160585636.1
OG0000009	WP_179221153.1	WP_160585703.1
OG0000009	WP_179221152.1	WP_160585704.1, WP_160585779.1
OG0000010	WP_240536607.1	WP_258555827.1
OG0000012	WP_179221216.1	WP_160585705.1
OG0000013	WP_233688469.1	WP_258555864.1
OG0000013	WP_240536598.1, WP_011284212.1	WP_258555865.1
OG0000015	WP_179221292.1	WP_160585294.1
OG0000016	WP_240536605.1, WP_240536604.1, WP_240536603.1	WP_160585780.1
OG0000017	WP_179221229.1, WP_179221231.1	WP_258555816.1
OG0000018	WP_179221198.1	WP_160585626.1
OG0000019	WP_179220983.1	WP_160585747.1
OG0000019	WP_011289946.1	WP_160585745.1
OG0000021	WP_240536618.1	WP_160585707.1
OG0000022	WP_240536601.1	WP_258555833.1
OG0000023	WP_179221240.1	WP_160585830.1
OG0000024	WP_179221024.1	WP_160585618.1
OG0000025	WP_240536645.1	WP_160585827.1
OG0000026	WP_179221157.1	WP_160585700.1
OG0000028	WP_179221009.1	WP_044284635.1
OG0000029	WP_179221095.1	WP_258555867.1
OG0000030	WP_179221174.1	WP_160585663.1
OG0000031	WP_135618462.1	WP_160584826.1
OG0000034	WP_011206291.1	WP_160585698.1
OG0000035	WP_179221103.1	WP_160585694.1
OG0000036	WP_179221159.1	WP_160585159.1
OG0000037	WP_179221210.1	WP_160585710.1
OG0000038	WP_228366127.1	WP_258555805.1
OG0000039	WP_179221126.1	WP_160585595.1
OG0000040	WP_179221131.1	WP_011206223.1
OG0000041	WP_179221274.1	WP_308507016.1
OG0000042	WP_179221273.1	WP_160585573.1
OG0000043	WP_179221270.1	WP_160585575.1
OG0000044	WP_179221108.1	WP_160585690.1
OG0000045	WP_179221139.1	WP_011290219.1
OG0000046	WP_011206103.1	WP_011206103.1
OG0000047	WP_228365394.1	WP_225972996.1
OG0000048	WP_160587850.1	WP_160585682.1
OG0000049	WP_011284269.1	WP_011284269.1
OG0000050	WP_011206292.1	WP_146379657.1
OG0000051	WP_135619210.1	WP_135619210.1
OG0000052	WP_179221156.1	WP_160585701.1
OG0000053	WP_179221201.1	WP_160585654.1
OG0000054	WP_179221204.1	WP_160585651.1
OG0000055	WP_011206429.1	WP_160585645.1
OG0000056	WP_179221239.1	WP_160585831.1
OG0000057	WP_011290028.1	WP_011290028.1
OG0000058	WP_179221040.1	WP_160585608.1
OG0000059	WP_179221041.1	WP_044284596.1
OG0000060	WP_011206046.1	WP_011290055.1
OG0000061	WP_011206035.1	WP_011206035.1
OG0000062	WP_179221054.1	WP_146379532.1
OG0000063	WP_179221284.1	WP_160585552.1
OG0000064	WP_179220987.1	WP_160585548.1
OG0000065	WP_179221001.1	WP_014579568.1
OG0000066	WP_179221006.1	WP_160585806.1
OG0000067	WP_179221258.1	WP_011206493.1
OG0000068	WP_179221252.1	WP_160585588.1
OG0000069	WP_179221160.1	WP_020835790.1
OG0000070	WP_146379663.1	WP_011206305.1
OG0000071	WP_179221188.1	WP_146379686.1
OG0000072	WP_179221246.1	WP_160585784.1
OG0000073	WP_011206314.1	WP_179695988.1
OG0000074	WP_240536610.1	WP_258555814.1
OG0000075	WP_011205981.1	WP_160585557.1
OG0000076	WP_240536635.1	WP_160585614.1
OG0000077	WP_240536634.1	WP_160585534.1
OG0000078	WP_240536621.1	WP_308507003.1
OG0000079	WP_240536662.1	WP_220191148.1
OG0000080	WP_179221127.1	WP_160585594.1
OG0000081	WP_179221128.1	WP_160585593.1
OG0000082	WP_179221129.1	WP_160585592.1
OG0000083	WP_011206221.1	WP_160585836.1
OG0000084	WP_011206222.1	WP_011206222.1
OG0000085	WP_011206224.1	WP_011206224.1
OG0000086	WP_179221132.1	WP_160585778.1
OG0000087	WP_240536587.1	WP_220190703.1
OG0000088	WP_044272477.1	WP_044272477.1
OG0000089	WP_044272480.1	WP_044272480.1
OG0000090	WP_011206231.1	WP_011206231.1
OG0000091	WP_179220981.1	WP_146379447.1
OG0000092	WP_011283835.1	WP_160585750.1
OG0000093	WP_179220980.1	WP_160585774.1
OG0000094	WP_179220979.1	WP_020835487.1
OG0000095	WP_011205849.1	WP_160584852.1
OG0000096	WP_179220978.1	WP_160584854.1
