Orthogroup	MHP_ES2L_proteins	MFC_MF18_proteins
OG0000000	WP_179221135.1	WP_255454543.1
OG0000001	WP_240536639.1, WP_240536609.1, WP_240536607.1	WP_220190178.1, WP_160580916.1
OG0000002	WP_179221136.1	WP_160593538.1
OG0000002	WP_179221108.1	WP_160583787.1
OG0000003	WP_240536589.1	WP_160584042.1
OG0000004	WP_240536612.1	WP_220190407.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000011	WP_020835714.1, WP_179221118.1	WP_220190416.1, WP_308507119.1
OG0000013	WP_240536602.1	WP_160593399.1, WP_160583612.1
OG0000013	WP_240536631.1	WP_258556248.1
OG0000014	WP_179221016.1, WP_179221018.1	WP_220190396.1
OG0000016	WP_179221190.1	WP_160580902.1
OG0000017	WP_020835500.1	WP_160583745.1
OG0000017	WP_020835837.1	WP_160593373.1
OG0000018	WP_179221210.1	WP_160581182.1
OG0000020	WP_240536626.1, WP_240536625.1	WP_160583771.1
OG0000020	WP_179221274.1	WP_220190184.1
OG0000022	WP_179221107.1	WP_160583783.1
OG0000023	WP_179221068.1, WP_179221212.1	WP_160583963.1
OG0000024	WP_179221186.1, WP_011205981.1	WP_258556250.1
OG0000025	WP_179221106.1	WP_160583781.1
OG0000026	WP_179221074.1, WP_179221105.1	WP_160581190.1
OG0000027	WP_011206475.1	WP_308507118.1
OG0000027	WP_179221251.1	WP_160593509.1
OG0000028	WP_179221153.1	WP_160593401.1
OG0000029	WP_179221049.1, WP_179221019.1	WP_160593361.1
OG0000030	WP_179221248.1, WP_179221250.1	WP_160583816.1
OG0000031	WP_011206356.1	WP_160584009.1
OG0000032	WP_179221091.1, WP_240536621.1	WP_220190186.1
OG0000039	WP_179221095.1	WP_160593365.1
OG0000040	WP_179221240.1	WP_258556256.1, WP_160593380.1
OG0000042	WP_179221198.1	WP_160593363.1, WP_160583661.1
OG0000043	WP_014579804.1	WP_160581416.1
OG0000045	WP_240536645.1	WP_255454455.1, WP_255454456.1
OG0000047	WP_240536618.1	WP_160593376.1
OG0000048	WP_011284150.1	WP_308507122.1, WP_160593522.1
OG0000050	WP_179221157.1	WP_160593409.1
OG0000051	WP_179221174.1	WP_160583877.1
OG0000052	WP_179220981.1	WP_002557464.1
OG0000053	WP_179221080.1	WP_160593530.1
OG0000054	WP_011206291.1	WP_160593405.1
OG0000055	WP_135618462.1	WP_323749063.1
OG0000056	WP_179221272.1	WP_160593493.1
OG0000057	WP_240536610.1	WP_255454457.1
OG0000062	WP_011206522.1	WP_002557486.1
OG0000063	WP_179221276.1	WP_160593336.1
OG0000064	WP_179221275.1	WP_160583769.1
OG0000065	WP_179221139.1	WP_160583941.1
OG0000066	WP_011205965.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
OG0000069	WP_011284269.1	WP_002557626.1
OG0000070	WP_011206292.1	WP_002557663.1
OG0000071	WP_179221239.1	WP_160581282.1
OG0000072	WP_240536620.1	WP_160593453.1
OG0000073	WP_011206093.1	WP_039387630.1
OG0000074	WP_179221041.1	WP_308507108.1
OG0000075	WP_179221001.1	WP_160581028.1
OG0000076	WP_179221002.1	WP_160593357.1
OG0000077	WP_179221006.1	WP_160583701.1
OG0000078	WP_179221103.1	WP_160593384.1
OG0000079	WP_146379663.1	WP_160580968.1
OG0000080	WP_011206314.1	WP_196792423.1
OG0000081	WP_240536634.1	WP_308507105.1
OG0000082	WP_240536601.1	WP_220190398.1
OG0000083	WP_179221128.1	WP_160593548.1
OG0000084	WP_011206222.1	WP_002557451.1
OG0000085	WP_179221131.1	WP_308507123.1, WP_002557452.1
OG0000086	WP_179221132.1	WP_160593520.1
OG0000087	WP_044272477.1	WP_236681783.1
OG0000088	WP_044272480.1	WP_160581443.1
OG0000089	WP_011206231.1	WP_002557461.1
OG0000090	WP_011283835.1	WP_002557465.1
OG0000091	WP_179220979.1	WP_160593341.1
OG0000092	WP_011205847.1	WP_002557471.1
OG0000093	WP_179220977.1	WP_002557472.1
OG0000094	WP_014579519.1	WP_160583755.1
OG0000095	WP_179220973.1	WP_002557479.1
OG0000096	WP_011206529.1	WP_002557480.1
OG0000097	WP_179221279.1	WP_160583764.1
OG0000098	WP_179221277.1	WP_002557485.1
OG0000099	WP_179221273.1	WP_160593495.1
OG0000100	WP_179221270.1	WP_002557496.1
OG0000101	WP_011206510.1	WP_002557497.1
OG0000102	WP_240536650.1	WP_160593490.1
OG0000103	WP_160585202.1	WP_160583935.1
OG0000104	WP_011206239.1	WP_002557510.1
OG0000105	WP_011206242.1	WP_002557514.1
OG0000106	WP_160585203.1	WP_160583939.1
OG0000107	WP_011284169.1	WP_002557518.1
OG0000108	WP_011206247.1	WP_002557519.1
OG0000109	WP_014579826.1	WP_160583943.1
OG0000110	WP_179221149.1	WP_160581160.1
OG0000111	WP_240536600.1	WP_220190224.1
OG0000112	WP_240536599.1	WP_160583949.1
OG0000113	WP_011206268.1	WP_160593462.1
OG0000114	WP_240536596.1	WP_002557530.1
OG0000115	WP_179221143.1	WP_160583957.1
OG0000116	WP_179221066.1	WP_160583961.1
OG0000117	WP_179221067.1	WP_160581178.1
OG0000118	WP_179221071.1	WP_002557540.1
OG0000119	WP_179221072.1	WP_160593469.1
OG0000120	WP_011284027.1	WP_160581189.1
OG0000121	WP_011284032.1	WP_160583971.1
OG0000122	WP_020835643.1	WP_002557549.1
