Orthogroup	MHP_ES2L_proteins	MHP_MHP653_proteins
OG0000000	WP_240536667.1, WP_240536668.1	WP_160615959.1
OG0000000	WP_218833876.1	WP_308507049.1
OG0000000	WP_179221135.1	WP_146420414.1
OG0000000	WP_318036674.1	WP_240532016.1
OG0000000	WP_240536594.1	WP_225972977.1
OG0000000	WP_179221294.1	WP_334199374.1
OG0000001	WP_240536639.1	WP_187145661.1
OG0000001	WP_240536609.1	WP_228365393.1
OG0000002	WP_179221136.1	WP_160615955.1
OG0000002	WP_179221108.1	WP_160615941.1
OG0000003	WP_044272440.1	WP_160615980.1, WP_160615982.1
OG0000003	WP_240536590.1	WP_240536590.1
OG0000003	WP_240536589.1	WP_308506998.1
OG0000003	WP_240536655.1	WP_192894277.1
OG0000004	WP_240536612.1	WP_220191266.1
OG0000005	WP_146379449.1	WP_160615846.1
OG0000005	WP_179220984.1	WP_160615840.1
OG0000005	WP_179220982.1	WP_160615842.1
OG0000005	WP_179220983.1	WP_160585747.1
OG0000005	WP_011289946.1	WP_160615838.1
OG0000006	WP_233688469.1	WP_258555632.1
OG0000007	WP_011284157.1	WP_160615973.1
OG0000007	WP_002557993.1	WP_160585819.1
OG0000007	WP_002557992.1	WP_160615975.1
OG0000008	WP_225972989.1	WP_258555965.1
OG0000010	WP_179221114.1	WP_160615540.1
OG0000011	WP_179221118.1	WP_160615550.1
OG0000012	WP_146379492.1	WP_160615643.1
OG0000012	WP_179221115.1	WP_158632000.1
OG0000013	WP_240536602.1	WP_258555933.1
OG0000013	WP_240536631.1	WP_308507024.1
OG0000014	WP_179221016.1	WP_160615933.1
OG0000014	WP_179221018.1	WP_160615935.1
OG0000015	WP_269076340.1, WP_240536643.1, WP_179221216.1	WP_225973030.1
OG0000016	WP_179221190.1	WP_160615653.1
OG0000016	WP_179220988.1	WP_160585547.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_011206380.1
OG0000018	WP_179221069.1	WP_020835635.1
OG0000019	WP_233688517.1	WP_160615599.1
OG0000020	WP_240536626.1, WP_240536625.1	WP_160615923.1
OG0000020	WP_179221274.1	WP_220191323.1
OG0000021	WP_179221009.1	WP_160615961.1
OG0000022	WP_179221100.1	WP_160615764.1
OG0000022	WP_179221107.1	WP_160615774.1
OG0000024	WP_179221186.1	WP_160615698.1
OG0000024	WP_011205981.1	WP_258555929.1
OG0000025	WP_179221101.1	WP_160615766.1
OG0000025	WP_179221106.1	WP_160615772.1
OG0000026	WP_179221074.1	WP_220191285.1
OG0000026	WP_179221105.1	WP_160606777.1
OG0000027	WP_011206475.1	WP_011206475.1
OG0000027	WP_179221251.1	WP_160615619.1
OG0000028	WP_179221153.1	WP_160615971.1
OG0000028	WP_179221152.1	WP_160615730.1
OG0000029	WP_179221019.1	WP_160615937.1
OG0000030	WP_179221248.1	WP_240536353.1
OG0000030	WP_179221250.1	WP_160615617.1
OG0000032	WP_179221091.1	WP_308507034.1
OG0000032	WP_240536621.1	WP_308507003.1
OG0000034	WP_233688423.1	WP_243234977.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000035	WP_179221229.1	WP_160615978.1
OG0000036	WP_240536627.1	WP_220191312.1
OG0000036	WP_240536628.1, WP_240536629.1	WP_160584828.1
OG0000037	WP_179221292.1	WP_308507036.1
OG0000038	WP_179221008.1	WP_160615508.1
OG0000039	WP_179221095.1	WP_160615671.1
OG0000042	WP_179221198.1	WP_160615609.1
OG0000043	WP_014579804.1	WP_160585024.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_240536645.1	WP_258555923.1
OG0000046	WP_179221242.1	WP_308507046.1
OG0000048	WP_011284150.1	WP_011284150.1
OG0000049	WP_179221202.1	WP_160615595.1
OG0000050	WP_179221157.1	WP_160615890.1
OG0000051	WP_179221174.1	WP_308507043.1
OG0000052	WP_179220981.1	WP_146379447.1
OG0000053	WP_179221080.1	WP_160615665.1
OG0000054	WP_011206291.1	WP_011206291.1
OG0000055	WP_135618462.1	WP_160584826.1
OG0000056	WP_179221272.1	WP_160615642.1
OG0000057	WP_240536610.1	WP_258555814.1
OG0000060	WP_220191083.1	WP_240536367.1
OG0000061	WP_135618818.1	WP_160615544.1
OG0000062	WP_011206522.1	WP_160588098.1
OG0000063	WP_179221276.1	WP_041361715.1
OG0000064	WP_179221275.1	WP_160615736.1
OG0000065	WP_179221139.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_179221011.1	WP_160615951.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_179221239.1	WP_160615899.1
OG0000072	WP_240536620.1	WP_160615897.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_179221041.1	WP_160615806.1
OG0000075	WP_179221001.1	WP_014579568.1
OG0000077	WP_179221006.1	WP_160615512.1
OG0000078	WP_179221103.1	WP_258555938.1
OG0000079	WP_146379663.1	WP_160608044.1
OG0000080	WP_011206314.1	WP_011206314.1
OG0000081	WP_240536634.1	WP_160615521.1
OG0000082	WP_240536601.1	WP_258555932.1
OG0000083	WP_179221128.1	WP_160585593.1
OG0000084	WP_011206222.1	WP_011206222.1
OG0000085	WP_179221131.1	WP_011206223.1
OG0000086	WP_179221132.1	WP_160615566.1
OG0000087	WP_044272477.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_094521535.1
OG0000091	WP_179220979.1	WP_160615746.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_179220977.1	WP_160584856.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_179220973.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_160615742.1
OG0000097	WP_179221279.1	WP_258555934.1
OG0000098	WP_179221277.1	WP_146379769.1
OG0000099	WP_179221273.1	WP_160615967.1
OG0000100	WP_179221270.1	WP_011290432.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_240536650.1	WP_020835678.1
OG0000103	WP_160585202.1	WP_160615871.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_011206242.1	WP_011206242.1
OG0000106	WP_160585203.1	WP_135618884.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_308507045.1
OG0000109	WP_014579826.1	WP_146379632.1
OG0000110	WP_179221149.1	WP_146379648.1
OG0000111	WP_240536600.1	WP_225972982.1
OG0000112	WP_240536599.1	WP_258555931.1
OG0000113	WP_011206268.1	WP_020835765.1
OG0000114	WP_240536596.1	WP_258555964.1
OG0000115	WP_179221143.1	WP_011290245.1
OG0000116	WP_179221066.1	WP_160615716.1
OG0000117	WP_179221067.1	WP_160615714.1
OG0000118	WP_179221071.1	WP_308507037.1
OG0000119	WP_179221072.1	WP_160615708.1
OG0000120	WP_011284027.1	WP_160585676.1
OG0000121	WP_011284032.1	WP_011284032.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011290118.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_011290120.1
OG0000127	WP_011205948.1	WP_011290122.1
OG0000128	WP_179221081.1	WP_160585820.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_179221083.1	WP_146379566.1
OG0000132	WP_179221086.1	WP_094521636.1
OG0000133	WP_179221012.1	WP_094521764.1
OG0000134	WP_237697227.1	WP_308507044.1
OG0000135	WP_160585148.1	WP_160585148.1
OG0000136	WP_011206119.1	WP_135618546.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_179221021.1	WP_160584793.1
OG0000139	WP_179221023.1	WP_011290017.1
OG0000140	WP_011206101.1	WP_160584795.1
OG0000141	WP_160600792.1	WP_011290345.1
OG0000142	WP_179221197.1	WP_160615645.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_179221195.1	WP_160615647.1
OG0000145	WP_228365394.1	WP_228365394.1
OG0000146	WP_011206385.1	WP_160615649.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_179221191.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_160600765.1	WP_020835828.1
OG0000152	WP_011206348.1	WP_020835827.1
OG0000153	WP_160615699.1	WP_160615699.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_179221183.1	WP_020835820.1
OG0000156	WP_179221181.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_020835818.1
OG0000158	WP_179221179.1	WP_160615687.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_160590318.1
OG0000161	WP_146379654.1	WP_011206287.1
OG0000162	WP_135619210.1	WP_044272532.1
OG0000163	WP_179221156.1	WP_160615892.1
OG0000164	WP_179221094.1	WP_146379571.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_179221120.1	WP_160615554.1
OG0000167	WP_135618846.1	WP_011206207.1
OG0000168	WP_135618848.1	WP_160585173.1
OG0000169	WP_179221201.1	WP_160615597.1
OG0000170	WP_179221204.1	WP_020835862.1
OG0000171	WP_050195447.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_135619059.1	WP_011290368.1
OG0000174	WP_011290369.1	WP_160615593.1
OG0000175	WP_011206429.1	WP_160615587.1
OG0000176	WP_179221225.1	WP_146379725.1
OG0000177	WP_160585273.1	WP_160585273.1
OG0000178	WP_011206441.1	WP_044272620.1
OG0000179	WP_179221227.1	WP_160590183.1
OG0000180	WP_160600945.1	WP_160585638.1
OG0000181	WP_179221235.1	WP_160585796.1
OG0000182	WP_014579987.1	WP_011284337.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_146379743.1	WP_160585238.1
OG0000185	WP_011290398.1	WP_020835897.1
OG0000186	WP_011205937.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_179221142.1	WP_160615909.1
OG0000190	WP_011206256.1	WP_160615911.1
