Orthogroup	MHP_ES2L_proteins	MHP_F72C_proteins
OG0000000	WP_240536667.1, WP_240536668.1	WP_225973043.1
OG0000000	WP_218833876.1	WP_146379517.1
OG0000000	WP_179221135.1	WP_225973023.1
OG0000000	WP_094521686.1	WP_225973037.1
OG0000000	WP_318036674.1	WP_225973050.1
OG0000000	WP_240536594.1	WP_225972977.1
OG0000000	WP_179221294.1	WP_146379582.1
OG0000001	WP_240536609.1	WP_225972995.1
OG0000001	WP_240536607.1	WP_225972991.1
OG0000002	WP_179221136.1	WP_225973021.1
OG0000002	WP_179221108.1	WP_146379583.1
OG0000003	WP_044272440.1	WP_146379620.1, WP_146379482.1
OG0000003	WP_240536589.1	WP_225973025.1
OG0000003	WP_240536655.1	WP_192894277.1
OG0000004	WP_179221232.1	WP_020835883.1
OG0000004	WP_179221234.1	WP_020835887.1
OG0000004	WP_240536611.1	WP_225972998.1
OG0000004	WP_240536612.1	WP_225972999.1
OG0000005	WP_146379449.1	WP_146379449.1
OG0000005	WP_179220984.1	WP_146379452.1
OG0000005	WP_179220982.1	WP_146379450.1
OG0000005	WP_179220983.1	WP_146379451.1
OG0000005	WP_011289946.1	WP_146379453.1
OG0000006	WP_233688469.1	WP_225972988.1
OG0000006	WP_240536597.1	WP_258555362.1
OG0000007	WP_011284157.1	WP_146379518.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_011206260.1	WP_011290229.1
OG0000008	WP_240536647.1	WP_225973033.1
OG0000008	WP_225972989.1	WP_225972989.1
OG0000009	WP_179221024.1	WP_146379497.1
OG0000010	WP_179221114.1	WP_146379615.1
OG0000011	WP_179221118.1	WP_146379608.1
OG0000012	WP_146379492.1	WP_011284103.1, WP_146379586.1, WP_146379713.1, WP_146379492.1
OG0000012	WP_179221115.1	WP_158632000.1
OG0000013	WP_240536602.1	WP_225972984.1
OG0000013	WP_240536631.1	WP_225973006.1
OG0000014	WP_179221016.1	WP_146379490.1
OG0000016	WP_179221190.1	WP_146379690.1
OG0000016	WP_179220988.1	WP_146379459.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000019	WP_233688517.1	WP_146379712.1
OG0000019	WP_240536613.1	WP_146379710.1
OG0000020	WP_240536625.1	WP_146379767.1
OG0000020	WP_179221274.1	WP_192894283.1
OG0000021	WP_094521655.1	WP_094521655.1
OG0000022	WP_179221100.1	WP_146379575.1
OG0000022	WP_179221107.1	WP_146379581.1
OG0000023	WP_179221068.1	WP_146379552.1
OG0000024	WP_179221186.1	WP_146379683.1
OG0000024	WP_011205981.1	WP_146379547.1
OG0000025	WP_179221101.1	WP_146379576.1
OG0000025	WP_179221106.1	WP_146379580.1
OG0000026	WP_179221074.1	WP_192894288.1
OG0000026	WP_179221105.1	WP_146379579.1
OG0000027	WP_011206475.1	WP_146379747.1
OG0000028	WP_179221152.1	WP_146379651.1
OG0000029	WP_179221049.1	WP_146379525.1
OG0000029	WP_179221019.1	WP_146379491.1
OG0000030	WP_179221248.1	WP_044272656.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000031	WP_011206356.1	WP_011290137.1
OG0000032	WP_179221091.1	WP_135618726.1
OG0000035	WP_179221231.1	WP_146379730.1
OG0000035	WP_179221229.1	WP_146379728.1
OG0000036	WP_240536627.1	WP_225973004.1, WP_225973005.1
OG0000036	WP_240536628.1, WP_240536629.1	WP_146379454.1
OG0000037	WP_240536665.1	WP_225973046.1
OG0000037	WP_179221292.1	WP_240536496.1
OG0000038	WP_179221109.1	WP_146379621.1, WP_146379625.1
OG0000038	WP_179221008.1	WP_146379481.1
OG0000039	WP_179221095.1	WP_146379572.1
OG0000040	WP_179221240.1	WP_146379737.1
OG0000041	WP_228366127.1	WP_192894287.1
OG0000042	WP_179221198.1	WP_146379699.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_240536645.1	WP_225973032.1
OG0000046	WP_179221242.1	WP_146379739.1
OG0000048	WP_011284150.1	WP_146379588.1
OG0000049	WP_179221202.1	WP_146379714.1
OG0000050	WP_179221157.1	WP_146379653.1
OG0000051	WP_179221174.1	WP_146379673.1
OG0000052	WP_179220981.1	WP_146379447.1
OG0000053	WP_179221080.1	WP_146379563.1
OG0000054	WP_011206291.1	WP_146379656.1
OG0000055	WP_135618462.1	WP_146379455.1
OG0000056	WP_179221272.1	WP_146379764.1
OG0000057	WP_240536610.1	WP_146379697.1
OG0000060	WP_220191083.1	WP_225973002.1
OG0000061	WP_135618818.1	WP_146379613.1
OG0000062	WP_011206522.1	WP_011290443.1
OG0000063	WP_179221276.1	WP_146379768.1
OG0000064	WP_179221275.1	WP_011290440.1
OG0000065	WP_179221139.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_179221011.1	WP_146379483.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_146379657.1
OG0000071	WP_179221239.1	WP_146379735.1
OG0000072	WP_240536620.1	WP_146379736.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_179221041.1	WP_044284596.1
OG0000076	WP_179221002.1	WP_146379475.1
OG0000077	WP_179221006.1	WP_146379479.1
OG0000078	WP_179221103.1	WP_146379578.1
OG0000079	WP_146379663.1	WP_146379663.1
OG0000080	WP_011206314.1	WP_192894279.1
OG0000081	WP_240536634.1	WP_225973010.1
OG0000082	WP_240536601.1	WP_225972983.1
OG0000083	WP_179221128.1	WP_146379599.1
OG0000084	WP_011206222.1	WP_011284142.1
OG0000085	WP_179221131.1	WP_146379595.1
OG0000086	WP_179221132.1	WP_146379593.1
OG0000087	WP_044272477.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_146379590.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_011283835.1	WP_094521535.1
OG0000091	WP_179220979.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_179220977.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_014579519.1
OG0000095	WP_179220973.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_179221279.1	WP_146379771.1
OG0000098	WP_179221277.1	WP_146379769.1
OG0000099	WP_179221273.1	WP_146379765.1
OG0000100	WP_179221270.1	WP_146379762.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_240536650.1	WP_225973035.1
OG0000103	WP_160585202.1	WP_146379627.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_011206242.1	WP_146379630.1
OG0000106	WP_160585203.1	WP_146379631.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_011206247.1	WP_192894278.1
OG0000109	WP_014579826.1	WP_146379632.1
OG0000110	WP_179221149.1	WP_146379648.1
OG0000111	WP_240536600.1	WP_225972982.1
OG0000112	WP_240536599.1	WP_225972981.1
OG0000113	WP_011206268.1	WP_146379641.1
OG0000114	WP_240536596.1	WP_225972979.1
OG0000115	WP_179221143.1	WP_011290245.1
OG0000116	WP_179221066.1	WP_146379549.1
OG0000117	WP_179221067.1	WP_146379550.1
OG0000118	WP_179221071.1	WP_011290108.1
OG0000119	WP_179221072.1	WP_135618686.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_146379557.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_011205953.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011290120.1	WP_146379560.1
OG0000127	WP_011205948.1	WP_146379562.1
OG0000128	WP_179221081.1	WP_146379564.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_179221083.1	WP_146379566.1
OG0000132	WP_179221086.1	WP_135618714.1
OG0000133	WP_179221012.1	WP_014579589.1
OG0000134	WP_237697227.1	WP_225973012.1
OG0000135	WP_160585148.1	WP_011206120.1
OG0000136	WP_011206119.1	WP_011206119.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_179221021.1	WP_146379494.1
OG0000139	WP_179221023.1	WP_011206102.1
OG0000140	WP_011206101.1	WP_146379496.1
OG0000141	WP_160600792.1	WP_146379698.1
OG0000142	WP_179221197.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_011206391.1
OG0000144	WP_179221195.1	WP_146379694.1
OG0000145	WP_228365394.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_146379692.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_179221191.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_135619006.1	WP_135619006.1
OG0000151	WP_160600765.1	WP_020835828.1
OG0000152	WP_011206348.1	WP_020835827.1
OG0000153	WP_160615699.1	WP_146379685.1
OG0000154	WP_011206345.1	WP_011206345.1
OG0000155	WP_179221183.1	WP_020835820.1
OG0000156	WP_179221181.1	WP_011206335.1
OG0000157	WP_011206334.1	WP_011206334.1
OG0000158	WP_179221179.1	WP_146379680.1
OG0000159	WP_011206289.1	WP_011206289.1
OG0000160	WP_179221158.1	WP_179221158.1
OG0000161	WP_146379654.1	WP_146379654.1
OG0000162	WP_135619210.1	WP_044272532.1
OG0000163	WP_179221156.1	WP_044272529.1
OG0000164	WP_179221094.1	WP_146379571.1
OG0000165	WP_011206200.1	WP_011206200.1
OG0000166	WP_179221120.1	WP_011290193.1
OG0000167	WP_135618846.1	WP_011206207.1
OG0000168	WP_135618848.1	WP_146379604.1
OG0000169	WP_179221201.1	WP_094521497.1
OG0000170	WP_179221204.1	WP_146379716.1
OG0000171	WP_050195447.1	WP_146379717.1
OG0000172	WP_011206424.1	WP_011206424.1
OG0000173	WP_135619059.1	WP_011284312.1
OG0000174	WP_011290369.1	WP_146379719.1
OG0000175	WP_011206429.1	WP_146379721.1
OG0000176	WP_179221225.1	WP_146379725.1
OG0000177	WP_160585273.1	WP_146379726.1
OG0000178	WP_011206441.1	WP_044272620.1
OG0000179	WP_179221227.1	WP_020835880.1
OG0000180	WP_160600945.1	WP_081642895.1
OG0000181	WP_179221235.1	WP_020835888.1
OG0000182	WP_014579987.1	WP_011206453.1
OG0000183	WP_011206459.1	WP_011206459.1
OG0000184	WP_146379743.1	WP_146379743.1
OG0000185	WP_011290398.1	WP_146379740.1
OG0000186	WP_011205937.1	WP_020835656.1
OG0000187	WP_011284055.1	WP_011284055.1
OG0000188	WP_011205932.1	WP_011205932.1
OG0000189	WP_179221142.1	WP_146379638.1
OG0000190	WP_011206256.1	WP_146379637.1
OG0000191	WP_135619204.1	WP_146379633.1
OG0000192	WP_179221288.1	WP_146379779.1
OG0000193	WP_011283999.1	WP_094521610.1
OG0000194	WP_011290023.1	WP_011290023.1
OG0000195	WP_011290024.1	WP_094521583.1
OG0000196	WP_179221025.1	WP_179695841.1
OG0000197	WP_041361572.1	WP_041361572.1
OG0000198	WP_011283930.1	WP_011283930.1
OG0000199	WP_011206086.1	WP_011206086.1
OG0000200	WP_179221026.1	WP_146379501.1
OG0000201	WP_011283934.1	WP_011283934.1
OG0000202	WP_011206073.1	WP_146379507.1
OG0000203	WP_011206072.1	WP_011206072.1
OG0000204	WP_179221034.1	WP_146379508.1
OG0000205	WP_179221035.1	WP_146379509.1
OG0000206	WP_011206066.1	WP_135618589.1
OG0000207	WP_179221038.1	WP_094521594.1
OG0000208	WP_179221039.1	WP_011290046.1
OG0000209	WP_011206061.1	WP_011206061.1
OG0000210	WP_044284597.1	WP_146379515.1
OG0000211	WP_135618610.1	WP_011290054.1
OG0000212	WP_011206048.1	WP_011206048.1
OG0000213	WP_011283963.1	WP_011283963.1
OG0000214	WP_011206047.1	WP_011206047.1
OG0000215	WP_011206046.1	WP_011290055.1
OG0000216	WP_014579616.1	WP_014579616.1
OG0000217	WP_011206044.1	WP_146379520.1
OG0000218	WP_179221043.1	WP_011290058.1
OG0000219	WP_020835591.1	WP_011206041.1
OG0000220	WP_179221044.1	WP_020835592.1
OG0000221	WP_011206039.1	WP_011206039.1
OG0000222	WP_011206038.1	WP_011206038.1
OG0000223	WP_179221045.1	WP_041361589.1
OG0000224	WP_011206035.1	WP_011206035.1
OG0000225	WP_044284599.1	WP_146379522.1
OG0000226	WP_011206032.1	WP_011206032.1
OG0000227	WP_179221046.1	WP_011290064.1
OG0000228	WP_179221047.1	WP_041361593.1
OG0000229	WP_011206028.1	WP_011206028.1
OG0000230	WP_014579605.1	WP_014579605.1
OG0000231	WP_179221048.1	WP_011206025.1
OG0000232	WP_014579601.1	WP_014579601.1
OG0000233	WP_179221050.1	WP_146379528.1
OG0000234	WP_044284822.1	WP_146379533.1
OG0000235	WP_160587980.1	WP_146379535.1
OG0000236	WP_011283989.1	WP_146379536.1
OG0000237	WP_179221055.1	WP_146379537.1
OG0000238	WP_011206006.1	WP_011206006.1
OG0000239	WP_011206399.1	WP_146379700.1
OG0000240	WP_011206400.1	WP_020835851.1
OG0000241	WP_160585231.1	WP_044272588.1
OG0000242	WP_179221199.1	WP_146379702.1
OG0000243	WP_014579955.1	WP_146379703.1
OG0000244	WP_011206406.1	WP_146379705.1
OG0000245	WP_020835856.1	WP_146379707.1
OG0000246	WP_240536630.1	WP_050195463.1
OG0000247	WP_179220986.1	WP_146379457.1
OG0000248	WP_179221284.1	WP_146379774.1
OG0000249	WP_179220987.1	WP_146379458.1
OG0000250	WP_011289957.1	WP_011289957.1
OG0000251	WP_179220991.1	WP_146379462.1
OG0000252	WP_011205883.1	WP_011205883.1
OG0000253	WP_179220992.1	WP_146379464.1
OG0000254	WP_160584767.1	WP_146379465.1
OG0000255	WP_014579550.1	WP_014579550.1
OG0000256	WP_011205889.1	WP_011205889.1
OG0000257	WP_011289973.1	WP_011289973.1
OG0000258	WP_011283871.1	WP_011289974.1
OG0000259	WP_240536633.1	WP_225973009.1
OG0000260	WP_011289982.1	WP_146379471.1
OG0000261	WP_179221000.1	WP_146379473.1
OG0000262	WP_135618519.1	WP_135618519.1
OG0000263	WP_011283885.1	WP_011283885.1
OG0000264	WP_011205916.1	WP_011283887.1
OG0000265	WP_044284579.1	WP_146379476.1
OG0000266	WP_011205923.1	WP_011205923.1
OG0000267	WP_014579577.1	WP_146379477.1
OG0000268	WP_179221004.1	WP_146379478.1
OG0000269	WP_011206134.1	WP_011206134.1
OG0000270	WP_179221266.1	WP_146379759.1
OG0000271	WP_179221265.1	WP_020835915.1
OG0000272	WP_011284373.1	WP_146379758.1
OG0000273	WP_179221264.1	WP_146379757.1
OG0000274	WP_179221261.1	WP_011290423.1
OG0000275	WP_240536623.1	WP_225973001.1
OG0000276	WP_011284368.1	WP_011290421.1
OG0000277	WP_179221259.1	WP_011206494.1
OG0000278	WP_179221258.1	WP_146379752.1
OG0000279	WP_014580014.1	WP_011290418.1
OG0000280	WP_135619140.1	WP_094521520.1
OG0000281	WP_014580012.1	WP_014580012.1
OG0000282	WP_179221256.1	WP_146379750.1
OG0000283	WP_044272663.1	WP_014580009.1
OG0000284	WP_179221255.1	WP_011206484.1
OG0000285	WP_179221254.1	WP_011290413.1
OG0000286	WP_179221154.1	WP_146379652.1
OG0000287	WP_179221161.1	WP_146379659.1
OG0000288	WP_179221163.1	WP_146379661.1
OG0000289	WP_179221164.1	WP_020835793.1
OG0000290	WP_135618967.1	WP_146379672.1
OG0000291	WP_011206320.1	WP_011206320.1
OG0000292	WP_179221172.1	WP_146379670.1
OG0000293	WP_179221171.1	WP_020835805.1
OG0000294	WP_179221170.1	WP_146379669.1
OG0000295	WP_011206315.1	WP_011206315.1
OG0000296	WP_011206307.1	WP_041361673.1
OG0000297	WP_020835798.1	WP_146379664.1
OG0000298	WP_179220989.1	WP_146379460.1
OG0000299	WP_011205878.1	WP_011205878.1
OG0000300	WP_014579572.1	WP_041361533.1
OG0000301	WP_011283891.1	WP_135618529.1
OG0000302	WP_014579576.1	WP_011205925.1
OG0000303	WP_146379484.1	WP_146379484.1
OG0000304	WP_011283978.1	WP_220190741.1
OG0000305	WP_179221193.1	WP_020835841.1
OG0000306	WP_179221188.1	WP_146379686.1
OG0000307	WP_160608072.1	WP_135618990.1
OG0000308	WP_179221175.1	WP_146379674.1
OG0000309	WP_011206313.1	WP_146379668.1
OG0000310	WP_179221162.1	WP_146379660.1
OG0000311	WP_011206293.1	WP_011206293.1
OG0000312	WP_179221159.1	WP_041361671.1
OG0000313	WP_179221093.1	WP_011206141.1
OG0000314	WP_179221119.1	WP_146379607.1
OG0000315	WP_179221124.1	WP_011290197.1
OG0000316	WP_179221125.1	WP_014579818.1
OG0000317	WP_179221134.1	WP_146379589.1
OG0000318	WP_240536661.1	WP_220200854.1
OG0000319	WP_135618880.1	WP_146379629.1
OG0000320	WP_179221145.1	WP_146379643.1
OG0000321	WP_011205969.1	WP_011205969.1
OG0000322	WP_020835642.1	WP_020835642.1
OG0000323	WP_179221085.1	WP_146379567.1
OG0000324	WP_135618886.1	WP_094521693.1
OG0000325	WP_011206094.1	WP_011206094.1
OG0000326	WP_179221031.1	WP_146379505.1
OG0000327	WP_011206076.1	WP_146379506.1
OG0000328	WP_220200845.1	WP_225973016.1
OG0000329	WP_044284742.1	WP_225973017.1
OG0000330	WP_011206016.1	WP_011206016.1
OG0000331	WP_011206405.1	WP_146379704.1
OG0000332	WP_179221219.1	WP_011290372.1
OG0000333	WP_011206433.1	WP_011206433.1
OG0000334	WP_160601134.1	WP_044272637.1
OG0000335	WP_179221236.1	WP_146379731.1
OG0000336	WP_011206488.1	WP_011206488.1
OG0000337	WP_011206520.1	WP_011284387.1
OG0000338	WP_011284394.1	WP_011284394.1
OG0000339	WP_179221144.1	WP_146379639.1
OG0000340	WP_011205973.1	WP_146379551.1
OG0000341	WP_135618892.1	WP_146379636.1
OG0000342	WP_011290029.1	WP_146379499.1
OG0000343	WP_011206435.1	WP_011206435.1
OG0000344	WP_052269168.1	WP_146379487.1
OG0000345	WP_014579611.1	WP_146379521.1
OG0000346	WP_240536622.1	WP_041361706.1
OG0000347	WP_179221076.1	WP_011205955.1
OG0000348	WP_179221032.1	WP_225973015.1
OG0000349	WP_179221263.1	WP_146379756.1
OG0000350	WP_240536608.1	WP_146379684.1
OG0000351	WP_179221007.1	WP_146379480.1
OG0000352	WP_011290189.1	WP_146379609.1
OG0000353	WP_179221075.1	WP_146379556.1
OG0000354	WP_237697228.1	WP_225973014.1
OG0000355	WP_020835708.1	WP_011206194.1
OG0000356	WP_240536660.1	WP_225973042.1
OG0000357	WP_240536619.1	WP_011206427.1
OG0000358	WP_135619062.1	WP_146379720.1
OG0000359	WP_240536635.1	WP_192894285.1
OG0000360	WP_225973008.1	WP_225973008.1
OG0000361	WP_179220997.1	WP_011289979.1
OG0000362	WP_011206302.1	WP_011290282.1
OG0000363	WP_276310607.1	WP_233417364.1
OG0000364	WP_236607972.1	WP_225972968.1, WP_225972967.1
OG0000365	WP_179221129.1	WP_146379598.1
OG0000366	WP_011206224.1	WP_146379594.1
OG0000367	WP_240536587.1	WP_225973040.1
OG0000368	WP_179220980.1	WP_011289935.1
OG0000369	WP_179220976.1	WP_146379444.1
OG0000370	WP_179220975.1	WP_044272260.1
OG0000371	WP_179220974.1	WP_146379443.1
OG0000372	WP_011205841.1	WP_146379442.1
OG0000373	WP_179221280.1	WP_146379772.1
OG0000374	WP_179221278.1	WP_146379770.1
OG0000375	WP_011206240.1	WP_146379628.1
