#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP157277.1:107102-107893|+ -            264 1679at2085           -            265   1.2e-78  259.4  13.2   1   1   1.3e-80   1.3e-78  259.3  13.2    12   256     1   255     1   263 0.90 NZ_CP157277.1_88 # 107102 # 107893 # 1 # ID=1_88;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.264
NZ_CP157277.1:87202-88503|+   -            434 1679at2085           -            265   2.8e-23   77.8  12.9   1   3   1.4e-11   1.3e-09   33.0   0.2   123   177     6    64     1    77 0.80 NZ_CP157277.1_71 # 87202 # 88503 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_CP157277.1:87202-88503|+   -            434 1679at2085           -            265   2.8e-23   77.8  12.9   2   3   7.9e-13   7.7e-11   37.1   0.9    22   173    78   228    71   239 0.76 NZ_CP157277.1_71 # 87202 # 88503 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_CP157277.1:87202-88503|+   -            434 1679at2085           -            265   2.8e-23   77.8  12.9   3   3   6.2e-06    0.0006   14.4   1.1    24   139   251   380   245   386 0.62 NZ_CP157277.1_71 # 87202 # 88503 # 1 # ID=1_71;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_CP157277.1:570561-571157|- -            199 1679at2085           -            265   2.9e-13   45.0   5.6   1   2   7.7e-13   7.4e-11   37.1   0.1   123   172    41    91    31   105 0.91 NZ_CP157277.1_448 # 570561 # 571157 # -1 # ID=1_448;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_CP157277.1:570561-571157|- -            199 1679at2085           -            265   2.9e-13   45.0   5.6   2   2   0.00017     0.017    9.7   1.9    24    97   117   195   102   198 0.78 NZ_CP157277.1_448 # 570561 # 571157 # -1 # ID=1_448;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_CP157277.1:232913-234241|- -            443 1679at2085           -            265   2.5e-12   41.9  16.3   1   3      0.93        90   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_CP157277.1_211 # 232913 # 234241 # -1 # ID=1_211;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_CP157277.1:232913-234241|- -            443 1679at2085           -            265   2.5e-12   41.9  16.3   2   3   1.3e-13   1.3e-11   39.6   0.3    98   174   195   275   184   289 0.78 NZ_CP157277.1_211 # 232913 # 234241 # -1 # ID=1_211;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_CP157277.1:232913-234241|- -            443 1679at2085           -            265   2.5e-12   41.9  16.3   3   3   0.00025     0.025    9.2   6.4    21   104   291   366   283   386 0.70 NZ_CP157277.1_211 # 232913 # 234241 # -1 # ID=1_211;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.312
NZ_CP157277.1:167874-168755|+ -            294 1679at2085           -            265   1.3e-10   36.3   9.5   1   2   1.8e-11   1.8e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_CP157277.1_151 # 167874 # 168755 # 1 # ID=1_151;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_CP157277.1:167874-168755|+ -            294 1679at2085           -            265   1.3e-10   36.3   9.5   2   2    0.0011      0.11    7.1   3.9    47   103   108   169    77   190 0.77 NZ_CP157277.1_151 # 167874 # 168755 # 1 # ID=1_151;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_CP157277.1:49783-51042|+   -            420 1679at2085           -            265   3.3e-06   21.8  12.5   1   2     5e-07   4.9e-05   18.0   0.0   124   174   161   214   145   235 0.75 NZ_CP157277.1_40 # 49783 # 51042 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.311
NZ_CP157277.1:49783-51042|+   -            420 1679at2085           -            265   3.3e-06   21.8  12.5   2   2    0.0063      0.61    4.6   9.4    39   121   257   343   253   346 0.86 NZ_CP157277.1_40 # 49783 # 51042 # 1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.311
NZ_CP157277.1:342127-343230|- -            368 1679at2085           -            265   1.3e-05   20.0   0.1   1   1     3e-07   2.9e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_CP157277.1_294 # 342127 # 343230 # -1 # ID=1_294;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/116/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/116/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
