Orthogroup	MHP_UFV01_proteins	MHP_KM014_proteins
OG0000000	WP_094521686.1	WP_094521686.1
OG0000000	WP_243216097.1	WP_157696719.1
OG0000001	WP_243216042.1	WP_094521767.1
OG0000001	WP_228365393.1	WP_011206352.1
OG0000001	WP_228366104.1, WP_243216277.1	WP_094521729.1
OG0000002	WP_237697200.1	WP_011284160.1
OG0000002	WP_243216098.1	WP_094521652.1
OG0000004	WP_243216334.1	WP_094521510.1
OG0000005	WP_233688595.1	WP_094521539.1
OG0000005	WP_243215929.1	WP_094521540.1
OG0000006	WP_228366101.1	WP_041361789.1
OG0000006	WP_243216228.1, WP_243216203.1, WP_243216200.1	WP_094521717.1
OG0000007	WP_243216178.1	WP_011284157.1
OG0000007	WP_243216175.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_243216199.1	WP_094521776.1
OG0000009	WP_243215989.1	WP_094521581.1
OG0000010	WP_243216127.1	WP_094521667.1
OG0000011	WP_160587900.1	WP_094521674.1
OG0000012	WP_243216349.1	WP_094521543.1, WP_094521638.1, WP_094521670.1
OG0000014	WP_243215979.1	WP_094521578.1
OG0000014	WP_243216008.1	WP_094521602.1
OG0000015	WP_243216099.1	WP_094521488.1
OG0000016	WP_243216292.1	WP_094521736.1
OG0000017	WP_243215933.1	WP_020835500.1
OG0000017	WP_243216293.1	WP_020835837.1
OG0000020	WP_279288053.1	WP_094521756.1
OG0000022	WP_243216096.1	WP_094521650.1
OG0000023	WP_243216102.1	WP_094521750.1
OG0000024	WP_243216040.1	WP_094521619.1
OG0000025	WP_243216095.1	WP_094521649.1
OG0000026	WP_243216092.1	WP_094521646.1
OG0000027	WP_179221251.1	WP_094521515.1
OG0000028	WP_243216220.1, WP_243216222.1	WP_094521713.1
OG0000030	WP_243215862.1	WP_020835904.1
OG0000031	WP_011290238.1	WP_011290238.1
OG0000035	WP_179695901.1	WP_094521509.1
OG0000036	WP_011205863.1	WP_044284813.1
OG0000038	WP_243216117.1	WP_094521654.1
OG0000039	WP_179221095.1	WP_094521643.1
OG0000041	WP_243215987.1	WP_011206099.1
OG0000042	WP_243216302.1	WP_094521741.1
OG0000043	WP_243216108.1	WP_011290239.1
OG0000044	WP_011206179.1	WP_011206179.1
OG0000045	WP_243216072.1, WP_243216073.1	WP_094521771.1
OG0000047	WP_020835556.1	WP_094521491.1
OG0000048	WP_243216169.1	WP_011284150.1
OG0000049	WP_011290363.1	WP_094521498.1
OG0000051	WP_243216261.1	WP_094521726.1
OG0000052	WP_094521536.1	WP_094521536.1
OG0000053	WP_243216057.1	WP_094521633.1
OG0000054	WP_243216226.1	WP_011206291.1
OG0000055	WP_011205867.1	WP_011205867.1
OG0000056	WP_243215894.1	WP_157696707.1
OG0000057	WP_011290343.1	WP_094521783.1
OG0000058	WP_243216113.1	WP_094521760.1, WP_094521555.1, WP_094521493.1
