Orthogroup	MHP_UFV01_proteins	MHP_TB1_proteins
OG0000000	WP_243216234.1	WP_252862191.1
OG0000000	WP_308705306.1	WP_088764626.1
OG0000000	WP_243216097.1	WP_088764599.1
OG0000001	WP_243216044.1	WP_014579709.1
OG0000001	WP_243216042.1	WP_228365417.1
OG0000001	WP_228365393.1	WP_228365393.1
OG0000001	WP_243216277.1	WP_014579925.1
OG0000002	WP_237697200.1	WP_228365382.1
OG0000002	WP_081430767.1	WP_158209055.1
OG0000002	WP_243216098.1	WP_014579753.1
OG0000003	WP_243215969.1	WP_252862215.1
OG0000004	WP_233688544.1	WP_252862151.1
OG0000005	WP_233688595.1	WP_014579527.1
OG0000005	WP_243215923.1	WP_014579529.1
OG0000005	WP_243215926.1, WP_011289946.1	WP_252862119.1, WP_228365401.1
OG0000006	WP_228366101.1	WP_014579886.1
OG0000006	WP_243216203.1	WP_252862187.1
OG0000008	WP_243216199.1	WP_088764629.1
OG0000008	WP_243216076.1	WP_252862201.1
OG0000008	WP_243216238.1	WP_252862214.1
OG0000009	WP_011206100.1	WP_252862193.1
OG0000009	WP_243215989.1	WP_016340194.1
OG0000010	WP_243216127.1	WP_014579794.1
OG0000010	WP_243216067.1, WP_243216066.1	WP_014579743.1
OG0000011	WP_160587900.1	WP_088764586.1
OG0000011	WP_243216150.1	WP_014579809.1
OG0000012	WP_243216349.1	WP_143826173.1
OG0000013	WP_243216215.1	WP_252862184.1
OG0000013	WP_243215939.1	WP_252862122.1
OG0000014	WP_243216008.1	WP_088764623.1
OG0000014	WP_308705305.1	WP_252862202.1
OG0000015	WP_243216099.1	WP_014579691.1
OG0000016	WP_243216292.1	WP_014579937.1
OG0000016	WP_243215935.1	WP_252862121.1, WP_290124223.1
OG0000017	WP_243215933.1	WP_011205870.1
OG0000017	WP_243216293.1	WP_014579938.1
OG0000018	WP_243216103.1, WP_243216105.1	WP_014579688.1
OG0000020	WP_243215897.1	WP_014580041.1
OG0000020	WP_279288053.1	WP_187286313.1
OG0000021	WP_014579781.1	WP_088764585.1
OG0000021	WP_014579585.1	WP_308506976.1
OG0000022	WP_243216081.1	WP_044277993.1
OG0000022	WP_243216096.1	WP_014579755.1
OG0000023	WP_243216102.1	WP_228365414.1
OG0000024	WP_243216276.1	WP_014579922.1
OG0000024	WP_243216040.1	WP_044277983.1
OG0000025	WP_243216083.1	WP_011284074.1
OG0000025	WP_243216095.1	WP_143826161.1
OG0000026	WP_044284614.1	WP_044284614.1
OG0000026	WP_243216092.1	WP_014579760.1
OG0000027	WP_243215859.1	WP_011206475.1
OG0000027	WP_179221251.1	WP_014580004.1
OG0000028	WP_243216220.1, WP_243216222.1	WP_252862177.1, WP_252862176.1, WP_189220795.1, WP_252862178.1
OG0000029	WP_243216007.1	WP_088764612.1
OG0000029	WP_243215981.1	WP_252862204.1, WP_252862203.1
OG0000030	WP_243215857.1	WP_016340249.1
OG0000030	WP_243215862.1	WP_014580003.1
OG0000031	WP_011290238.1	WP_252862171.1
OG0000032	WP_243215860.1	WP_252862131.1
OG0000033	WP_243216218.1	WP_252862173.1, WP_252862174.1
OG0000035	WP_179695901.1	WP_014579983.1
OG0000036	WP_011205863.1, WP_243215930.1	WP_252862120.1
OG0000039	WP_179221095.1	WP_187286318.1
OG0000040	WP_044272644.1	WP_088764609.1
OG0000041	WP_243215987.1	WP_014579652.1
OG0000042	WP_243216302.1	WP_014579952.1
OG0000043	WP_243216144.1, WP_243216108.1	WP_014579681.1
OG0000044	WP_011206179.1	WP_044277998.1
OG0000045	WP_243216072.1, WP_243216073.1	WP_014579772.1
OG0000047	WP_020835556.1	WP_014579684.1
OG0000048	WP_243216169.1	WP_014579838.1
OG0000049	WP_011290363.1	WP_014579961.1
OG0000050	WP_044272534.1	WP_014579879.1
OG0000051	WP_243216261.1	WP_044278027.1
OG0000052	WP_094521536.1	WP_088764574.1
OG0000053	WP_243216057.1	WP_014579730.1
OG0000054	WP_243216226.1	WP_014579883.1
OG0000055	WP_011205867.1	WP_014579531.1
OG0000056	WP_243215894.1	WP_143826159.1
OG0000057	WP_011290343.1	WP_228365395.1
OG0000058	WP_243216113.1	WP_014579678.1
OG0000059	WP_243216109.1	WP_252862170.1
OG0000060	WP_243216026.1	WP_252862172.1
OG0000061	WP_044284624.1	WP_014579745.1
OG0000062	WP_094521530.1	WP_252862161.1
OG0000063	WP_011206521.1	WP_252862162.1
OG0000064	WP_160615736.1	WP_014580043.1
OG0000065	WP_160601112.1	WP_252862189.1
OG0000066	WP_243216052.1	WP_011205965.1
OG0000067	WP_243215973.1	WP_014579588.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011284269.1
OG0000070	WP_011206292.1	WP_014579884.1
OG0000071	WP_044272640.1	WP_014579991.1
OG0000072	WP_243216342.1	WP_014579992.1
OG0000073	WP_011206093.1	WP_088764597.1
OG0000074	WP_014579624.1	WP_014579624.1
OG0000075	WP_243215955.1	WP_014579568.1
OG0000076	WP_243215957.1	WP_011289987.1
OG0000077	WP_243215965.1	WP_088764617.1
OG0000079	WP_233688475.1	WP_011206305.1
OG0000080	WP_179695988.1	WP_179695988.1
OG0000081	WP_243215952.1	WP_252862124.1
OG0000082	WP_243216212.1	WP_228365387.1
OG0000083	WP_014579823.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_014579845.1
OG0000085	WP_243216165.1	WP_014579844.1
OG0000086	WP_243216167.1	WP_014579843.1
OG0000087	WP_044272477.1	WP_014579840.1
OG0000088	WP_044272480.1	WP_014579839.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_011283835.1	WP_088764627.1
OG0000091	WP_243215921.1	WP_252862156.1
OG0000092	WP_243215917.1	WP_011205847.1
OG0000093	WP_243215915.1	WP_252862158.1
OG0000094	WP_233688588.1	WP_014579519.1
OG0000095	WP_243215907.1	WP_252862160.1
OG0000096	WP_243215905.1	WP_011206529.1
OG0000097	WP_243215900.1	WP_228365398.1
OG0000098	WP_243215898.1	WP_014580046.1
OG0000099	WP_243215895.1	WP_014580030.1
OG0000100	WP_243215892.1	WP_014580027.1
OG0000101	WP_243215891.1	WP_011206510.1
OG0000102	WP_243216094.1	WP_044277991.1
OG0000103	WP_243216182.1	WP_252862190.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_135618882.1	WP_014579832.1
OG0000106	WP_243216184.1	WP_014579830.1
OG0000107	WP_011284169.1	WP_252862188.1
OG0000108	WP_179696020.1	WP_011206247.1
OG0000109	WP_243216186.1	WP_014579826.1
OG0000110	WP_243216208.1	WP_014579870.1
OG0000111	WP_243216207.1	WP_044278012.1
OG0000112	WP_243216205.1	WP_228365385.1
OG0000113	WP_020835765.1	WP_014579864.1
OG0000114	WP_243216202.1	WP_044278010.1
OG0000115	WP_014579859.1	WP_014579859.1
OG0000116	WP_243216047.1	WP_014579712.1
OG0000117	WP_243216048.1	WP_014579713.1
OG0000118	WP_228729171.1	WP_011284023.1
OG0000119	WP_179696055.1	WP_044277984.1
OG0000120	WP_011284027.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_011290114.1
OG0000122	WP_011205958.1	WP_014579725.1
OG0000123	WP_243216054.1	WP_011205954.1
OG0000124	WP_011205953.1	WP_014579726.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_011205950.1	WP_011290120.1
