#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP098240.1:134809-135600|+ -            264 1679at2085           -            265   1.3e-78  259.4  13.2   1   1   1.3e-80   1.4e-78  259.3  13.2    12   256     1   255     1   263 0.90 NZ_CP098240.1_118 # 134809 # 135600 # 1 # ID=1_118;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_CP098240.1:91515-92816|+   -            434 1679at2085           -            265   3.3e-23   77.7  11.0   1   3   1.3e-11   1.4e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_CP098240.1_81 # 91515 # 92816 # 1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP098240.1:91515-92816|+   -            434 1679at2085           -            265   3.3e-23   77.7  11.0   2   3   1.7e-12   1.8e-10   36.0   0.3    22   173    78   228    71   240 0.79 NZ_CP098240.1_81 # 91515 # 92816 # 1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP098240.1:91515-92816|+   -            434 1679at2085           -            265   3.3e-23   77.7  11.0   3   3   6.2e-06   0.00067   14.4   1.1    24   139   251   380   245   386 0.62 NZ_CP098240.1_81 # 91515 # 92816 # 1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP098240.1:595777-596373|- -            199 1679at2085           -            265   5.5e-13   44.2   5.5   1   2   7.4e-13   7.9e-11   37.1   0.1   123   172    41    91    32   109 0.90 NZ_CP098240.1_503 # 595777 # 596373 # -1 # ID=1_503;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_CP098240.1:595777-596373|- -            199 1679at2085           -            265   5.5e-13   44.2   5.5   2   2   0.00031     0.033    8.9   1.9    24    97   117   195   102   198 0.77 NZ_CP098240.1_503 # 595777 # 596373 # -1 # ID=1_503;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_CP098240.1:261156-262484|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   1   3      0.93        99   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_CP098240.1_244 # 261156 # 262484 # -1 # ID=1_244;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP098240.1:261156-262484|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   2   3   8.9e-14   9.5e-12   40.2   0.3    97   174   194   275   184   289 0.78 NZ_CP098240.1_244 # 261156 # 262484 # -1 # ID=1_244;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP098240.1:261156-262484|- -            443 1679at2085           -            265   1.2e-12   43.1  15.8   3   3   0.00018     0.019    9.7   6.0    21   104   291   366   281   386 0.71 NZ_CP098240.1_244 # 261156 # 262484 # -1 # ID=1_244;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP098240.1:217755-218636|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   1   2   1.8e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_CP098240.1_191 # 217755 # 218636 # -1 # ID=1_191;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NZ_CP098240.1:217755-218636|- -            294 1679at2085           -            265   1.6e-10   36.1   9.5   2   2    0.0013      0.14    6.8   4.0    47   103   108   169    77   190 0.77 NZ_CP098240.1_191 # 217755 # 218636 # -1 # ID=1_191;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NZ_CP098240.1:54555-55349|+   -            265 1679at2085           -            265   9.7e-06   20.5  12.1   1   2   3.4e-07   3.6e-05   18.6   0.1   124   175     6    60     2    83 0.75 NZ_CP098240.1_45 # 54555 # 55349 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.279
NZ_CP098240.1:54555-55349|+   -            265 1679at2085           -            265   9.7e-06   20.5  12.1   2   2     0.013       1.4    3.6   8.1    39   121   102   188    98   191 0.85 NZ_CP098240.1_45 # 54555 # 55349 # 1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.279
NZ_CP098240.1:370595-371656|- -            354 1679at2085           -            265   1.2e-05   20.1   0.1   1   1   2.8e-07     3e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_CP098240.1_331 # 370595 # 371656 # -1 # ID=1_331;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.300
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/131B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/131B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/131B/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/131B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/131B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/131B/Use
# Date:            Sun Dec  1 18:59:09 2024
# [ok]
