Assembly	GCF_045006685.1_ASM4500668v1_genomic
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	923612
Total length (>= 1000 bp)	923612
Total length (>= 5000 bp)	923612
Total length (>= 10000 bp)	923612
Total length (>= 25000 bp)	923612
Total length (>= 50000 bp)	923612
# contigs	1
Largest contig	923612
Total length	923612
GC (%)	28.50
N50	923612
N90	923612
auN	923612.0
L50	1
L90	1
# N's per 100 kbp	10.83
