Orthogroup	MHP_MHP679_proteins	MHP_LH_proteins
OG0000000	WP_160590517.1	WP_233688767.1
OG0000000	WP_308704714.1	WP_318035154.1
OG0000001	WP_020835629.1	WP_179696094.1
OG0000001	WP_228365393.1	WP_228365393.1
OG0000002	WP_160585200.1	WP_233688429.1
OG0000002	WP_160590513.1	WP_233688422.1
OG0000002	WP_160585690.1	WP_233688740.1
OG0000003	WP_308506998.1	WP_233688427.1
OG0000003	WP_192894277.1	WP_233688750.1
OG0000004	WP_160590535.1	WP_233688542.1
OG0000004	WP_160590525.1	WP_233688544.1
OG0000005	WP_160590470.1	WP_233688595.1
OG0000005	WP_160590473.1	WP_233688596.1
OG0000005	WP_160590475.1	WP_233688597.1, WP_233688600.1
OG0000006	WP_258555632.1	WP_233688469.1
OG0000007	WP_258555727.1	WP_233688426.1
OG0000008	WP_258555683.1	WP_233688729.1
OG0000008	WP_160590314.1	WP_233688470.1
OG0000009	WP_258555704.1	WP_233688691.1
OG0000010	WP_160590099.1	WP_179221114.1
OG0000011	WP_160590024.1	WP_233688757.1
OG0000011	WP_160590022.1	WP_233688756.1
OG0000013	WP_258555710.1	WP_233688454.1
OG0000013	WP_308704697.1	WP_233688607.1
OG0000014	WP_160590533.1	WP_233688670.1
OG0000014	WP_160590409.1	WP_233688640.1
OG0000015	WP_258555732.1	WP_014579770.1, WP_233688686.1
OG0000016	WP_160590155.1	WP_011206378.1
OG0000016	WP_146379459.1	WP_233688605.1
OG0000017	WP_243215933.1	WP_233688603.1
OG0000017	WP_020835837.1	WP_233688501.1
OG0000019	WP_160590527.1	WP_233688521.1, WP_233688517.1, WP_233688523.1, WP_233688519.1
OG0000020	WP_258555701.1	WP_233688578.1
OG0000022	WP_160590243.1	WP_233688731.1
OG0000022	WP_160590230.1	WP_233688738.1
OG0000024	WP_160585259.1	WP_179696078.1
OG0000025	WP_160590241.1	WP_233688732.1
OG0000025	WP_135618779.1	WP_233688737.1
OG0000026	WP_044284614.1	WP_044284614.1
OG0000026	WP_160590234.1	WP_233688735.1
OG0000027	WP_020835902.1	WP_011206475.1
OG0000027	WP_160590222.1	WP_233688557.1
OG0000029	WP_160590401.1	WP_233688669.1
OG0000030	WP_308704613.1	WP_232039555.1
OG0000030	WP_160590224.1	WP_020835904.1
OG0000031	WP_160590091.1	WP_179695837.1
OG0000032	WP_160590483.1	WP_233688723.1
OG0000033	WP_308704710.1	WP_233688459.1
OG0000034	WP_233688423.1	WP_233688423.1
OG0000034	WP_233688424.1	WP_233688424.1
OG0000036	WP_014579530.1	WP_233688598.1, WP_233688601.1
OG0000037	WP_258555720.1	WP_233688763.1
OG0000037	WP_308704711.1, WP_258555721.1	WP_233688762.1
OG0000039	WP_160590481.1	WP_011290139.1
OG0000040	WP_160590346.1	WP_233688550.1
OG0000042	WP_160590420.1	WP_233688512.1
OG0000043	WP_160590093.1, WP_160585024.1	WP_014579804.1
OG0000045	WP_258555619.1	WP_020835667.1
OG0000047	WP_160590089.1	WP_233688684.1
OG0000048	WP_160590061.1	WP_146379588.1
OG0000049	WP_160590201.1	WP_233688524.1
OG0000050	WP_160590319.1	WP_233688465.1
OG0000051	WP_160590119.1	WP_233688485.1
OG0000052	WP_160590168.1	WP_011283836.1
OG0000053	WP_160590280.1	WP_233688713.1
OG0000054	WP_011206291.1	WP_044272538.1
OG0000055	WP_014579531.1	WP_135618462.1
OG0000056	WP_160590364.1	WP_233688574.1, WP_233688573.1
OG0000057	WP_020835847.1	WP_233688511.1
OG0000058	WP_160590097.1	WP_179695838.1
OG0000062	WP_094521530.1	WP_094521530.1
OG0000063	WP_041361715.1	WP_233688580.1
OG0000064	WP_011290440.1	WP_233688579.1
OG0000065	WP_011290219.1	WP_011290219.1
OG0000066	WP_160588243.1	WP_011205965.1
OG0000067	WP_160590329.1	WP_233688634.1
OG0000068	WP_258555735.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_011206292.1	WP_011206292.1
OG0000071	WP_160585219.1	WP_233688548.1
OG0000072	WP_160590344.1	WP_233688549.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_308704709.1	WP_233688661.1
OG0000075	WP_160590545.1, WP_135618517.1	WP_014579568.1
