Orthogroup	MHP_LH_genes	MFC_Ms42_genes
OG0000000	KUD10_RS02260	MYF_RS01330
OG0000000	KUD10_RS02170	MYF_RS03215
OG0000000	KUD10_RS02255	MYF_RS03370, MYF_RS01520, MYF_RS01870, MYF_RS03435
OG0000000	KUD10_RS01785	MYF_RS03295
OG0000001	KUD10_RS01355, KUD10_RS01350, KUD10_RS02875, KUD10_RS02830	MYF_RS03415
OG0000002	KUD10_RS02270, KUD10_RS02265	MYF_RS01530
OG0000002	KUD10_RS02210	MYF_RS01475
OG0000002	KUD10_RS01790	MYF_RS03010
OG0000003	KUD10_RS02250	MYF_RS01515
OG0000004	KUD10_RS03075	MYF_RS02520
OG0000004	KUD10_RS03095, KUD10_RS03085	MYF_RS02535, MYF_RS02545
OG0000007	KUD10_RS02245	MYF_RS01500
OG0000008	KUD10_RS01700	MYF_RS01875
OG0000011	KUD10_RS02000	MYF_RS03310
OG0000011	KUD10_RS01995	MYF_RS01270
OG0000013	KUD10_RS02465	MYF_RS03170, MYF_RS01100
OG0000013	KUD10_RS00185	MYF_RS03400
OG0000014	KUD10_RS01080, KUD10_RS00610, KUD10_RS00615	MYF_RS00550
OG0000016	KUD10_RS02915	MYF_RS00730
OG0000017	KUD10_RS00155	MYF_RS03155
OG0000017	KUD10_RS02925	MYF_RS00720
OG0000018	KUD10_RS01195	MYF_RS01675
OG0000019	KUD10_RS03110, KUD10_RS03090	MYF_RS03440
OG0000020	KUD10_RS03620	MYF_RS03080
OG0000020	KUD10_RS03625	MYF_RS03085
OG0000022	KUD10_RS01775	MYF_RS03025
OG0000023	KUD10_RS01205	MYF_RS01880
OG0000024	KUD10_RS02825, KUD10_RS01345	MYF_RS00790
OG0000025	KUD10_RS01770	MYF_RS03030
OG0000026	KUD10_RS01435, KUD10_RS01750	MYF_RS01715
OG0000027	KUD10_RS03425	MYF_RS02825
OG0000028	KUD10_RS02500	MYF_RS01125, MYF_RS01120
OG0000029	KUD10_RS01075, KUD10_RS00620	MYF_RS00555
OG0000030	KUD10_RS03400, KUD10_RS03420	MYF_RS02820
OG0000031	KUD10_RS01150, KUD10_RS01665	MYF_RS01215
OG0000032	KUD10_RS01640	MYF_RS03490
OG0000033	KUD10_RS02480	MYF_RS01130
OG0000037	KUD10_RS01650	MYF_RS03495
OG0000037	KUD10_RS01645	MYF_RS03005
OG0000039	KUD10_RS01675	MYF_RS03160, MYF_RS00615
OG0000040	KUD10_RS03345	MYF_RS02770, MYF_RS00840
OG0000042	KUD10_RS03010	MYF_RS00610, MYF_RS00765
OG0000043	KUD10_RS01965	MYF_RS01240
OG0000045	KUD10_RS01680	MYF_RS00630
OG0000048	KUD10_RS02150	MYF_RS01350
OG0000050	KUD10_RS02530	MYF_RS01180
OG0000051	KUD10_RS02740	MYF_RS02420
OG0000052	KUD10_RS00075	MYF_RS00075
OG0000053	KUD10_RS01520	MYF_RS01800
OG0000054	KUD10_RS02555	MYF_RS01155
OG0000055	KUD10_RS00135	MYF_RS03395, MYF_RS03525
OG0000056	KUD10_RS03605	MYF_RS03060
OG0000057	KUD10_RS02995	MYF_RS00645
OG0000062	KUD10_RS03655	MYF_RS03115
