Orthogroup	MHP_LH_genes	MHP_7422_genes
OG0000000	KUD10_RS02195, KUD10_RS02170	MHL_RS02190
OG0000000	KUD10_RS02255	MHL_RS03905
OG0000000	KUD10_RS02380	MHL_RS02380
OG0000000	KUD10_RS02385	MHL_RS04190
OG0000001	KUD10_RS01355	MHL_RS03980
OG0000001	KUD10_RS02875	MHL_RS02845
OG0000001	KUD10_RS02830	MHL_RS04080
OG0000002	KUD10_RS02270	MHL_RS04055
OG0000002	KUD10_RS02210	MHL_RS02195
OG0000002	KUD10_RS01790	MHL_RS01800
OG0000003	KUD10_RS01820	MHL_RS01875
OG0000003	KUD10_RS02250	MHL_RS02255
OG0000003	KUD10_RS01900	MHL_RS03835
OG0000004	KUD10_RS03265	MHL_RS03205
OG0000004	KUD10_RS03275	MHL_RS03215
OG0000005	KUD10_RS00100	MHL_RS00105
OG0000005	KUD10_RS00120	MHL_RS00125
OG0000005	KUD10_RS00105	MHL_RS04205
OG0000005	KUD10_RS00110	MHL_RS00115
OG0000005	KUD10_RS00125	MHL_RS00130
OG0000006	KUD10_RS02585	MHL_RS03635
OG0000006	KUD10_RS02390, KUD10_RS02420	MHL_RS02420
OG0000007	KUD10_RS02245	MHL_RS02240
OG0000008	KUD10_RS02375	MHL_RS02375
OG0000008	KUD10_RS01700	MHL_RS04180
OG0000008	KUD10_RS02590	MHL_RS04065
OG0000009	KUD10_RS00085	MHL_RS00090
OG0000009	KUD10_RS00675	MHL_RS00770
OG0000010	KUD10_RS01910	MHL_RS01930
OG0000010	KUD10_RS00095	MHL_RS00100
OG0000011	KUD10_RS02000	MHL_RS02025, MHL_RS04185
OG0000011	KUD10_RS01995	MHL_RS02020
OG0000013	KUD10_RS02465	MHL_RS02470
OG0000013	KUD10_RS00185	MHL_RS03925
OG0000014	KUD10_RS01080	MHL_RS01170
OG0000014	KUD10_RS00610	MHL_RS00695
OG0000015	KUD10_RS01635	MHL_RS01645
OG0000016	KUD10_RS02915	MHL_RS02885
OG0000016	KUD10_RS00170	MHL_RS00175
OG0000017	KUD10_RS00155	MHL_RS00160
OG0000017	KUD10_RS02925	MHL_RS02895
OG0000020	KUD10_RS03620	MHL_RS03545
OG0000020	KUD10_RS03625	MHL_RS03550
OG0000022	KUD10_RS01720	MHL_RS01740
OG0000022	KUD10_RS01775	MHL_RS01790
OG0000024	KUD10_RS02825	MHL_RS02790
OG0000024	KUD10_RS01345	MHL_RS01355
OG0000025	KUD10_RS01725	MHL_RS01745
OG0000025	KUD10_RS01770	MHL_RS01785
OG0000026	KUD10_RS01435	MHL_RS01445
OG0000027	KUD10_RS03410	MHL_RS03755
OG0000027	KUD10_RS03425	MHL_RS03360
OG0000029	KUD10_RS01075	MHL_RS01165
OG0000029	KUD10_RS00620	MHL_RS00700
OG0000030	KUD10_RS03400	MHL_RS03335
OG0000030	KUD10_RS03420	MHL_RS03355
OG0000032	KUD10_RS01640	MHL_RS04000
OG0000033	KUD10_RS02490	MHL_RS02475
OG0000034	KUD10_RS02225	MHL_RS04045
OG0000035	KUD10_RS03270	MHL_RS03210
OG0000035	KUD10_RS03250	MHL_RS03195
OG0000036	KUD10_RS00115	MHL_RS00120
OG0000036	KUD10_RS00130	MHL_RS00135
OG0000039	KUD10_RS01675	MHL_RS01705
OG0000042	KUD10_RS03010	MHL_RS02985
OG0000043	KUD10_RS01965	MHL_RS01990
OG0000043	KUD10_RS01965	MHL_RS00625
OG0000045	KUD10_RS01680	MHL_RS01710
OG0000046	KUD10_RS03355	MHL_RS04100
OG0000048	KUD10_RS02150	MHL_RS02170
OG0000049	KUD10_RS03120	MHL_RS03060
OG0000050	KUD10_RS02530	MHL_RS02510
OG0000052	KUD10_RS00075	MHL_RS00080
OG0000053	KUD10_RS01520	MHL_RS01530
OG0000054	KUD10_RS02555	MHL_RS02535
OG0000055	KUD10_RS00135	MHL_RS00140
OG0000056	KUD10_RS03605, KUD10_RS03600	MHL_RS03530
OG0000057	KUD10_RS02995	MHL_RS02970
OG0000058	KUD10_RS01145	MHL_RS00610
OG0000061	KUD10_RS01920	MHL_RS01940
OG0000062	KUD10_RS03655	MHL_RS03580
OG0000063	KUD10_RS03650	MHL_RS03575
OG0000064	KUD10_RS03640	MHL_RS03565
OG0000065	KUD10_RS02315	MHL_RS02310
OG0000066	KUD10_RS01425	MHL_RS01435
OG0000067	KUD10_RS00530	MHL_RS00525
OG0000068	KUD10_RS00655	MHL_RS00735
OG0000069	KUD10_RS02890	MHL_RS02860
OG0000070	KUD10_RS02560	MHL_RS02540
OG0000071	KUD10_RS03335	MHL_RS03275
OG0000072	KUD10_RS03340	MHL_RS03280
OG0000073	KUD10_RS00700	MHL_RS00795
OG0000074	KUD10_RS00895	MHL_RS03950, MHL_RS04210
OG0000075	KUD10_RS00340	MHL_RS00345
OG0000076	KUD10_RS00355	MHL_RS00360
OG0000077	KUD10_RS00440	MHL_RS00450
OG0000078	KUD10_RS01740	MHL_RS01755
OG0000079	KUD10_RS02640	MHL_RS02615
OG0000080	KUD10_RS02690	MHL_RS03870
OG0000081	KUD10_RS00335	MHL_RS00340
OG0000082	KUD10_RS02460	MHL_RS02460
OG0000083	KUD10_RS02070	MHL_RS02095
OG0000084	KUD10_RS02100	MHL_RS02120
OG0000085	KUD10_RS02105	MHL_RS02125
OG0000086	KUD10_RS02115	MHL_RS02135
OG0000087	KUD10_RS02130	MHL_RS02150
OG0000088	KUD10_RS02135	MHL_RS02155
OG0000089	KUD10_RS02145	MHL_RS02165
OG0000090	KUD10_RS00070	MHL_RS00075
OG0000091	KUD10_RS00055	MHL_RS00060
OG0000092	KUD10_RS00040	MHL_RS00045
OG0000093	KUD10_RS00035	MHL_RS00040
OG0000094	KUD10_RS00030	MHL_RS00035
