Orthogroup	MHP_LH_genes	MHP_NCTC10127_genes
OG0000000	KUD10_RS02260	EXC50_RS01055
OG0000000	KUD10_RS02380	EXC50_RS01165
OG0000000	KUD10_RS02385	EXC50_RS01170
OG0000001	KUD10_RS01355	EXC50_RS02805, EXC50_RS02810
OG0000001	KUD10_RS02875	EXC50_RS01640
OG0000001	KUD10_RS02830	EXC50_RS01590
OG0000002	KUD10_RS02270	EXC50_RS04010
OG0000002	KUD10_RS01790	EXC50_RS00680
OG0000004	KUD10_RS03265	EXC50_RS02030
OG0000004	KUD10_RS03275	EXC50_RS02050
OG0000004	KUD10_RS03105, KUD10_RS03095, KUD10_RS03085	EXC50_RS01865
OG0000005	KUD10_RS00100	EXC50_RS00100
OG0000005	KUD10_RS00120	EXC50_RS00120
OG0000005	KUD10_RS00105	EXC50_RS00105
OG0000005	KUD10_RS00110	EXC50_RS00110
OG0000005	KUD10_RS00125	EXC50_RS00125
OG0000006	KUD10_RS02585	EXC50_RS04025
OG0000006	KUD10_RS02390	EXC50_RS01175
OG0000006	KUD10_RS02420	EXC50_RS01210
OG0000008	KUD10_RS02375	EXC50_RS01160, EXC50_RS04015
OG0000008	KUD10_RS01700	EXC50_RS00595
OG0000008	KUD10_RS02590	EXC50_RS04030
OG0000009	KUD10_RS00085	EXC50_RS00085
OG0000009	KUD10_RS01265	EXC50_RS04115
OG0000009	KUD10_RS00675	EXC50_RS03405
OG0000010	KUD10_RS01910	EXC50_RS00795
OG0000010	KUD10_RS00095	EXC50_RS00095
OG0000011	KUD10_RS02000	EXC50_RS00895
OG0000011	KUD10_RS01995	EXC50_RS00890
OG0000012	KUD10_RS01085	EXC50_RS01855
OG0000013	KUD10_RS02465	EXC50_RS01255
OG0000013	KUD10_RS00185	EXC50_RS03965
OG0000014	KUD10_RS01080	EXC50_RS03000
OG0000014	KUD10_RS00610	EXC50_RS03480
OG0000015	KUD10_RS01225	EXC50_RS04220, EXC50_RS04160, EXC50_RS03860, EXC50_RS03670, EXC50_RS04155
OG0000016	KUD10_RS02915	EXC50_RS01680
OG0000016	KUD10_RS00170	EXC50_RS00170
OG0000017	KUD10_RS00155	EXC50_RS00155
OG0000017	KUD10_RS02925	EXC50_RS01690
OG0000018	KUD10_RS01195	EXC50_RS03750, EXC50_RS04080, EXC50_RS00485, EXC50_RS04150, EXC50_RS04145, EXC50_RS04085
OG0000020	KUD10_RS03620	EXC50_RS02390
OG0000020	KUD10_RS03625	EXC50_RS02395
OG0000021	KUD10_RS01825	EXC50_RS00715
OG0000022	KUD10_RS01720	EXC50_RS00615
OG0000022	KUD10_RS01775	EXC50_RS00670
OG0000023	KUD10_RS01205	EXC50_RS00495, EXC50_RS03740
OG0000024	KUD10_RS02825	EXC50_RS01585
OG0000024	KUD10_RS01345	EXC50_RS02815
OG0000025	KUD10_RS01725	EXC50_RS00620
OG0000025	KUD10_RS01770	EXC50_RS00665
OG0000026	KUD10_RS01435	EXC50_RS02725
OG0000026	KUD10_RS01750	EXC50_RS00645
OG0000027	KUD10_RS03410	EXC50_RS02185
OG0000027	KUD10_RS03425	EXC50_RS02200
OG0000028	KUD10_RS02500	EXC50_RS01265
OG0000029	KUD10_RS01075	EXC50_RS03005
OG0000029	KUD10_RS00620	EXC50_RS03475
