Orthogroup	MHP_LH_genes	MHP_ES2_genes
OG0000000	KUD10_RS02260	E5E95_RS02310
OG0000000	KUD10_RS02185	E5E95_RS02235
OG0000000	KUD10_RS02195	E5E95_RS02240
OG0000000	KUD10_RS02175, KUD10_RS02190, KUD10_RS02200	E5E95_RS04040
OG0000000	KUD10_RS02255	E5E95_RS04075
OG0000000	KUD10_RS02165	E5E95_RS02230
OG0000000	KUD10_RS02380	E5E95_RS02430
OG0000000	KUD10_RS02385	E5E95_RS04240
OG0000000	KUD10_RS01780, KUD10_RS01785	E5E95_RS01830
OG0000001	KUD10_RS01355	E5E95_RS01300
OG0000001	KUD10_RS01350	E5E95_RS01295
OG0000001	KUD10_RS02875	E5E95_RS03000
OG0000001	KUD10_RS02830	E5E95_RS04150
OG0000002	KUD10_RS02270	E5E95_RS02320
OG0000002	KUD10_RS02265	E5E95_RS02315
OG0000002	KUD10_RS02210	E5E95_RS02250
OG0000002	KUD10_RS01790	E5E95_RS01840
OG0000003	KUD10_RS01820	E5E95_RS01870
OG0000003	KUD10_RS00500	E5E95_RS01915
OG0000003	KUD10_RS02250	E5E95_RS04070
OG0000003	KUD10_RS01900	E5E95_RS03910
OG0000004	KUD10_RS03265	E5E95_RS03410
OG0000004	KUD10_RS03275	E5E95_RS03425
OG0000004	KUD10_RS03075	E5E95_RS03215
OG0000004	KUD10_RS03095, KUD10_RS03085	E5E95_RS03235
OG0000005	KUD10_RS00100	E5E95_RS00090
OG0000005	KUD10_RS00120	E5E95_RS00110
OG0000005	KUD10_RS00105	E5E95_RS00095
OG0000005	KUD10_RS00110	E5E95_RS00100
OG0000005	KUD10_RS00125	E5E95_RS00115
OG0000006	KUD10_RS02585	E5E95_RS02705
OG0000006	KUD10_RS02390	E5E95_RS02445
OG0000006	KUD10_RS02420	E5E95_RS04120, E5E95_RS04115
OG0000007	KUD10_RS02245	E5E95_RS02290
OG0000008	KUD10_RS02375	E5E95_RS03925, E5E95_RS04080
OG0000008	KUD10_RS01700	E5E95_RS03905
OG0000008	KUD10_RS02590	E5E95_RS03930, E5E95_RS04135
