Orthogroup	MHP_ES2L_genes	MHP_LH_genes
OG0000000	HZK19_RS03960, HZK19_RS02100	KUD10_RS02185
OG0000000	HZK19_RS02105	KUD10_RS02195, KUD10_RS02170
OG0000000	HZK19_RS03685	KUD10_RS02175
OG0000000	HZK19_RS03675	KUD10_RS02165
OG0000000	HZK19_RS02290	KUD10_RS02380
OG0000000	HZK19_RS03795	KUD10_RS02385
OG0000001	HZK19_RS03720	KUD10_RS01355
OG0000001	HZK19_RS02765	KUD10_RS02875
OG0000001	HZK19_RS03840	KUD10_RS02830
OG0000002	HZK19_RS02110	KUD10_RS02210
OG0000002	HZK19_RS01705	KUD10_RS01790
OG0000003	HZK19_RS01715	KUD10_RS00500
OG0000003	HZK19_RS02160	KUD10_RS02250
OG0000003	HZK19_RS01800	KUD10_RS01900
OG0000004	HZK19_RS03240	KUD10_RS03265
OG0000004	HZK19_RS03255	KUD10_RS03275
OG0000004	HZK19_RS02970	KUD10_RS03075
OG0000004	HZK19_RS02980	KUD10_RS03085
OG0000005	HZK19_RS00085	KUD10_RS00100
OG0000005	HZK19_RS00105	KUD10_RS00120
OG0000005	HZK19_RS00090	KUD10_RS00105
OG0000005	HZK19_RS00095	KUD10_RS00110
OG0000005	HZK19_RS00110	KUD10_RS00125
OG0000006	HZK19_RS02470	KUD10_RS02585
OG0000006	HZK19_RS03800	KUD10_RS02390
OG0000006	HZK19_RS03805	KUD10_RS02420
OG0000007	HZK19_RS02145	KUD10_RS02245
OG0000008	HZK19_RS03790	KUD10_RS02375
OG0000008	HZK19_RS03745	KUD10_RS01700
OG0000008	HZK19_RS03825	KUD10_RS02590
OG0000009	HZK19_RS00655	KUD10_RS00675
OG0000010	HZK19_RS01810	KUD10_RS01910
OG0000011	HZK19_RS01910, HZK19_RS03920	KUD10_RS02000
OG0000013	HZK19_RS02370	KUD10_RS02465
OG0000013	HZK19_RS03715	KUD10_RS00185
OG0000014	HZK19_RS00595	KUD10_RS00610
OG0000015	HZK19_RS03870	KUD10_RS01225
OG0000016	HZK19_RS02805	KUD10_RS02915
OG0000016	HZK19_RS00155	KUD10_RS00170
OG0000017	HZK19_RS00140	KUD10_RS00155
OG0000017	HZK19_RS02815	KUD10_RS02925
OG0000019	HZK19_RS03845	KUD10_RS03080
OG0000019	HZK19_RS03850	KUD10_RS03090
OG0000020	HZK19_RS03860	KUD10_RS03620
OG0000020	HZK19_RS03600	KUD10_RS03625
OG0000022	HZK19_RS01625	KUD10_RS01720
OG0000022	HZK19_RS01685	KUD10_RS01775
OG0000023	HZK19_RS01285	KUD10_RS01390
OG0000024	HZK19_RS02710	KUD10_RS02825
OG0000024	HZK19_RS01240	KUD10_RS01345
OG0000025	HZK19_RS01630	KUD10_RS01725
OG0000025	HZK19_RS01680	KUD10_RS01770
OG0000026	HZK19_RS01330	KUD10_RS01435
OG0000026	HZK19_RS01660	KUD10_RS01750
OG0000027	HZK19_RS03390	KUD10_RS03410
OG0000027	HZK19_RS03405	KUD10_RS03425
OG0000028	HZK19_RS02385	KUD10_RS02500
OG0000029	HZK19_RS01065	KUD10_RS01075
OG0000029	HZK19_RS00600	KUD10_RS00620
OG0000030	HZK19_RS03380	KUD10_RS03400
OG0000030	HZK19_RS03400	KUD10_RS03420
OG0000031	HZK19_RS03025	KUD10_RS01150
OG0000032	HZK19_RS01545	KUD10_RS01640
OG0000033	HZK19_RS03820, HZK19_RS02375	KUD10_RS02475
OG0000034	HZK19_RS03770	KUD10_RS02225
OG0000034	HZK19_RS03775	KUD10_RS02230
OG0000035	HZK19_RS03235	KUD10_RS03270
OG0000035	HZK19_RS03225	KUD10_RS03250
OG0000036	HZK19_RS00100	KUD10_RS00115
OG0000036	HZK19_RS03705, HZK19_RS03710	KUD10_RS00130
OG0000037	HZK19_RS01555	KUD10_RS01650
OG0000037	HZK19_RS01550	KUD10_RS01645
OG0000038	HZK19_RS01710	KUD10_RS01815
OG0000038	HZK19_RS03945	KUD10_RS00495
OG0000039	HZK19_RS01580	KUD10_RS01675
OG0000040	HZK19_RS03325	KUD10_RS03345
OG0000042	HZK19_RS02900	KUD10_RS03010
OG0000043	HZK19_RS01875	KUD10_RS01965
OG0000044	HZK19_RS01755	KUD10_RS01860
OG0000045	HZK19_RS01585	KUD10_RS01680
OG0000046	HZK19_RS03335	KUD10_RS03355
OG0000048	HZK19_RS02065	KUD10_RS02150
OG0000049	HZK19_RS02995	KUD10_RS03120
OG0000050	HZK19_RS02415	KUD10_RS02530
OG0000051	HZK19_RS02620	KUD10_RS02740
OG0000052	HZK19_RS00075	KUD10_RS00075
OG0000053	HZK19_RS01415	KUD10_RS01520
OG0000054	HZK19_RS02440	KUD10_RS02555
OG0000055	HZK19_RS00120	KUD10_RS00135
OG0000056	HZK19_RS03580	KUD10_RS03605
OG0000057	HZK19_RS02885	KUD10_RS02995
OG0000058	HZK19_RS03015	KUD10_RS01145
OG0000059	HZK19_RS03030	KUD10_RS01155
OG0000059	HZK19_RS03855	KUD10_RS01165
OG0000060	HZK19_RS00080	KUD10_RS00080
OG0000061	HZK19_RS01820	KUD10_RS01920
OG0000062	HZK19_RS03630	KUD10_RS03655
OG0000063	HZK19_RS03625	KUD10_RS03650
OG0000064	HZK19_RS03615	KUD10_RS03640
OG0000065	HZK19_RS02220	KUD10_RS02315
OG0000066	HZK19_RS01320	KUD10_RS01425
OG0000067	HZK19_RS00515	KUD10_RS00530
OG0000068	HZK19_RS00635	KUD10_RS00655
OG0000069	HZK19_RS02780	KUD10_RS02890
OG0000070	HZK19_RS02445	KUD10_RS02560
OG0000071	HZK19_RS03315	KUD10_RS03335
OG0000072	HZK19_RS03320	KUD10_RS03340
OG0000073	HZK19_RS00680	KUD10_RS00700
OG0000074	HZK19_RS00875	KUD10_RS00895
OG0000075	HZK19_RS00325	KUD10_RS00340
OG0000076	HZK19_RS00340	KUD10_RS00355
OG0000077	HZK19_RS00425	KUD10_RS00440
OG0000078	HZK19_RS01645	KUD10_RS01740
OG0000079	HZK19_RS02525	KUD10_RS02640
OG0000080	HZK19_RS02570	KUD10_RS02690
OG0000081	HZK19_RS00320	KUD10_RS00335
OG0000082	HZK19_RS02365	KUD10_RS02460
OG0000083	HZK19_RS01985	KUD10_RS02070
OG0000084	HZK19_RS02015	KUD10_RS02100
OG0000085	HZK19_RS02020	KUD10_RS02105
OG0000086	HZK19_RS02030	KUD10_RS02115
OG0000087	HZK19_RS02045	KUD10_RS02130
OG0000088	HZK19_RS02050	KUD10_RS02135
OG0000089	HZK19_RS02060	KUD10_RS02145
OG0000090	HZK19_RS00070	KUD10_RS00070
OG0000091	HZK19_RS00055	KUD10_RS00055
OG0000092	HZK19_RS00040	KUD10_RS00040
OG0000093	HZK19_RS00035	KUD10_RS00035
OG0000094	HZK19_RS00030	KUD10_RS00030
OG0000095	HZK19_RS00005	KUD10_RS00005
OG0000096	HZK19_RS03665	KUD10_RS03690
OG0000097	HZK19_RS03645	KUD10_RS03670
OG0000099	HZK19_RS03585	KUD10_RS03610
OG0000100	HZK19_RS03570	KUD10_RS03590
OG0000101	HZK19_RS03565	KUD10_RS03585
OG0000102	HZK19_RS01675	KUD10_RS01765
OG0000103	HZK19_RS02185	KUD10_RS02280
OG0000104	HZK19_RS02190	KUD10_RS02285
OG0000105	HZK19_RS02205	KUD10_RS02300
OG0000106	HZK19_RS02215	KUD10_RS02310
OG0000107	HZK19_RS02225	KUD10_RS02320
OG0000108	HZK19_RS02230	KUD10_RS02325
OG0000109	HZK19_RS02235	KUD10_RS02330
OG0000110	HZK19_RS02355	KUD10_RS02450
OG0000111	HZK19_RS02350	KUD10_RS02445
OG0000112	HZK19_RS02340	KUD10_RS02435
OG0000113	HZK19_RS02320	KUD10_RS02415
OG0000114	HZK19_RS02310	KUD10_RS02405
OG0000115	HZK19_RS02300	KUD10_RS02395
OG0000116	HZK19_RS01265	KUD10_RS01370
