Orthogroup	MHP_ES2L_genes	MHP_KM014_genes
OG0000000	HZK19_RS03960, HZK19_RS02100	CIB43_RS03015
OG0000000	HZK19_RS03675	CIB43_RS03010
OG0000000	HZK19_RS01690	CIB43_RS02595
OG0000001	HZK19_RS02765	CIB43_RS03715
OG0000001	HZK19_RS03840	CIB43_RS03670
OG0000002	HZK19_RS02175	CIB43_RS04020
OG0000002	HZK19_RS01705	CIB43_RS02610
OG0000003	HZK19_RS01800	CIB43_RS02725
OG0000004	HZK19_RS03240	CIB43_RS00290
OG0000004	HZK19_RS03230	CIB43_RS00275
OG0000005	HZK19_RS00085	CIB43_RS00810
OG0000005	HZK19_RS00105	CIB43_RS00830
OG0000006	HZK19_RS02470	CIB43_RS03435
OG0000006	HZK19_RS03800, HZK19_RS03810, HZK19_RS03805	CIB43_RS03420
OG0000007	HZK19_RS02155	CIB43_RS03095
OG0000007	HZK19_RS02150	CIB43_RS03080
OG0000007	HZK19_RS02145	CIB43_RS03075
OG0000008	HZK19_RS03695, HZK19_RS03790	CIB43_RS03225
OG0000009	HZK19_RS00655	CIB43_RS01550
OG0000010	HZK19_RS01810	CIB43_RS02735
OG0000011	HZK19_RS03920	CIB43_RS02850
OG0000012	HZK19_RS03250	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	HZK19_RS00585	CIB43_RS01485
OG0000015	HZK19_RS01540	CIB43_RS01220
OG0000016	HZK19_RS02805	CIB43_RS03755
OG0000017	HZK19_RS00140	CIB43_RS00855
OG0000017	HZK19_RS02815	CIB43_RS03765
OG0000018	HZK19_RS03075	CIB43_RS01185
OG0000019	HZK19_RS03845	CIB43_RS00115
OG0000020	HZK19_RS03600	CIB43_RS00635
OG0000021	HZK19_RS01725	CIB43_RS02635
OG0000022	HZK19_RS01685	CIB43_RS02590
OG0000023	HZK19_RS03085	CIB43_RS01195
OG0000024	HZK19_RS01240	CIB43_RS02140
OG0000025	HZK19_RS01680	CIB43_RS02585
OG0000026	HZK19_RS01660	CIB43_RS02565
OG0000027	HZK19_RS03405	CIB43_RS00440
OG0000028	HZK19_RS02385	CIB43_RS03320, CIB43_RS03335, CIB43_RS03340
OG0000028	HZK19_RS02380	CIB43_RS03325
OG0000030	HZK19_RS03400	CIB43_RS00435
OG0000031	HZK19_RS03025	CIB43_RS01295
OG0000035	HZK19_RS03235	CIB43_RS00280
OG0000035	HZK19_RS03225	CIB43_RS00270
OG0000036	HZK19_RS00100	CIB43_RS00815
OG0000037	HZK19_RS01555	CIB43_RS02465
OG0000038	HZK19_RS01710	CIB43_RS02625
OG0000039	HZK19_RS01580	CIB43_RS02500
OG0000042	HZK19_RS02900	CIB43_RS03855
OG0000043	HZK19_RS01875	CIB43_RS02825
OG0000043	HZK19_RS01875	CIB43_RS00070
OG0000044	HZK19_RS01755	CIB43_RS02665
OG0000045	HZK19_RS01585	CIB43_RS02520
OG0000047	HZK19_RS03090	CIB43_RS01205
OG0000048	HZK19_RS02065	CIB43_RS02995
OG0000049	HZK19_RS02995	CIB43_RS00150
OG0000051	HZK19_RS02620	CIB43_RS03575
OG0000052	HZK19_RS00075	CIB43_RS00775
OG0000053	HZK19_RS01415	CIB43_RS02315
OG0000054	HZK19_RS02440	CIB43_RS03395
OG0000055	HZK19_RS00120	CIB43_RS00835
OG0000056	HZK19_RS03580	CIB43_RS03960
OG0000057	HZK19_RS02885	CIB43_RS03840
OG0000058	HZK19_RS03015	CIB43_RS01140
OG0000058	HZK19_RS03020	CIB43_RS01300
OG0000060	HZK19_RS00080	CIB43_RS00780
OG0000061	HZK19_RS01820	CIB43_RS02745
OG0000062	HZK19_RS03630	CIB43_RS00675
OG0000063	HZK19_RS03625	CIB43_RS00660
OG0000064	HZK19_RS03615	CIB43_RS00650
OG0000065	HZK19_RS02220	CIB43_RS03145
OG0000068	HZK19_RS00635	CIB43_RS01520
OG0000069	HZK19_RS02780	CIB43_RS03740
OG0000070	HZK19_RS02445	CIB43_RS03400
OG0000071	HZK19_RS03315	CIB43_RS00360
OG0000072	HZK19_RS03320	CIB43_RS00375
OG0000073	HZK19_RS00680	CIB43_RS01580
OG0000075	HZK19_RS00325	CIB43_RS01060
OG0000077	HZK19_RS00425	CIB43_RS01330
OG0000078	HZK19_RS01645	CIB43_RS02560
OG0000079	HZK19_RS02525	CIB43_RS03480
OG0000080	HZK19_RS02570	CIB43_RS03525
OG0000081	HZK19_RS00320	CIB43_RS01055
OG0000082	HZK19_RS02365	CIB43_RS03315
OG0000083	HZK19_RS01985	CIB43_RS02935
OG0000084	HZK19_RS02015	CIB43_RS02955
OG0000086	HZK19_RS02030	CIB43_RS02970
OG0000087	HZK19_RS02045	CIB43_RS02975
OG0000088	HZK19_RS02050	CIB43_RS02980
OG0000089	HZK19_RS02060	CIB43_RS02990
OG0000090	HZK19_RS00070	CIB43_RS00770
OG0000091	HZK19_RS00055	CIB43_RS00760
