Orthogroup	MHP_KM014_genes	MHP_MHP682_genes
OG0000000	CIB43_RS03010	DR097_RS04740
OG0000001	CIB43_RS03715	DR097_RS04145
OG0000001	CIB43_RS03670	DR097_RS04155
OG0000002	CIB43_RS03100	DR097_RS02700
OG0000002	CIB43_RS02610	DR097_RS04675
OG0000003	CIB43_RS02725	DR097_RS03830
OG0000004	CIB43_RS00290	DR097_RS01330
OG0000005	CIB43_RS00810	DR097_RS02455
OG0000005	CIB43_RS00830	DR097_RS04720
OG0000006	CIB43_RS03435	DR097_RS04435
OG0000006	CIB43_RS03420	DR097_RS04440, DR097_RS02125
OG0000007	CIB43_RS03095	DR097_RS03435
OG0000007	CIB43_RS03080	DR097_RS03440
OG0000007	CIB43_RS03075	DR097_RS03450
OG0000009	CIB43_RS00790	DR097_RS02470
OG0000009	CIB43_RS01550	DR097_RS01140
OG0000010	CIB43_RS02735	DR097_RS02510
OG0000010	CIB43_RS00795	DR097_RS02450
OG0000011	CIB43_RS02850	DR097_RS00820
OG0000014	CIB43_RS01485	DR097_RS03860
OG0000015	CIB43_RS01220	DR097_RS02000
OG0000016	CIB43_RS03755	DR097_RS01165
OG0000017	CIB43_RS00855	DR097_RS00285
OG0000017	CIB43_RS03765	DR097_RS01175
OG0000018	CIB43_RS02195	DR097_RS04665
OG0000018	CIB43_RS01185	DR097_RS04695
OG0000019	CIB43_RS00120, CIB43_RS00115, CIB43_RS03950, CIB43_RS00005	DR097_RS03615
OG0000020	CIB43_RS00635	DR097_RS04830
OG0000021	CIB43_RS01400, CIB43_RS02635	DR097_RS03390
OG0000022	CIB43_RS02590	DR097_RS04680
OG0000023	CIB43_RS01195	DR097_RS02020
OG0000024	CIB43_RS02140	DR097_RS00345
OG0000025	CIB43_RS02585	DR097_RS01845
OG0000026	CIB43_RS02565	DR097_RS01865
OG0000027	CIB43_RS00440	DR097_RS04560
OG0000028	CIB43_RS03320, CIB43_RS03335, CIB43_RS03340	DR097_RS04690
OG0000028	CIB43_RS03325	DR097_RS02880, DR097_RS01995
OG0000030	CIB43_RS00435	DR097_RS04565
OG0000031	CIB43_RS01295	DR097_RS02075
OG0000035	CIB43_RS00270	DR097_RS04085
OG0000036	CIB43_RS00815	DR097_RS02435
OG0000037	CIB43_RS02465	DR097_RS04800
OG0000039	CIB43_RS02500	DR097_RS04950
OG0000041	CIB43_RS03980	DR097_RS03645
OG0000042	CIB43_RS03855	DR097_RS01265
OG0000043	CIB43_RS02825	DR097_RS00855
OG0000043	CIB43_RS00070	DR097_RS00855
OG0000045	CIB43_RS02520	DR097_RS03525
OG0000048	CIB43_RS02995	DR097_RS02830
OG0000049	CIB43_RS00150	DR097_RS01470
OG0000051	CIB43_RS03575	DR097_RS01545
OG0000052	CIB43_RS00775	DR097_RS02480
OG0000053	CIB43_RS02315	DR097_RS04845
OG0000054	CIB43_RS03395	DR097_RS01935
OG0000055	CIB43_RS00835	DR097_RS00305
OG0000056	CIB43_RS00630, CIB43_RS03960	DR097_RS00545
OG0000057	CIB43_RS03840	DR097_RS01250
OG0000058	CIB43_RS01140	DR097_RS02085
OG0000058	CIB43_RS01300	DR097_RS02080
OG0000059	CIB43_RS00080, CIB43_RS01165	DR097_RS04190
OG0000060	CIB43_RS00780	DR097_RS00425
OG0000061	CIB43_RS02745	DR097_RS02500
OG0000062	CIB43_RS00675	DR097_RS02590
OG0000063	CIB43_RS00660	DR097_RS04735
OG0000064	CIB43_RS00650	DR097_RS02605
OG0000065	CIB43_RS03145	DR097_RS02745
OG0000068	CIB43_RS01520	DR097_RS03055
OG0000069	CIB43_RS03740	DR097_RS01725
OG0000070	CIB43_RS03400	DR097_RS01930
OG0000071	CIB43_RS00360	DR097_RS03575
OG0000072	CIB43_RS00375	DR097_RS03580, DR097_RS04860
OG0000073	CIB43_RS01580	DR097_RS01115
OG0000075	CIB43_RS01060	DR097_RS00090
OG0000077	CIB43_RS01330	DR097_RS03275
OG0000078	CIB43_RS02560	DR097_RS01875
OG0000079	CIB43_RS03480	DR097_RS02640
OG0000080	CIB43_RS03525	DR097_RS04360
OG0000081	CIB43_RS01055	DR097_RS00095
OG0000082	CIB43_RS03315	DR097_RS02165
OG0000083	CIB43_RS02935	DR097_RS00750
OG0000084	CIB43_RS02955	DR097_RS03685
OG0000086	CIB43_RS02970	DR097_RS02865
OG0000087	CIB43_RS02975	DR097_RS02850
OG0000088	CIB43_RS02980	DR097_RS02845
OG0000089	CIB43_RS02990	DR097_RS02835
OG0000090	CIB43_RS00770	DR097_RS02485
OG0000091	CIB43_RS00760	DR097_RS02775
OG0000092	CIB43_RS00745	DR097_RS02790
OG0000093	CIB43_RS00735	DR097_RS02795
OG0000094	CIB43_RS00730	DR097_RS02800
OG0000095	CIB43_RS00715	DR097_RS03550
OG0000096	CIB43_RS00700	DR097_RS03545
OG0000097	CIB43_RS00690	DR097_RS02575
OG0000100	CIB43_RS00610	DR097_RS00555
OG0000101	CIB43_RS00600	DR097_RS00560
OG0000102	CIB43_RS02580	DR097_RS01850
OG0000103	CIB43_RS03110	DR097_RS02710
OG0000104	CIB43_RS03120	DR097_RS02715
OG0000105	CIB43_RS03130	DR097_RS02730
