Orthogroup	MHP_KM014_genes	MFC_MF11_genes
OG0000000	CIB43_RS02595	DR093_RS03435
OG0000000	CIB43_RS02600	DR093_RS03440
OG0000001	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670	DR093_RS00830, DR093_RS00825
OG0000002	CIB43_RS02610	DR093_RS03845
OG0000004	CIB43_RS00110	DR093_RS01845
OG0000007	CIB43_RS03095	DR093_RS02845
OG0000007	CIB43_RS03080	DR093_RS02840
OG0000007	CIB43_RS03075	DR093_RS02835
OG0000011	CIB43_RS02845, CIB43_RS02850	DR093_RS03025
OG0000014	CIB43_RS01485, CIB43_RS01955	DR093_RS03805
OG0000016	CIB43_RS03755	DR093_RS00770
OG0000017	CIB43_RS00855	DR093_RS00175
OG0000017	CIB43_RS03765	DR093_RS00760
OG0000018	CIB43_RS01250, CIB43_RS01185	DR093_RS03935
OG0000019	CIB43_RS03950, CIB43_RS00005	DR093_RS03265
OG0000020	CIB43_RS00635	DR093_RS03830
OG0000022	CIB43_RS02590	DR093_RS03840
OG0000023	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195	DR093_RS01985
OG0000024	CIB43_RS02140	DR093_RS00835
OG0000025	CIB43_RS02585	DR093_RS01230
OG0000026	CIB43_RS02565	DR093_RS02030
OG0000027	CIB43_RS00440	DR093_RS03885
OG0000028	CIB43_RS03340	DR093_RS01110
OG0000030	CIB43_RS00435	DR093_RS03890
OG0000031	CIB43_RS01295, CIB43_RS00065	DR093_RS02685
OG0000039	CIB43_RS02500	DR093_RS00665
OG0000042	CIB43_RS03855	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	CIB43_RS00070	DR093_RS02660
OG0000045	CIB43_RS02520	DR093_RS00670
OG0000047	CIB43_RS01205, CIB43_RS00045	DR093_RS00840
OG0000048	CIB43_RS02995	DR093_RS03685, DR093_RS03690
OG0000049	CIB43_RS00150	DR093_RS03590
OG0000051	CIB43_RS03575	DR093_RS01745
OG0000052	CIB43_RS00775	DR093_RS00140
OG0000053	CIB43_RS02315	DR093_RS03940
OG0000054	CIB43_RS03395	DR093_RS01140
OG0000056	CIB43_RS00630, CIB43_RS03960	DR093_RS01205
OG0000057	CIB43_RS03840	DR093_RS00685
OG0000062	CIB43_RS00675	DR093_RS00025
OG0000063	CIB43_RS00660	DR093_RS03775
OG0000064	CIB43_RS00650	DR093_RS00010
OG0000065	CIB43_RS03145	DR093_RS01890
OG0000067	CIB43_RS01410	DR093_RS00530
OG0000068	CIB43_RS01520	DR093_RS00640
OG0000069	CIB43_RS03740	DR093_RS00795
OG0000070	CIB43_RS03400	DR093_RS01120
OG0000071	CIB43_RS00360	DR093_RS02370
OG0000072	CIB43_RS00375	DR093_RS03980
OG0000073	CIB43_RS01580	DR093_RS02505
OG0000075	CIB43_RS01060	DR093_RS00360
OG0000077	CIB43_RS01330	DR093_RS00460
OG0000078	CIB43_RS02560	DR093_RS00930
OG0000079	CIB43_RS03480	DR093_RS01040
OG0000080	CIB43_RS03525	DR093_RS03415
OG0000081	CIB43_RS01055	DR093_RS00355
OG0000082	CIB43_RS03315	DR093_RS01100
OG0000083	CIB43_RS02935	DR093_RS02955
OG0000084	CIB43_RS02955	DR093_RS02790
OG0000086	CIB43_RS02970	DR093_RS04020
OG0000087	CIB43_RS02975	DR093_RS02760
OG0000088	CIB43_RS02980	DR093_RS02755
OG0000089	CIB43_RS02990	DR093_RS02745
OG0000090	CIB43_RS00770	DR093_RS00130
OG0000091	CIB43_RS00760	DR093_RS00115
OG0000092	CIB43_RS00745	DR093_RS00100
OG0000093	CIB43_RS00735	DR093_RS00095
OG0000094	CIB43_RS00730	DR093_RS04155
OG0000095	CIB43_RS00715	DR093_RS00065
OG0000096	CIB43_RS00700	DR093_RS00060
OG0000097	CIB43_RS00690	DR093_RS00040
OG0000100	CIB43_RS00610	DR093_RS01210
OG0000101	CIB43_RS00600	DR093_RS01215
OG0000102	CIB43_RS02580	DR093_RS01225
OG0000103	CIB43_RS03110	DR093_RS01855
OG0000104	CIB43_RS03120	DR093_RS01860
OG0000105	CIB43_RS03130	DR093_RS01875
OG0000106	CIB43_RS03140	DR093_RS01885
OG0000107	CIB43_RS03150	DR093_RS01895
OG0000108	CIB43_RS03155	DR093_RS01900
OG0000109	CIB43_RS03160	DR093_RS01905
OG0000110	CIB43_RS03290	DR093_RS01910
OG0000111	CIB43_RS03285	DR093_RS01915
OG0000112	CIB43_RS03280	DR093_RS01925
OG0000113	CIB43_RS03260	DR093_RS03930
OG0000114	CIB43_RS03245	DR093_RS01950
OG0000115	CIB43_RS03230	DR093_RS01960
OG0000116	CIB43_RS02165	DR093_RS01970
OG0000117	CIB43_RS02170	DR093_RS01975
OG0000118	CIB43_RS02205	DR093_RS02005
OG0000119	CIB43_RS02210	DR093_RS02010
OG0000120	CIB43_RS02230	DR093_RS02025
OG0000121	CIB43_RS02250	DR093_RS02050
OG0000122	CIB43_RS02255	DR093_RS02055
OG0000123	CIB43_RS02275	DR093_RS02075
OG0000124	CIB43_RS02280	DR093_RS02080
OG0000125	CIB43_RS02285	DR093_RS02085
OG0000126	CIB43_RS02295	DR093_RS02095
OG0000127	CIB43_RS02305	DR093_RS02105
