Orthogroup	MHP_KM014_genes	MHP_MHP653_genes
OG0000000	CIB43_RS03015	DR096_RS03425
OG0000000	CIB43_RS02600	DR096_RS02065
OG0000001	CIB43_RS02150	DR096_RS01685
OG0000001	CIB43_RS03715	DR096_RS01190
OG0000001	CIB43_RS03670	DR096_RS04085
OG0000002	CIB43_RS03100	DR096_RS04275
OG0000002	CIB43_RS02610	DR096_RS04795
OG0000003	CIB43_RS01390	DR096_RS03740
OG0000003	CIB43_RS02725	DR096_RS04825
OG0000004	CIB43_RS00110	DR096_RS00785
OG0000005	CIB43_RS00810	DR096_RS02575
OG0000005	CIB43_RS00830	DR096_RS04720
OG0000006	CIB43_RS03435	DR096_RS04365
OG0000006	CIB43_RS03420	DR096_RS04370, DR096_RS01695
OG0000007	CIB43_RS03095	DR096_RS03505
OG0000007	CIB43_RS03080	DR096_RS03510
OG0000007	CIB43_RS03075	DR096_RS00630
OG0000009	CIB43_RS00790	DR096_RS02590
OG0000010	CIB43_RS02735	DR096_RS00395
OG0000010	CIB43_RS00795	DR096_RS02570
OG0000011	CIB43_RS02850	DR096_RS00490
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	DR096_RS03685
OG0000014	CIB43_RS01485	DR096_RS03315
OG0000015	CIB43_RS01235, CIB43_RS00010, CIB43_RS01220	DR096_RS01405
OG0000016	CIB43_RS03755	DR096_RS01150
OG0000017	CIB43_RS00855	DR096_RS00360
OG0000017	CIB43_RS03765	DR096_RS01140
OG0000019	CIB43_RS00120, CIB43_RS00115	DR096_RS03940
OG0000020	CIB43_RS00635	DR096_RS04775
OG0000022	CIB43_RS02590	DR096_RS04665
OG0000024	CIB43_RS02140	DR096_RS01690
OG0000025	CIB43_RS02585	DR096_RS02045
OG0000026	CIB43_RS02565	DR096_RS02025
OG0000027	CIB43_RS00440	DR096_RS04540
OG0000028	CIB43_RS03320, CIB43_RS03335	DR096_RS03495
OG0000028	CIB43_RS03325	DR096_RS01750, DR096_RS01755
OG0000030	CIB43_RS00435	DR096_RS04535
OG0000035	CIB43_RS00270	DR096_RS03635
OG0000036	CIB43_RS00815	DR096_RS02555
OG0000039	CIB43_RS02500	DR096_RS01385
OG0000041	CIB43_RS03980	DR096_RS03595
OG0000042	CIB43_RS03855	DR096_RS00855
OG0000043	CIB43_RS00070	DR096_RS00455
OG0000045	CIB43_RS02520	DR096_RS01390
OG0000048	CIB43_RS02995	DR096_RS03530
OG0000049	CIB43_RS00150	DR096_RS00770
OG0000051	CIB43_RS03575	DR096_RS02440
OG0000052	CIB43_RS00775	DR096_RS02830
OG0000053	CIB43_RS02315	DR096_RS04590
OG0000054	CIB43_RS03395	DR096_RS02995
OG0000055	CIB43_RS00835	DR096_RS02530
OG0000056	CIB43_RS00630, CIB43_RS03960	DR096_RS01045
OG0000057	CIB43_RS03840	DR096_RS01065
OG0000060	CIB43_RS00780	DR096_RS02295
OG0000061	CIB43_RS02745	DR096_RS00405
OG0000062	CIB43_RS00675	DR096_RS01775
OG0000063	CIB43_RS00660	DR096_RS04645
OG0000064	CIB43_RS00650	DR096_RS01760
OG0000065	CIB43_RS03145	DR096_RS02855
OG0000067	CIB43_RS01410	DR096_RS02595
OG0000068	CIB43_RS01520	DR096_RS03280
OG0000069	CIB43_RS03740	DR096_RS01175
OG0000070	CIB43_RS03400	DR096_RS02990
OG0000071	CIB43_RS00360	DR096_RS03055
OG0000072	CIB43_RS00375	DR096_RS04730
OG0000073	CIB43_RS01580	DR096_RS02090
OG0000075	CIB43_RS01060	DR096_RS00165
OG0000077	CIB43_RS01330	DR096_RS00060
OG0000078	CIB43_RS02560	DR096_RS04150, DR096_RS02015
OG0000079	CIB43_RS03480	DR096_RS02960
OG0000080	CIB43_RS03525	DR096_RS04245
OG0000081	CIB43_RS01055	DR096_RS00170
OG0000082	CIB43_RS03315	DR096_RS01735
OG0000083	CIB43_RS02935	DR096_RS00560
OG0000084	CIB43_RS02955	DR096_RS00585
OG0000086	CIB43_RS02970	DR096_RS00600
OG0000087	CIB43_RS02975	DR096_RS00615
OG0000088	CIB43_RS02980	DR096_RS00620
OG0000089	CIB43_RS02990	DR096_RS03525
OG0000090	CIB43_RS00770	DR096_RS02835
OG0000091	CIB43_RS00760	DR096_RS01865
OG0000092	CIB43_RS00745	DR096_RS01850
OG0000093	CIB43_RS00735	DR096_RS01845
OG0000094	CIB43_RS00730	DR096_RS01840
OG0000095	CIB43_RS00715	DR096_RS01815
OG0000096	CIB43_RS00700	DR096_RS01810
OG0000097	CIB43_RS00690	DR096_RS01790
OG0000100	CIB43_RS00610	DR096_RS01035
OG0000101	CIB43_RS00600	DR096_RS01030
OG0000102	CIB43_RS02580	DR096_RS02040
OG0000103	CIB43_RS03110	DR096_RS02890
OG0000104	CIB43_RS03120	DR096_RS02885
OG0000105	CIB43_RS03130	DR096_RS02870
OG0000106	CIB43_RS03140	DR096_RS02860
OG0000107	CIB43_RS03150	DR096_RS02850
OG0000108	CIB43_RS03155	DR096_RS02845
OG0000109	CIB43_RS03160	DR096_RS02840
OG0000110	CIB43_RS03290	DR096_RS01725
OG0000111	CIB43_RS03285	DR096_RS01720
OG0000112	CIB43_RS03280	DR096_RS01710
OG0000113	CIB43_RS03260	DR096_RS04785
OG0000114	CIB43_RS03245	DR096_RS03255
OG0000115	CIB43_RS03230	DR096_RS03245
OG0000116	CIB43_RS02165	DR096_RS01665
OG0000117	CIB43_RS02170	DR096_RS01660
OG0000118	CIB43_RS02205	DR096_RS01625
OG0000119	CIB43_RS02210	DR096_RS01620
OG0000120	CIB43_RS02230	DR096_RS01605
OG0000121	CIB43_RS02250	DR096_RS01580
OG0000122	CIB43_RS02255	DR096_RS01575
OG0000123	CIB43_RS02275	DR096_RS01555
OG0000124	CIB43_RS02280	DR096_RS01550
OG0000125	CIB43_RS02285	DR096_RS01545
OG0000126	CIB43_RS02295	DR096_RS01210
OG0000127	CIB43_RS02305	DR096_RS01220
OG0000128	CIB43_RS02320	DR096_RS01235
OG0000129	CIB43_RS02330	DR096_RS01240
OG0000130	CIB43_RS02335	DR096_RS01250
OG0000131	CIB43_RS02370	DR096_RS04595
OG0000132	CIB43_RS02385	DR096_RS04600
OG0000133	CIB43_RS01415	DR096_RS02600
OG0000134	CIB43_RS01425	DR096_RS02605
