Orthogroup	MHP_KM014_genes	MHP_4284_genes
OG0000000	CIB43_RS02595, CIB43_RS02600	ABLE99_RS01670
OG0000001	CIB43_RS03715	ABLE99_RS02690
OG0000001	CIB43_RS03670	ABLE99_RS02640, ABLE99_RS02645
OG0000002	CIB43_RS03100	ABLE99_RS02040
OG0000002	CIB43_RS04020	ABLE99_RS02035
OG0000002	CIB43_RS02610	ABLE99_RS01675
OG0000003	CIB43_RS01390	ABLE99_RS00505
OG0000003	CIB43_RS02725	ABLE99_RS01760
OG0000004	CIB43_RS00290	ABLE99_RS03080
OG0000005	CIB43_RS00810	ABLE99_RS00100
OG0000005	CIB43_RS00830	ABLE99_RS00120
OG0000006	CIB43_RS03435	ABLE99_RS02400
OG0000006	CIB43_RS03420	ABLE99_RS02260, ABLE99_RS02230
OG0000007	CIB43_RS03095	ABLE99_RS02160
OG0000007	CIB43_RS03080	ABLE99_RS02165
OG0000007	CIB43_RS03075	ABLE99_RS02170
OG0000008	CIB43_RS03225	ABLE99_RS02145
OG0000009	CIB43_RS00790	ABLE99_RS00085
OG0000009	CIB43_RS01550	ABLE99_RS00995
OG0000010	CIB43_RS02735	ABLE99_RS01770
OG0000011	CIB43_RS02850	ABLE99_RS01865
OG0000014	CIB43_RS01485	ABLE99_RS00590
OG0000015	CIB43_RS01220	ABLE99_RS01525
OG0000016	CIB43_RS03755	ABLE99_RS02735
OG0000017	CIB43_RS00855	ABLE99_RS00155
OG0000017	CIB43_RS03765	ABLE99_RS02745
OG0000019	CIB43_RS00115	ABLE99_RS02900
OG0000019	CIB43_RS03950, CIB43_RS00005	ABLE99_RS02930
OG0000020	CIB43_RS00635	ABLE99_RS03415
OG0000022	CIB43_RS02590	ABLE99_RS01665
OG0000023	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195	ABLE99_RS01285
OG0000024	CIB43_RS02140	ABLE99_RS01245
OG0000025	CIB43_RS02585	ABLE99_RS01660
OG0000026	CIB43_RS02565	ABLE99_RS01640
OG0000028	CIB43_RS03325	ABLE99_RS02320
OG0000035	CIB43_RS00280	ABLE99_RS03090
OG0000036	CIB43_RS00815	ABLE99_RS00115
OG0000037	CIB43_RS02475, CIB43_RS02465	ABLE99_RS01540
OG0000038	CIB43_RS02625	ABLE99_RS00495, ABLE99_RS01685
OG0000039	CIB43_RS02500	ABLE99_RS01570, ABLE99_RS01565
OG0000042	CIB43_RS03855	ABLE99_RS02830
OG0000043	CIB43_RS02825	ABLE99_RS01830
OG0000043	CIB43_RS00070	ABLE99_RS01830
OG0000044	CIB43_RS02665	ABLE99_RS01720
OG0000045	CIB43_RS02520	ABLE99_RS01575
OG0000048	CIB43_RS02995	ABLE99_RS02015
OG0000049	CIB43_RS00150	ABLE99_RS02940
OG0000051	CIB43_RS03575	ABLE99_RS02550
OG0000052	CIB43_RS00775	ABLE99_RS00075
OG0000053	CIB43_RS02315	ABLE99_RS01415
OG0000054	CIB43_RS03395	ABLE99_RS02375
OG0000055	CIB43_RS00835	ABLE99_RS00135
OG0000056	CIB43_RS00630, CIB43_RS03960	ABLE99_RS03395
OG0000057	CIB43_RS03840	ABLE99_RS02815
OG0000060	CIB43_RS00780	ABLE99_RS01160
OG0000061	CIB43_RS02745	ABLE99_RS01780
OG0000062	CIB43_RS00675	ABLE99_RS03445
OG0000063	CIB43_RS00660	ABLE99_RS03440
OG0000064	CIB43_RS00650	ABLE99_RS03430
OG0000065	CIB43_RS03145	ABLE99_RS02085
OG0000068	CIB43_RS01520	ABLE99_RS01015
OG0000069	CIB43_RS03740	ABLE99_RS02710
OG0000070	CIB43_RS03400	ABLE99_RS02380
OG0000071	CIB43_RS00360	ABLE99_RS03155
OG0000072	CIB43_RS00375	ABLE99_RS03160
OG0000073	CIB43_RS01580	ABLE99_RS00970
OG0000075	CIB43_RS01060	ABLE99_RS00340
OG0000077	CIB43_RS01330	ABLE99_RS00440
OG0000078	CIB43_RS02560	ABLE99_RS01630
OG0000079	CIB43_RS03480	ABLE99_RS02455
OG0000080	CIB43_RS03525	ABLE99_RS02500
OG0000081	CIB43_RS01055	ABLE99_RS00335
OG0000082	CIB43_RS03315	ABLE99_RS02300
OG0000083	CIB43_RS02935	ABLE99_RS01935
OG0000084	CIB43_RS02955	ABLE99_RS01965
OG0000086	CIB43_RS02970	ABLE99_RS01980
OG0000087	CIB43_RS02975	ABLE99_RS01995
OG0000088	CIB43_RS02980	ABLE99_RS02000
OG0000089	CIB43_RS02990	ABLE99_RS02010
OG0000090	CIB43_RS00770	ABLE99_RS00070
OG0000091	CIB43_RS00760	ABLE99_RS00055
OG0000092	CIB43_RS00745	ABLE99_RS00040
OG0000093	CIB43_RS00735	ABLE99_RS00035
OG0000094	CIB43_RS00730	ABLE99_RS00030
OG0000095	CIB43_RS00715	ABLE99_RS00005
OG0000096	CIB43_RS00700	ABLE99_RS03480
OG0000097	CIB43_RS00690	ABLE99_RS03460
OG0000100	CIB43_RS00610	ABLE99_RS03385
OG0000101	CIB43_RS00600	ABLE99_RS03380
