Orthogroup	MHP_KM014_genes	MHP_1257_genes
OG0000000	CIB43_RS03010	ABKJ22_RS02090
OG0000000	CIB43_RS02595, CIB43_RS02600	ABKJ22_RS01715
OG0000001	CIB43_RS02150	ABKJ22_RS01295
OG0000001	CIB43_RS03670	ABKJ22_RS02690, ABKJ22_RS02685
OG0000002	CIB43_RS03100	ABKJ22_RS02205
OG0000002	CIB43_RS02610	ABKJ22_RS01720
OG0000003	CIB43_RS02725	ABKJ22_RS01825
OG0000004	CIB43_RS00290, CIB43_RS00275, CIB43_RS03935, CIB43_RS00110	ABKJ22_RS02940
OG0000005	CIB43_RS00810	ABKJ22_RS00095
OG0000005	CIB43_RS00830	ABKJ22_RS00115
OG0000006	CIB43_RS03435	ABKJ22_RS02450
OG0000006	CIB43_RS03420	ABKJ22_RS02445, ABKJ22_RS02310, ABKJ22_RS02280
OG0000007	CIB43_RS03095	ABKJ22_RS02220
OG0000007	CIB43_RS03080	ABKJ22_RS02225
OG0000007	CIB43_RS03075	ABKJ22_RS02230
OG0000008	CIB43_RS03225	ABKJ22_RS02100
OG0000009	CIB43_RS00790	ABKJ22_RS00085
OG0000009	CIB43_RS01550	ABKJ22_RS01020
OG0000010	CIB43_RS02735	ABKJ22_RS01835
OG0000011	CIB43_RS02850	ABKJ22_RS01925
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	ABKJ22_RS00425
OG0000014	CIB43_RS01485	ABKJ22_RS00595
OG0000014	CIB43_RS01955	ABKJ22_RS01105
OG0000015	CIB43_RS01220	ABKJ22_RS01575
OG0000016	CIB43_RS03755	ABKJ22_RS02785
OG0000017	CIB43_RS00855	ABKJ22_RS00150
OG0000017	CIB43_RS03765	ABKJ22_RS02795
OG0000019	CIB43_RS00120, CIB43_RS00115	ABKJ22_RS02945
OG0000020	CIB43_RS00635	ABKJ22_RS03440
OG0000021	CIB43_RS02635	ABKJ22_RS01740
OG0000022	CIB43_RS02590	ABKJ22_RS01710
OG0000024	CIB43_RS02140	ABKJ22_RS01290
OG0000025	CIB43_RS02585	ABKJ22_RS01705
OG0000026	CIB43_RS02565	ABKJ22_RS01685
OG0000027	CIB43_RS00440	ABKJ22_RS03240
OG0000028	CIB43_RS03325	ABKJ22_RS02365
OG0000030	CIB43_RS00435	ABKJ22_RS03235
OG0000035	CIB43_RS00270	ABKJ22_RS03095
OG0000036	CIB43_RS00815	ABKJ22_RS00110
OG0000037	CIB43_RS02475, CIB43_RS02465	ABKJ22_RS01590
OG0000038	CIB43_RS02625	ABKJ22_RS01775, ABKJ22_RS00505, ABKJ22_RS01735
OG0000039	CIB43_RS02500	ABKJ22_RS01615
OG0000041	CIB43_RS03980	ABKJ22_RS01030
OG0000042	CIB43_RS03855	ABKJ22_RS02880
OG0000043	CIB43_RS02825	ABKJ22_RS01890
OG0000043	CIB43_RS00070	ABKJ22_RS01890
OG0000045	CIB43_RS02520	ABKJ22_RS01620
OG0000048	CIB43_RS02995	ABKJ22_RS02075
