Orthogroup	MHP_KM014_genes	MHP_112B_genes
OG0000000	CIB43_RS03010	NBX26_RS01905
OG0000000	CIB43_RS02595, CIB43_RS02600	NBX26_RS01850
OG0000001	CIB43_RS03715	NBX26_RS02970
OG0000001	CIB43_RS03670	NBX26_RS02925, NBX26_RS02920
OG0000002	CIB43_RS03100	NBX26_RS02355
OG0000003	CIB43_RS01390	NBX26_RS00500, NBX26_RS00510
OG0000003	CIB43_RS02725	NBX26_RS02265
OG0000004	CIB43_RS00290	NBX26_RS03380
OG0000004	CIB43_RS00275	NBX26_RS03370
OG0000005	CIB43_RS00810	NBX26_RS00105
OG0000006	CIB43_RS03435	NBX26_RS02660
OG0000006	CIB43_RS03420	NBX26_RS02505, NBX26_RS02475
OG0000007	CIB43_RS03095	NBX26_RS01050
OG0000007	CIB43_RS03080	NBX26_RS01055
OG0000007	CIB43_RS03075	NBX26_RS01065
OG0000008	CIB43_RS03225	NBX26_RS02465
OG0000009	CIB43_RS00790	NBX26_RS00090
OG0000009	CIB43_RS01550	NBX26_RS00685
OG0000010	CIB43_RS02735	NBX26_RS02250
OG0000011	CIB43_RS02850	NBX26_RS02155
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	NBX26_RS02350
OG0000015	CIB43_RS01235	NBX26_RS01925
OG0000017	CIB43_RS00855	NBX26_RS00145
OG0000017	CIB43_RS03765	NBX26_RS03025
OG0000018	CIB43_RS01250	NBX26_RS01950
OG0000019	CIB43_RS00115	NBX26_RS03190
OG0000020	CIB43_RS00635	NBX26_RS03745
OG0000021	CIB43_RS02635	NBX26_RS02335
OG0000022	CIB43_RS02590	NBX26_RS01845
OG0000023	CIB43_RS01245	NBX26_RS01940
OG0000024	CIB43_RS02140	NBX26_RS01400
OG0000025	CIB43_RS02585	NBX26_RS01840
OG0000026	CIB43_RS02565	NBX26_RS01820
OG0000027	CIB43_RS00440	NBX26_RS03555
OG0000028	CIB43_RS03325	NBX26_RS02575, NBX26_RS02580
OG0000030	CIB43_RS00435	NBX26_RS03550
OG0000031	CIB43_RS01295	NBX26_RS01990
OG0000035	CIB43_RS00280, CIB43_RS00300	NBX26_RS03375
OG0000035	CIB43_RS00270	NBX26_RS03365
OG0000036	CIB43_RS00815	NBX26_RS00120
OG0000038	CIB43_RS02625	NBX26_RS00490, NBX26_RS02340
OG0000039	CIB43_RS02500	NBX26_RS01735
OG0000041	CIB43_RS03980	NBX26_RS00670
OG0000042	CIB43_RS03855	NBX26_RS03110
OG0000043	CIB43_RS02825	NBX26_RS02185
OG0000043	CIB43_RS00070	NBX26_RS02185
OG0000044	CIB43_RS02665	NBX26_RS02310
OG0000045	CIB43_RS02520	NBX26_RS01745, NBX26_RS01740
OG0000048	CIB43_RS02995	NBX26_RS01920
OG0000049	CIB43_RS00150	NBX26_RS03220
OG0000051	CIB43_RS03575	NBX26_RS02825
OG0000052	CIB43_RS00775	NBX26_RS00080
OG0000053	CIB43_RS02315	NBX26_RS01580
OG0000054	CIB43_RS03395	NBX26_RS02635
OG0000055	CIB43_RS00835	NBX26_RS00125
OG0000056	CIB43_RS00630, CIB43_RS03960	NBX26_RS03730
OG0000057	CIB43_RS03840	NBX26_RS03095
OG0000058	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085	NBX26_RS01995
OG0000060	CIB43_RS00780	NBX26_RS00085
OG0000061	CIB43_RS02745	NBX26_RS02240
OG0000062	CIB43_RS00675	NBX26_RS03775
OG0000063	CIB43_RS00660	NBX26_RS03770
OG0000064	CIB43_RS00650	NBX26_RS03760
OG0000065	CIB43_RS03145	NBX26_RS02400
OG0000068	CIB43_RS01520	NBX26_RS00645
OG0000069	CIB43_RS03740	NBX26_RS02990
OG0000070	CIB43_RS03400	NBX26_RS02640
OG0000071	CIB43_RS00360	NBX26_RS03445
OG0000072	CIB43_RS00375	NBX26_RS03450
OG0000073	CIB43_RS01580	NBX26_RS00715
OG0000075	CIB43_RS01060	NBX26_RS00335
OG0000077	CIB43_RS01330	NBX26_RS00435
OG0000078	CIB43_RS02560	NBX26_RS01810
OG0000079	CIB43_RS03480	NBX26_RS02720
OG0000080	CIB43_RS03525	NBX26_RS02765
OG0000081	CIB43_RS01055	NBX26_RS00330
OG0000083	CIB43_RS02935	NBX26_RS02080
OG0000084	CIB43_RS02955	NBX26_RS02050
OG0000086	CIB43_RS02970	NBX26_RS02030
OG0000087	CIB43_RS02975	NBX26_RS02015
OG0000088	CIB43_RS02980	NBX26_RS02010
OG0000089	CIB43_RS02990	NBX26_RS02000
OG0000090	CIB43_RS00770	NBX26_RS00070
OG0000091	CIB43_RS00760	NBX26_RS00055
OG0000092	CIB43_RS00745	NBX26_RS00040
OG0000093	CIB43_RS00735	NBX26_RS00035
OG0000094	CIB43_RS00730	NBX26_RS00030
OG0000095	CIB43_RS00715	NBX26_RS00005
OG0000096	CIB43_RS00700	NBX26_RS03810
OG0000097	CIB43_RS00690	NBX26_RS03790
OG0000100	CIB43_RS00610	NBX26_RS03720
OG0000101	CIB43_RS00600	NBX26_RS03715
OG0000102	CIB43_RS02580	NBX26_RS01835
OG0000103	CIB43_RS03110	NBX26_RS02365
OG0000104	CIB43_RS03120	NBX26_RS02370
OG0000105	CIB43_RS03130	NBX26_RS02390
OG0000106	CIB43_RS03140	NBX26_RS02395
OG0000107	CIB43_RS03150	NBX26_RS02405
OG0000108	CIB43_RS03155	NBX26_RS02410
OG0000109	CIB43_RS03160	NBX26_RS02415
OG0000110	CIB43_RS03290	NBX26_RS02535
OG0000111	CIB43_RS03285	NBX26_RS02530
OG0000112	CIB43_RS03280	NBX26_RS02520
