Orthogroup	MHP_KM014_genes	MHP_MHP650_genes
OG0000000	CIB43_RS02600	DR083_RS04215
OG0000001	CIB43_RS03715	DR083_RS00590
OG0000001	CIB43_RS03670	DR083_RS00540, DR083_RS00545
OG0000002	CIB43_RS03100, CIB43_RS04020	DR083_RS04320
OG0000002	CIB43_RS02610	DR083_RS04760
OG0000003	CIB43_RS01390	DR083_RS04940
OG0000003	CIB43_RS02725	DR083_RS03840
OG0000005	CIB43_RS00810	DR083_RS03065
OG0000006	CIB43_RS03435	DR083_RS04420
OG0000006	CIB43_RS03420	DR083_RS04425, DR083_RS03605, DR083_RS03320
OG0000007	CIB43_RS03095	DR083_RS03475
OG0000007	CIB43_RS03080	DR083_RS03470
OG0000007	CIB43_RS03075	DR083_RS03465
OG0000008	CIB43_RS03225	DR083_RS04510
OG0000009	CIB43_RS00790	DR083_RS05040
OG0000009	CIB43_RS01550	DR083_RS01240
OG0000010	CIB43_RS02735	DR083_RS02305
OG0000011	CIB43_RS02850	DR083_RS01555
OG0000012	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750	DR083_RS03720
OG0000014	CIB43_RS01485	DR083_RS03770
OG0000015	CIB43_RS01220	DR083_RS02965
OG0000016	CIB43_RS03755	DR083_RS00630
OG0000017	CIB43_RS00855	DR083_RS00025
OG0000017	CIB43_RS03765	DR083_RS00640
OG0000018	CIB43_RS01185	DR083_RS04835
OG0000019	CIB43_RS03950, CIB43_RS00005	DR083_RS04180
OG0000020	CIB43_RS00635	DR083_RS04640
OG0000021	CIB43_RS02635	DR083_RS02215, DR083_RS03855
OG0000022	CIB43_RS02590	DR083_RS04755
OG0000023	CIB43_RS01195	DR083_RS02935
OG0000024	CIB43_RS02140	DR083_RS01215
OG0000025	CIB43_RS02585	DR083_RS02105
OG0000026	CIB43_RS02565	DR083_RS02085
OG0000027	CIB43_RS00440	DR083_RS04880
OG0000028	CIB43_RS03325	DR083_RS00320, DR083_RS00315
OG0000030	CIB43_RS00435	DR083_RS04885
OG0000031	CIB43_RS01295	DR083_RS02520
OG0000035	CIB43_RS00280	DR083_RS03445
OG0000036	CIB43_RS00815	DR083_RS03040
OG0000039	CIB43_RS02500	DR083_RS03505
OG0000041	CIB43_RS03980	DR083_RS01230
OG0000042	CIB43_RS03855	DR083_RS00730
OG0000043	CIB43_RS02825	DR083_RS01520
OG0000043	CIB43_RS00070	DR083_RS01520
OG0000044	CIB43_RS02665	DR083_RS02245
OG0000045	CIB43_RS02520	DR083_RS03515
OG0000047	CIB43_RS01205	DR083_RS02945
OG0000048	CIB43_RS02995	DR083_RS02860
OG0000049	CIB43_RS00150	DR083_RS01660
OG0000051	CIB43_RS03575	DR083_RS02195
OG0000052	CIB43_RS00775	DR083_RS02690
OG0000053	CIB43_RS02315	DR083_RS04665
OG0000054	CIB43_RS03395	DR083_RS00375
OG0000055	CIB43_RS00835	DR083_RS00005
OG0000056	CIB43_RS00630	DR083_RS00815
OG0000057	CIB43_RS03840	DR083_RS03975, DR083_RS03980
OG0000058	CIB43_RS01140	DR083_RS02505
OG0000058	CIB43_RS01300	DR083_RS02510
OG0000059	CIB43_RS00080, CIB43_RS01165	DR083_RS04445
OG0000060	CIB43_RS00780	DR083_RS02685
OG0000061	CIB43_RS02745	DR083_RS02315
OG0000062	CIB43_RS00675	DR083_RS00865
OG0000063	CIB43_RS00660	DR083_RS04645
OG0000064	CIB43_RS00650	DR083_RS00850
OG0000065	CIB43_RS03145	DR083_RS02715
OG0000068	CIB43_RS01520	DR083_RS03160
OG0000069	CIB43_RS03740	DR083_RS00605
OG0000070	CIB43_RS03400	DR083_RS00380
OG0000071	CIB43_RS00360	DR083_RS02790
OG0000072	CIB43_RS00375	DR083_RS04820
OG0000073	CIB43_RS01580	DR083_RS01265
OG0000075	CIB43_RS01060	DR083_RS00220
OG0000077	CIB43_RS01330	DR083_RS03235
OG0000078	CIB43_RS02560	DR083_RS02075
OG0000079	CIB43_RS03480	DR083_RS01845
OG0000080	CIB43_RS03525	DR083_RS04190
OG0000081	CIB43_RS01055	DR083_RS00215
OG0000083	CIB43_RS02935	DR083_RS01625
OG0000084	CIB43_RS02955	DR083_RS02910
OG0000086	CIB43_RS02970	DR083_RS02895
OG0000087	CIB43_RS02975	DR083_RS02880
OG0000088	CIB43_RS02980	DR083_RS02875
OG0000089	CIB43_RS02990	DR083_RS02865
OG0000090	CIB43_RS00770	DR083_RS02695
OG0000091	CIB43_RS00760	DR083_RS00955
OG0000092	CIB43_RS00745	DR083_RS00940
OG0000093	CIB43_RS00735	DR083_RS00935
OG0000094	CIB43_RS00730	DR083_RS00930
OG0000095	CIB43_RS00715	DR083_RS00905
OG0000096	CIB43_RS00700	DR083_RS00900
OG0000097	CIB43_RS00690	DR083_RS00880
OG0000100	CIB43_RS00610	DR083_RS00805
OG0000101	CIB43_RS00600	DR083_RS00800
OG0000102	CIB43_RS02580	DR083_RS02100
OG0000103	CIB43_RS03110	DR083_RS02750
OG0000104	CIB43_RS03120	DR083_RS02745
OG0000105	CIB43_RS03130	DR083_RS02730
OG0000106	CIB43_RS03140	DR083_RS02720
OG0000107	CIB43_RS03150	DR083_RS02710
OG0000108	CIB43_RS03155	DR083_RS02705
OG0000109	CIB43_RS03160	DR083_RS02700
OG0000110	CIB43_RS03290	DR083_RS03140
OG0000111	CIB43_RS03285	DR083_RS03135
OG0000112	CIB43_RS03280	DR083_RS03125
OG0000113	CIB43_RS03260	DR083_RS03315
OG0000114	CIB43_RS03245	DR083_RS03305
OG0000115	CIB43_RS03230	DR083_RS03290
OG0000116	CIB43_RS02165	DR083_RS01185
OG0000117	CIB43_RS02170	DR083_RS01180
OG0000118	CIB43_RS02205	DR083_RS01145
OG0000119	CIB43_RS02210	DR083_RS01140
OG0000120	CIB43_RS02230	DR083_RS01125
OG0000121	CIB43_RS02250	DR083_RS01100
OG0000122	CIB43_RS02255	DR083_RS01095
OG0000123	CIB43_RS02275	DR083_RS01075
OG0000124	CIB43_RS02280	DR083_RS01070
OG0000125	CIB43_RS02285	DR083_RS01065
OG0000126	CIB43_RS02295	DR083_RS01055
OG0000127	CIB43_RS02305	DR083_RS01045
OG0000128	CIB43_RS02320	DR083_RS01030
OG0000129	CIB43_RS02330	DR083_RS01025
OG0000130	CIB43_RS02335	DR083_RS01015
OG0000131	CIB43_RS02370	DR083_RS00985
OG0000132	CIB43_RS02385	DR083_RS04660
OG0000133	CIB43_RS01415	DR083_RS02355
OG0000134	CIB43_RS01425	DR083_RS04790
OG0000135	CIB43_RS01435	DR083_RS02375
OG0000136	CIB43_RS01440	DR083_RS02380
OG0000137	CIB43_RS01470	DR083_RS02420
OG0000138	CIB43_RS01495	DR083_RS03185
OG0000139	CIB43_RS01525	DR083_RS03155
OG0000140	CIB43_RS01540	DR083_RS03150
OG0000141	CIB43_RS03850	DR083_RS00725
OG0000142	CIB43_RS03845	DR083_RS04625
OG0000143	CIB43_RS03835	DR083_RS00695
OG0000144	CIB43_RS03815	DR083_RS00685
OG0000145	CIB43_RS03805	DR083_RS00675
OG0000146	CIB43_RS03790	DR083_RS00665
OG0000147	CIB43_RS03785	DR083_RS00660
OG0000148	CIB43_RS03780	DR083_RS00645
OG0000149	CIB43_RS03760	DR083_RS00635
OG0000150	CIB43_RS03745	DR083_RS00620
OG0000151	CIB43_RS03700	DR083_RS00575
OG0000152	CIB43_RS03695	DR083_RS00570
OG0000153	CIB43_RS03690	DR083_RS00565
OG0000154	CIB43_RS03680	DR083_RS00555
OG0000155	CIB43_RS03645	DR083_RS03340
