Orthogroup	MHP_KM014_genes	MHP_168L_genes
OG0000000	CIB43_RS03010	MHP168L_RS03890
OG0000000	CIB43_RS02595	MHP168L_RS03865
OG0000001	CIB43_RS02150	MHP168L_RS03950
OG0000001	CIB43_RS03715	MHP168L_RS02830
OG0000001	CIB43_RS03670	MHP168L_RS02780, MHP168L_RS02785
OG0000002	CIB43_RS03100	MHP168L_RS04010
OG0000002	CIB43_RS04020	MHP168L_RS03840
OG0000002	CIB43_RS02610	MHP168L_RS01710
OG0000003	CIB43_RS01390	MHP168L_RS01860
OG0000003	CIB43_RS02725	MHP168L_RS03875
OG0000004	CIB43_RS00290	MHP168L_RS03190
OG0000005	CIB43_RS00810	MHP168L_RS00090
OG0000006	CIB43_RS03435	MHP168L_RS02535, MHP168L_RS02530
OG0000006	CIB43_RS03420	MHP168L_RS02345, MHP168L_RS02380
OG0000008	CIB43_RS03225	MHP168L_RS02330
OG0000009	CIB43_RS01550	MHP168L_RS03915
OG0000010	CIB43_RS02735	MHP168L_RS01950
OG0000010	CIB43_RS00795	MHP168L_RS00085
OG0000011	CIB43_RS02850	MHP168L_RS03995
OG0000014	CIB43_RS01955	MHP168L_RS01070
OG0000015	CIB43_RS01235	MHP168L_RS03530
OG0000015	CIB43_RS00010	MHP168L_RS01270
OG0000015	CIB43_RS01220	MHP168L_RS01665
OG0000016	CIB43_RS03755	MHP168L_RS02870
OG0000017	CIB43_RS00855	MHP168L_RS00135
OG0000017	CIB43_RS03765	MHP168L_RS02880
OG0000018	CIB43_RS01250	MHP168L_RS04065
OG0000018	CIB43_RS01185	MHP168L_RS04060
OG0000020	CIB43_RS00635	MHP168L_RS03595
OG0000021	CIB43_RS02635	MHP168L_RS00490
OG0000022	CIB43_RS02590	MHP168L_RS01725
OG0000023	CIB43_RS00020	MHP168L_RS03930
OG0000023	CIB43_RS01245	MHP168L_RS03545
OG0000024	CIB43_RS02140	MHP168L_RS03940
OG0000025	CIB43_RS02585	MHP168L_RS01730
OG0000026	CIB43_RS02565	MHP168L_RS01750
OG0000027	CIB43_RS00440	MHP168L_RS03345
OG0000028	CIB43_RS03340	MHP168L_RS02445, MHP168L_RS02440
OG0000030	CIB43_RS00435	MHP168L_RS03340
OG0000031	CIB43_RS01295	MHP168L_RS03575
OG0000031	CIB43_RS00065	MHP168L_RS01215
OG0000035	CIB43_RS00280	MHP168L_RS03200
OG0000035	CIB43_RS00270	MHP168L_RS03185
OG0000036	CIB43_RS00815	MHP168L_RS00110
OG0000038	CIB43_RS02625	MHP168L_RS00480, MHP168L_RS01855
OG0000039	CIB43_RS02500	MHP168L_RS01815
OG0000041	CIB43_RS03980	MHP168L_RS00985
OG0000042	CIB43_RS03855	MHP168L_RS02970
OG0000043	CIB43_RS02825	MHP168L_RS02005
OG0000043	CIB43_RS00070	MHP168L_RS01210
OG0000044	CIB43_RS02665	MHP168L_RS01900
OG0000045	CIB43_RS02520	MHP168L_RS01810
OG0000047	CIB43_RS01205	MHP168L_RS01680
OG0000047	CIB43_RS00045	MHP168L_RS01235
OG0000048	CIB43_RS02995	MHP168L_RS02210
OG0000049	CIB43_RS00150	MHP168L_RS03050
OG0000051	CIB43_RS03575	MHP168L_RS04035, MHP168L_RS02685
OG0000052	CIB43_RS00775	MHP168L_RS00075
OG0000053	CIB43_RS02315	MHP168L_RS01540
OG0000054	CIB43_RS03395	MHP168L_RS02500
OG0000055	CIB43_RS00835	MHP168L_RS00115
OG0000056	CIB43_RS00630, CIB43_RS03960	MHP168L_RS03515
OG0000057	CIB43_RS03840	MHP168L_RS02955
OG0000058	CIB43_RS00085	MHP168L_RS01190
OG0000058	CIB43_RS01300	MHP168L_RS03580
OG0000059	CIB43_RS00080, CIB43_RS01165	MHP168L_RS01205
OG0000060	CIB43_RS00780	MHP168L_RS01280, MHP168L_RS00080
OG0000061	CIB43_RS02745	MHP168L_RS01660
OG0000062	CIB43_RS00675	MHP168L_RS03630
OG0000063	CIB43_RS00660	MHP168L_RS03625
OG0000064	CIB43_RS00650	MHP168L_RS03615
OG0000065	CIB43_RS03145	MHP168L_RS04005, MHP168L_RS04000
OG0000068	CIB43_RS01520	MHP168L_RS04135
OG0000069	CIB43_RS03740	MHP168L_RS02845
OG0000070	CIB43_RS03400	MHP168L_RS02505
OG0000071	CIB43_RS00360	MHP168L_RS03265
OG0000072	CIB43_RS00375	MHP168L_RS03270
OG0000073	CIB43_RS01580	MHP168L_RS00955
