Orthogroup	MHP_KM014_genes	MHP_131B_genes
OG0000000	CIB43_RS03010	NB627_RS02260
OG0000000	CIB43_RS02600	NB627_RS01850
OG0000001	CIB43_RS03670	NB627_RS02940, NB627_RS02935
OG0000002	CIB43_RS03100	NB627_RS02365
OG0000002	CIB43_RS02610	NB627_RS01865
OG0000003	CIB43_RS01390	NB627_RS01900, NB627_RS00610
OG0000003	CIB43_RS02725	NB627_RS01980
OG0000004	CIB43_RS00290	NB627_RS03390
OG0000005	CIB43_RS00810	NB627_RS00100
OG0000005	CIB43_RS00830	NB627_RS00120
OG0000006	CIB43_RS03435	NB627_RS02685, NB627_RS02690
OG0000006	CIB43_RS03420	NB627_RS02680, NB627_RS02490, NB627_RS02525, NB627_RS02520
OG0000007	CIB43_RS03095	NB627_RS02345
OG0000007	CIB43_RS03080	NB627_RS02325
OG0000008	CIB43_RS03225	NB627_RS02475
OG0000009	CIB43_RS00790	NB627_RS00085
OG0000009	CIB43_RS01550	NB627_RS00790
OG0000010	CIB43_RS02735	NB627_RS01985
OG0000014	CIB43_RS01485	NB627_RS00705
OG0000014	CIB43_RS01955	NB627_RS01205
OG0000015	CIB43_RS01220	NB627_RS00525
OG0000016	CIB43_RS03755	NB627_RS03030
OG0000017	CIB43_RS00855	NB627_RS00155
OG0000017	CIB43_RS03765	NB627_RS03040
OG0000018	CIB43_RS02195	NB627_RS01445
OG0000018	CIB43_RS01185	NB627_RS00490
OG0000019	CIB43_RS03950, CIB43_RS00005	NB627_RS03230
OG0000020	CIB43_RS00635	NB627_RS03760
OG0000021	CIB43_RS01400	NB627_RS01905
OG0000021	CIB43_RS02635	NB627_RS00615
OG0000022	CIB43_RS02590	NB627_RS01845
OG0000023	CIB43_RS01195	NB627_RS00500
OG0000024	CIB43_RS02140	NB627_RS01395
OG0000025	CIB43_RS02585	NB627_RS01840
OG0000026	CIB43_RS02565	NB627_RS01820
OG0000027	CIB43_RS00440	NB627_RS03555
OG0000028	CIB43_RS03325	NB627_RS02600, NB627_RS02595
OG0000030	CIB43_RS00435	NB627_RS03550
OG0000031	CIB43_RS01295	NB627_RS00445
OG0000035	CIB43_RS00280	NB627_RS03400
OG0000035	CIB43_RS00270	NB627_RS03385
OG0000036	CIB43_RS00815	NB627_RS00115
OG0000037	CIB43_RS02465	NB627_RS01710
OG0000038	CIB43_RS02625	NB627_RS00605, NB627_RS01895
OG0000039	CIB43_RS02500	NB627_RS01740
OG0000041	CIB43_RS03980	NB627_RS00780
OG0000042	CIB43_RS03855	NB627_RS03125
OG0000043	CIB43_RS02825	NB627_RS02055
OG0000043	CIB43_RS00070	NB627_RS02055
OG0000044	CIB43_RS02665	NB627_RS01925
OG0000045	CIB43_RS02520	NB627_RS01745
OG0000047	CIB43_RS01205	NB627_RS00510
OG0000048	CIB43_RS02995	NB627_RS02245
OG0000049	CIB43_RS00150	NB627_RS03240
OG0000051	CIB43_RS03575	NB627_RS02845
OG0000052	CIB43_RS00775	NB627_RS00075
OG0000053	CIB43_RS02315	NB627_RS01580
OG0000054	CIB43_RS03395	NB627_RS02655
OG0000055	CIB43_RS00835	NB627_RS00135
OG0000056	CIB43_RS00630, CIB43_RS03960	NB627_RS03735
OG0000057	CIB43_RS03840	NB627_RS03110
OG0000058	CIB43_RS01140	NB627_RS00435
OG0000058	CIB43_RS01300	NB627_RS00440
OG0000059	CIB43_RS00080, CIB43_RS01165	NB627_RS00465
OG0000060	CIB43_RS00780	NB627_RS00080
OG0000061	CIB43_RS02745	NB627_RS01995
OG0000062	CIB43_RS00675	NB627_RS03790
OG0000063	CIB43_RS00660	NB627_RS03785
OG0000064	CIB43_RS00650	NB627_RS03775
OG0000065	CIB43_RS03145	NB627_RS02410
OG0000068	CIB43_RS01520	NB627_RS00755
OG0000069	CIB43_RS03740	NB627_RS03005
OG0000070	CIB43_RS03400	NB627_RS02660
OG0000071	CIB43_RS00360	NB627_RS03465
OG0000072	CIB43_RS00375	NB627_RS03470
OG0000073	CIB43_RS01580	NB627_RS00820
OG0000075	CIB43_RS01060	NB627_RS00350
