Orthogroup	MHP_KM014_genes	MHP_MHP696_genes
OG0000000	CIB43_RS03015	DR090_RS03595
OG0000000	CIB43_RS03040	DR090_RS04280
OG0000000	CIB43_RS02595, CIB43_RS02600	DR090_RS04125
OG0000001	CIB43_RS03715	DR090_RS01575
OG0000001	CIB43_RS03670	DR090_RS03950, DR090_RS03945
OG0000002	CIB43_RS03100	DR090_RS04315
OG0000002	CIB43_RS02610	DR090_RS03425
OG0000003	CIB43_RS02725	DR090_RS03665
OG0000005	CIB43_RS00810	DR090_RS03620
OG0000005	CIB43_RS00830	DR090_RS04590
OG0000006	CIB43_RS03435	DR090_RS04160
OG0000006	CIB43_RS03420	DR090_RS03705, DR090_RS04155
OG0000007	CIB43_RS03095	DR090_RS03340
OG0000007	CIB43_RS03080	DR090_RS03345
OG0000007	CIB43_RS03075	DR090_RS03360
OG0000009	CIB43_RS00790	DR090_RS01340
OG0000009	CIB43_RS01550	DR090_RS00150
OG0000010	CIB43_RS02735	DR090_RS00915
OG0000010	CIB43_RS00795	DR090_RS03520, DR090_RS03650
OG0000011	CIB43_RS02850	DR090_RS01025
OG0000014	CIB43_RS01955	DR090_RS00220
OG0000015	CIB43_RS01235, CIB43_RS00010, CIB43_RS01220	DR090_RS03270
OG0000016	CIB43_RS03755	DR090_RS01615
OG0000017	CIB43_RS00855	DR090_RS00805
OG0000017	CIB43_RS03765	DR090_RS01625
OG0000018	CIB43_RS02195, CIB43_RS01250, CIB43_RS01185	DR090_RS04560
OG0000019	CIB43_RS00115	DR090_RS04270
OG0000020	CIB43_RS00635	DR090_RS04410
OG0000021	CIB43_RS01400, CIB43_RS02635	DR090_RS00825
OG0000022	CIB43_RS02590	DR090_RS04550
OG0000023	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195	DR090_RS02440
OG0000024	CIB43_RS02140	DR090_RS00410
OG0000025	CIB43_RS02585	DR090_RS02365
OG0000026	CIB43_RS02565	DR090_RS02385
OG0000027	CIB43_RS00440	DR090_RS04520
OG0000028	CIB43_RS03320, CIB43_RS03335	DR090_RS03280
OG0000028	CIB43_RS03325	DR090_RS04565
OG0000030	CIB43_RS00435	DR090_RS04515
OG0000031	CIB43_RS01295, CIB43_RS00065	DR090_RS03235
OG0000035	CIB43_RS00280	DR090_RS03430
OG0000035	CIB43_RS00270	DR090_RS02220
OG0000036	CIB43_RS00815	DR090_RS03080
OG0000038	CIB43_RS02625	DR090_RS00450
OG0000039	CIB43_RS02500	DR090_RS03220
OG0000041	CIB43_RS03980	DR090_RS03745
OG0000042	CIB43_RS03855	DR090_RS04585
OG0000043	CIB43_RS02825	DR090_RS00990
OG0000043	CIB43_RS00070	DR090_RS00990
OG0000044	CIB43_RS02665	DR090_RS00855
OG0000045	CIB43_RS02520	DR090_RS03215
OG0000048	CIB43_RS02995	DR090_RS02935
OG0000049	CIB43_RS00150	DR090_RS02075
OG0000051	CIB43_RS03575	DR090_RS01435
OG0000052	CIB43_RS00775	DR090_RS01330
OG0000053	CIB43_RS02315	DR090_RS04575
OG0000054	CIB43_RS03395	DR090_RS02605
