#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_006360.1:94772-96568|+   -            599 501at2085            -            526  4.7e-249  822.7   9.2   1   1  7.1e-251  9.6e-249  821.7   9.2     1   526     1   594     1   594 0.93 NC_006360.1_77 # 94772 # 96568 # 1 # ID=1_77;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NC_006360.1:99856-101940|-  -            695 501at2085            -            526   5.7e-47  155.9   1.2   1   4   1.8e-36   2.4e-34  114.2   0.1     4   153     8   162     5   186 0.86 NC_006360.1_80 # 99856 # 101940 # -1 # ID=1_80;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NC_006360.1:99856-101940|-  -            695 501at2085            -            526   5.7e-47  155.9   1.2   2   4      0.53        73   -2.9   0.0   155   173   263   281   256   293 0.80 NC_006360.1_80 # 99856 # 101940 # -1 # ID=1_80;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NC_006360.1:99856-101940|-  -            695 501at2085            -            526   5.7e-47  155.9   1.2   3   4     6e-12   8.2e-10   33.2   0.1   170   339   301   485   289   498 0.69 NC_006360.1_80 # 99856 # 101940 # -1 # ID=1_80;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NC_006360.1:99856-101940|-  -            695 501at2085            -            526   5.7e-47  155.9   1.2   4   4    0.0026      0.36    4.7   0.0   350   411   607   675   595   691 0.78 NC_006360.1_80 # 99856 # 101940 # -1 # ID=1_80;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NC_006360.1:751767-753566|- -            600 501at2085            -            526   2.4e-19   64.7   2.9   1   3   1.7e-21   2.4e-19   64.7   2.9    10   196   117   308   115   321 0.77 NC_006360.1_589 # 751767 # 753566 # -1 # ID=1_589;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_006360.1:751767-753566|- -            600 501at2085            -            526   2.4e-19   64.7   2.9   2   3      0.65        88   -3.2   0.5   136   181   389   434   381   451 0.73 NC_006360.1_589 # 751767 # 753566 # -1 # ID=1_589;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_006360.1:751767-753566|- -            600 501at2085            -            526   2.4e-19   64.7   2.9   3   3      0.34        47   -2.2   0.0   382   408   480   506   460   516 0.80 NC_006360.1_589 # 751767 # 753566 # -1 # ID=1_589;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NC_006360.1:681396-682604|- -            403 501at2085            -            526   1.8e-18   61.8   3.1   1   2   3.1e-20   4.2e-18   60.6   0.3     8   140    20   155    14   168 0.88 NC_006360.1_531 # 681396 # 682604 # -1 # ID=1_531;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.400
NC_006360.1:681396-682604|- -            403 501at2085            -            526   1.8e-18   61.8   3.1   2   2     0.023       3.2    1.6   0.2   161   256   205   309   194   325 0.67 NC_006360.1_531 # 681396 # 682604 # -1 # ID=1_531;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.400
NC_006360.1:92913-94214|+   -            434 501at2085            -            526   1.1e-12   42.7   0.5   1   2   3.1e-05    0.0042   11.1   0.1    62   180    45   170    35   173 0.76 NC_006360.1_74 # 92913 # 94214 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NC_006360.1:92913-94214|+   -            434 501at2085            -            526   1.1e-12   42.7   0.5   2   2   6.5e-11   8.9e-09   29.8   0.1    78   168   238   340   214   363 0.81 NC_006360.1_74 # 92913 # 94214 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/232/Use
# Date:            Thu Nov 28 19:25:01 2024
# [ok]
