Orthogroup	MHP_1257_genes	MHP_UFV02_genes
OG0000000	ABKJ22_RS02210	FEF31_RS01935
OG0000000	ABKJ22_RS02265	FEF31_RS01875
OG0000000	ABKJ22_RS02255	FEF31_RS01865
OG0000000	ABKJ22_RS02090	FEF31_RS04515, FEF31_RS01860, FEF31_RS02055
OG0000000	ABKJ22_RS01715	FEF31_RS01380, FEF31_RS01385
OG0000001	ABKJ22_RS01295	FEF31_RS00935
OG0000001	ABKJ22_RS02690	FEF31_RS02495
OG0000001	ABKJ22_RS02685	FEF31_RS02490
OG0000002	ABKJ22_RS02205	FEF31_RS01945
OG0000002	ABKJ22_RS02250	FEF31_RS04505
OG0000002	ABKJ22_RS01720	FEF31_RS04455
OG0000003	ABKJ22_RS01780	FEF31_RS04365
OG0000003	ABKJ22_RS02215	FEF31_RS04510
OG0000003	ABKJ22_RS01825	FEF31_RS01590
OG0000004	ABKJ22_RS02940	FEF31_RS03760, FEF31_RS03775
OG0000005	ABKJ22_RS00095	FEF31_RS03370
OG0000005	ABKJ22_RS00115	FEF31_RS04665
OG0000005	ABKJ22_RS00100	FEF31_RS04660
OG0000005	ABKJ22_RS00105	FEF31_RS03380
OG0000005	ABKJ22_RS00120	FEF31_RS04670
OG0000006	ABKJ22_RS02280	FEF31_RS02060
OG0000007	ABKJ22_RS02220	FEF31_RS01925
OG0000007	ABKJ22_RS02225	FEF31_RS01915
OG0000007	ABKJ22_RS02230	FEF31_RS01910
OG0000008	ABKJ22_RS02100	FEF31_RS02050
OG0000008	ABKJ22_RS01635	FEF31_RS01300
OG0000008	ABKJ22_RS02455	FEF31_RS02250
OG0000009	ABKJ22_RS01035	FEF31_RS00325
OG0000009	ABKJ22_RS01210	FEF31_RS00845
OG0000009	ABKJ22_RS01020	FEF31_RS00335
OG0000010	ABKJ22_RS01835	FEF31_RS01600
OG0000011	ABKJ22_RS01925	FEF31_RS01695
OG0000011	ABKJ22_RS01920	FEF31_RS01690
OG0000012	ABKJ22_RS00425	FEF31_RS02235
OG0000013	ABKJ22_RS02355	FEF31_RS02135
OG0000013	ABKJ22_RS00180	FEF31_RS03455
OG0000014	ABKJ22_RS00595	FEF31_RS00255
OG0000014	ABKJ22_RS01105	FEF31_RS00745
OG0000014	ABKJ22_RS01095	FEF31_RS04375
OG0000015	ABKJ22_RS01630	FEF31_RS01295
OG0000016	ABKJ22_RS02785	FEF31_RS02580
OG0000016	ABKJ22_RS00165	FEF31_RS03440
OG0000017	ABKJ22_RS00150	FEF31_RS03425
OG0000017	ABKJ22_RS02795	FEF31_RS02590
OG0000019	ABKJ22_RS02945	FEF31_RS04805
OG0000020	ABKJ22_RS03435	FEF31_RS03220
OG0000020	ABKJ22_RS03440	FEF31_RS04270
OG0000022	ABKJ22_RS01655	FEF31_RS01320
OG0000022	ABKJ22_RS01710	FEF31_RS04450
OG0000023	ABKJ22_RS01335	FEF31_RS00975
OG0000024	ABKJ22_RS02680	FEF31_RS02485
OG0000024	ABKJ22_RS01290	FEF31_RS00930
OG0000025	ABKJ22_RS01660	FEF31_RS04445
OG0000025	ABKJ22_RS01705	FEF31_RS01370
