Orthogroup	MHP_1257_genes	MHP_7448_genes
OG0000000	ABKJ22_RS02210	MHP7448_RS02135
OG0000000	ABKJ22_RS02090	MHP7448_RS03990, MHP7448_RS02245, MHP7448_RS03825
OG0000000	ABKJ22_RS01715	MHP7448_RS01735, MHP7448_RS01740
OG0000001	ABKJ22_RS01295	MHP7448_RS01295
OG0000001	ABKJ22_RS02690	MHP7448_RS03920
OG0000001	ABKJ22_RS02685	MHP7448_RS04045
OG0000002	ABKJ22_RS02205	MHP7448_RS03995
OG0000002	ABKJ22_RS01720	MHP7448_RS01745
OG0000003	ABKJ22_RS01780	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505
OG0000003	ABKJ22_RS00770, ABKJ22_RS02215, ABKJ22_RS01825	MHP7448_RS03870
OG0000004	ABKJ22_RS02940	MHP7448_RS03230, MHP7448_RS03235, MHP7448_RS03245, MHP7448_RS03055, MHP7448_RS03035, MHP7448_RS03065
OG0000005	ABKJ22_RS00095	MHP7448_RS00100
OG0000005	ABKJ22_RS00115	MHP7448_RS00120
OG0000005	ABKJ22_RS00100	MHP7448_RS00105
OG0000005	ABKJ22_RS00105	MHP7448_RS00110
OG0000005	ABKJ22_RS00120	MHP7448_RS00125
OG0000006	ABKJ22_RS02280	MHP7448_RS02255
OG0000008	ABKJ22_RS02100	MHP7448_RS02240
OG0000008	ABKJ22_RS01635	MHP7448_RS01665
OG0000008	ABKJ22_RS02455	MHP7448_RS04030
OG0000009	ABKJ22_RS01035	MHP7448_RS00675
OG0000009	ABKJ22_RS00085	MHP7448_RS00085
OG0000009	ABKJ22_RS01020	MHP7448_RS00690
OG0000010	ABKJ22_RS01835	MHP7448_RS01885
OG0000011	ABKJ22_RS01925	MHP7448_RS01970
OG0000011	ABKJ22_RS01920	MHP7448_RS01965
OG0000012	ABKJ22_RS00425	MHP7448_RS03435, MHP7448_RS02690
OG0000012	ABKJ22_RS01200	MHP7448_RS03880
OG0000013	ABKJ22_RS02355	MHP7448_RS02430
OG0000013	ABKJ22_RS00180	MHP7448_RS03945
OG0000014	ABKJ22_RS01105	MHP7448_RS01090
OG0000014	ABKJ22_RS01095	MHP7448_RS00605
OG0000015	ABKJ22_RS01630	MHP7448_RS03965
OG0000015	ABKJ22_RS01575	MHP7448_RS01650
OG0000016	ABKJ22_RS02785	MHP7448_RS02865
OG0000016	ABKJ22_RS00165	MHP7448_RS00170
OG0000017	ABKJ22_RS00150	MHP7448_RS00155
OG0000017	ABKJ22_RS02795	MHP7448_RS02875
OG0000018	ABKJ22_RS01340	MHP7448_RS01340
