Orthogroup	MHP_1257_genes	MFC_MF33_genes
OG0000000	ABKJ22_RS02210	DR085_RS03035
OG0000000	ABKJ22_RS02265, ABKJ22_RS02260	DR085_RS02920
OG0000000	ABKJ22_RS01715	DR085_RS02470
OG0000001	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	DR085_RS03235
OG0000002	ABKJ22_RS02250	DR085_RS03895
OG0000002	ABKJ22_RS01720	DR085_RS03805
OG0000003	ABKJ22_RS02215	DR085_RS03550
OG0000004	ABKJ22_RS02940	DR085_RS01395
OG0000007	ABKJ22_RS02220	DR085_RS02890
OG0000007	ABKJ22_RS02225	DR085_RS02895
OG0000007	ABKJ22_RS02230	DR085_RS03890
OG0000008	ABKJ22_RS01635	DR085_RS03145
OG0000011	ABKJ22_RS01925	DR085_RS03875, DR085_RS02795
OG0000011	ABKJ22_RS01920	DR085_RS02805
OG0000013	ABKJ22_RS02355	DR085_RS00915, DR085_RS00910
OG0000013	ABKJ22_RS00180	DR085_RS03115
OG0000014	ABKJ22_RS00595, ABKJ22_RS01105, ABKJ22_RS01095	DR085_RS03650
OG0000016	ABKJ22_RS02785	DR085_RS00605
OG0000017	ABKJ22_RS00150	DR085_RS02380
OG0000017	ABKJ22_RS02795	DR085_RS00595
OG0000019	ABKJ22_RS02945	DR085_RS03320
OG0000020	ABKJ22_RS03435	DR085_RS03795
OG0000020	ABKJ22_RS03440	DR085_RS03790
OG0000022	ABKJ22_RS01710	DR085_RS03800
OG0000024	ABKJ22_RS02680, ABKJ22_RS01290	DR085_RS00665
OG0000025	ABKJ22_RS01705	DR085_RS02460
OG0000026	ABKJ22_RS01380, ABKJ22_RS01685	DR085_RS01755
OG0000027	ABKJ22_RS03240	DR085_RS03845
OG0000029	ABKJ22_RS00600, ABKJ22_RS01090	DR085_RS00425
OG0000030	ABKJ22_RS03215, ABKJ22_RS03235	DR085_RS03850
OG0000031	ABKJ22_RS01605	DR085_RS02695
OG0000032	ABKJ22_RS03230	DR085_RS03940
OG0000039	ABKJ22_RS01615	DR085_RS00495, DR085_RS00485
OG0000040	ABKJ22_RS03165	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	ABKJ22_RS02880	DR085_RS00480, DR085_RS00645
OG0000043	ABKJ22_RS01890	DR085_RS02670
OG0000045	ABKJ22_RS01620	DR085_RS00505
OG0000048	ABKJ22_RS02075	DR085_RS02880, DR085_RS03055
OG0000049	ABKJ22_RS02955	DR085_RS01410
OG0000050	ABKJ22_RS02395	DR085_RS02735
OG0000051	ABKJ22_RS02600	DR085_RS01290
OG0000052	ABKJ22_RS00075	DR085_RS03420
OG0000053	ABKJ22_RS01465	DR085_RS03740
OG0000054	ABKJ22_RS02420	DR085_RS00960
OG0000056	ABKJ22_RS03415	DR085_RS02435
OG0000057	ABKJ22_RS02865	DR085_RS00520
OG0000062	ABKJ22_RS03470	DR085_RS02230
OG0000063	ABKJ22_RS03465	DR085_RS02225
OG0000064	ABKJ22_RS03455	DR085_RS02215
OG0000065	ABKJ22_RS02160	DR085_RS01895
OG0000066	ABKJ22_RS01370	DR085_RS01765
OG0000068	ABKJ22_RS01055	DR085_RS00460
OG0000069	ABKJ22_RS02760	DR085_RS00630
OG0000070	ABKJ22_RS02425	DR085_RS00940
OG0000071	ABKJ22_RS03155	DR085_RS01590
OG0000072	ABKJ22_RS03160	DR085_RS03730
OG0000073	ABKJ22_RS00995	DR085_RS02070
OG0000074	ABKJ22_RS00800	DR085_RS03690
OG0000075	ABKJ22_RS00335	DR085_RS00175
OG0000076	ABKJ22_RS00350	DR085_RS00190
OG0000077	ABKJ22_RS00445	DR085_RS00275
OG0000078	ABKJ22_RS01675	DR085_RS00755
OG0000079	ABKJ22_RS02505	DR085_RS00860
OG0000080	ABKJ22_RS02550	DR085_RS03275
OG0000081	ABKJ22_RS00330	DR085_RS00170
OG0000082	ABKJ22_RS02350	DR085_RS00920
OG0000083	ABKJ22_RS01995	DR085_RS03000
OG0000084	ABKJ22_RS02025	DR085_RS02830
OG0000085	ABKJ22_RS02030	DR085_RS02835
OG0000086	ABKJ22_RS02040	DR085_RS03880
OG0000087	ABKJ22_RS02055	DR085_RS02860
OG0000088	ABKJ22_RS02060	DR085_RS02865
OG0000089	ABKJ22_RS02070	DR085_RS02875
OG0000090	ABKJ22_RS00070	DR085_RS02335
OG0000091	ABKJ22_RS00055	DR085_RS02320
OG0000092	ABKJ22_RS00040	DR085_RS02305
OG0000093	ABKJ22_RS00035	DR085_RS02300
OG0000094	ABKJ22_RS00030	DR085_RS02295
OG0000095	ABKJ22_RS00005	DR085_RS02270
