Orthogroup	MHP_1257_genes	MFC_ATCC27716_genes
OG0000000	ABKJ22_RS02210	MFC_RS01410
OG0000000	ABKJ22_RS02265, ABKJ22_RS02260, ABKJ22_RS02255	MFC_RS02935
OG0000000	ABKJ22_RS01715	MFC_RS00365
OG0000001	ABKJ22_RS01295, ABKJ22_RS01300, ABKJ22_RS02690, ABKJ22_RS02685	MFC_RS03350
OG0000002	ABKJ22_RS02205	MFC_RS00395
OG0000002	ABKJ22_RS02250	MFC_RS02940
OG0000002	ABKJ22_RS01720	MFC_RS00370
OG0000003	ABKJ22_RS02215	MFC_RS02995
OG0000004	ABKJ22_RS02940	MFC_RS00155
OG0000007	ABKJ22_RS02220	MFC_RS02975
OG0000007	ABKJ22_RS02225	MFC_RS02970
OG0000007	ABKJ22_RS02230	MFC_RS02965
OG0000008	ABKJ22_RS01635	MFC_RS03380
OG0000011	ABKJ22_RS01925	MFC_RS03510, MFC_RS03505
OG0000011	ABKJ22_RS01920	MFC_RS01350
OG0000013	ABKJ22_RS02355	MFC_RS03175, MFC_RS02880
OG0000013	ABKJ22_RS00180	MFC_RS03420
OG0000014	ABKJ22_RS00595, ABKJ22_RS01105, ABKJ22_RS01095	MFC_RS00870
OG0000016	ABKJ22_RS02785	MFC_RS01050
OG0000017	ABKJ22_RS00150	MFC_RS03155
OG0000017	ABKJ22_RS02795	MFC_RS01040
OG0000019	ABKJ22_RS02945	MFC_RS03000
OG0000020	ABKJ22_RS03435	MFC_RS00305
OG0000020	ABKJ22_RS03440	MFC_RS00300
OG0000022	ABKJ22_RS01710	MFC_RS00360
OG0000024	ABKJ22_RS02680, ABKJ22_RS01290	MFC_RS01110
OG0000025	ABKJ22_RS01705	MFC_RS00355
OG0000026	ABKJ22_RS01380, ABKJ22_RS01685	MFC_RS00580
OG0000027	ABKJ22_RS03240	MFC_RS02850
OG0000029	ABKJ22_RS00600, ABKJ22_RS01090	MFC_RS00875
OG0000030	ABKJ22_RS03215, ABKJ22_RS03235	MFC_RS02855
OG0000031	ABKJ22_RS01605	MFC_RS01295
OG0000032	ABKJ22_RS01585	MFC_RS02685
OG0000032	ABKJ22_RS03230	MFC_RS02860
OG0000037	ABKJ22_RS01590	MFC_RS03185, MFC_RS03295, MFC_RS00375
OG0000039	ABKJ22_RS01615	MFC_RS03135, MFC_RS00935
OG0000040	ABKJ22_RS03165	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	ABKJ22_RS02880	MFC_RS00930, MFC_RS01085
OG0000043	ABKJ22_RS01890	MFC_RS01320
OG0000045	ABKJ22_RS01620	MFC_RS00950
OG0000048	ABKJ22_RS02075	MFC_RS00140
OG0000049	ABKJ22_RS02955	MFC_RS03220, MFC_RS03365
OG0000050	ABKJ22_RS02395	MFC_RS01260
OG0000051	ABKJ22_RS02600	MFC_RS02240
OG0000052	ABKJ22_RS00075	MFC_RS00160
OG0000053	ABKJ22_RS01465	MFC_RS00665
OG0000054	ABKJ22_RS02420	MFC_RS01235
OG0000055	ABKJ22_RS00130	MFC_RS03415, MFC_RS03540
OG0000056	ABKJ22_RS03415	MFC_RS00325
OG0000057	ABKJ22_RS02865	MFC_RS00965
OG0000062	ABKJ22_RS03470	MFC_RS00270
OG0000063	ABKJ22_RS03465	MFC_RS00275
OG0000064	ABKJ22_RS03455	MFC_RS00285
OG0000065	ABKJ22_RS02160	MFC_RS00440
OG0000066	ABKJ22_RS01370	MFC_RS00570
OG0000068	ABKJ22_RS01055	MFC_RS00910
OG0000069	ABKJ22_RS02760	MFC_RS01075
OG0000070	ABKJ22_RS02425	MFC_RS01215
OG0000071	ABKJ22_RS03155	MFC_RS01630
OG0000072	ABKJ22_RS03160	MFC_RS01635
OG0000073	ABKJ22_RS00995	MFC_RS03395, MFC_RS03390
OG0000074	ABKJ22_RS00800	MFC_RS03400
OG0000075	ABKJ22_RS00335	MFC_RS02565
OG0000076	ABKJ22_RS00350	MFC_RS02580
OG0000077	ABKJ22_RS00445	MFC_RS02670
OG0000078	ABKJ22_RS01675	MFC_RS03005
OG0000079	ABKJ22_RS02505	MFC_RS02930, MFC_RS03120
OG0000080	ABKJ22_RS02550	MFC_RS03315
OG0000081	ABKJ22_RS00330	MFC_RS03430, MFC_RS02560
OG0000082	ABKJ22_RS02350	MFC_RS02870
OG0000083	ABKJ22_RS01995	MFC_RS00040
OG0000084	ABKJ22_RS02025	MFC_RS00070
OG0000085	ABKJ22_RS02030	MFC_RS00075
OG0000086	ABKJ22_RS02040	MFC_RS00085
OG0000087	ABKJ22_RS02055	MFC_RS03320
OG0000088	ABKJ22_RS02060	MFC_RS00105
OG0000089	ABKJ22_RS02070	MFC_RS00115
OG0000090	ABKJ22_RS00070	MFC_RS00165
OG0000091	ABKJ22_RS00055	MFC_RS00180
OG0000092	ABKJ22_RS00040	MFC_RS00195
OG0000093	ABKJ22_RS00035	MFC_RS00200
OG0000094	ABKJ22_RS00030	MFC_RS00205
OG0000095	ABKJ22_RS00005	MFC_RS00230
OG0000096	ABKJ22_RS03505	MFC_RS00235
OG0000097	ABKJ22_RS03485	MFC_RS00255
OG0000098	ABKJ22_RS03475	MFC_RS00265
OG0000099	ABKJ22_RS03425	MFC_RS00320
OG0000100	ABKJ22_RS03405	MFC_RS00335
OG0000101	ABKJ22_RS03400	MFC_RS00340
OG0000102	ABKJ22_RS01700	MFC_RS00350
OG0000103	ABKJ22_RS02195	MFC_RS00405
OG0000104	ABKJ22_RS02190	MFC_RS00410
OG0000105	ABKJ22_RS02175	MFC_RS00425
OG0000106	ABKJ22_RS02165	MFC_RS00435
OG0000107	ABKJ22_RS02155	MFC_RS00445
OG0000108	ABKJ22_RS02150	MFC_RS00450
OG0000109	ABKJ22_RS02145	MFC_RS00455
OG0000110	ABKJ22_RS02340	MFC_RS00460
OG0000111	ABKJ22_RS02335	MFC_RS00465
OG0000112	ABKJ22_RS02325	MFC_RS00475
OG0000113	ABKJ22_RS02305	MFC_RS00490
OG0000114	ABKJ22_RS02295	MFC_RS00500
OG0000115	ABKJ22_RS02285	MFC_RS00510
OG0000116	ABKJ22_RS01315	MFC_RS00520
OG0000117	ABKJ22_RS01320	MFC_RS00525
OG0000118	ABKJ22_RS01355	MFC_RS00555
OG0000119	ABKJ22_RS01360	MFC_RS00560
OG0000120	ABKJ22_RS01375	MFC_RS00575
OG0000121	ABKJ22_RS01400	MFC_RS00600
OG0000122	ABKJ22_RS01405	MFC_RS00605
OG0000123	ABKJ22_RS01425	MFC_RS00625
OG0000124	ABKJ22_RS01430	MFC_RS00630
