#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000003:21074-25480|-   -           1469 56at2085             -           1080         0 1372.3  31.1   1   1         0         0 1363.8  31.1    49  1080   317  1467   282  1467 0.89 scf00000003_13 # 21074 # 25480 # -1 # ID=4_13;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.302
scf00000000:13675-16620|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   1   7   8.5e-08   1.6e-05   18.4   0.0    54   118     4    69     1    74 0.92 scf00000000_15 # 13675 # 16620 # -1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000000:13675-16620|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   2   7   2.7e-14     5e-12   39.9   3.2   348   566   100   320    73   324 0.74 scf00000000_15 # 13675 # 16620 # -1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000000:13675-16620|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   3   7   4.3e-05    0.0081    9.4   0.0   607   678   324   395   321   403 0.90 scf00000000_15 # 13675 # 16620 # -1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000000:13675-16620|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   4   7    0.0029      0.55    3.4   0.1   674   754   437   512   426   547 0.78 scf00000000_15 # 13675 # 16620 # -1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000000:13675-16620|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   5   7     0.027       5.1    0.2   0.3   292   372   584   666   582   684 0.78 scf00000000_15 # 13675 # 16620 # -1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000000:13675-16620|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   6   7   4.8e-07   9.1e-05   15.9   7.8   906   945   684   723   667   737 0.83 scf00000000_15 # 13675 # 16620 # -1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000000:13675-16620|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   7   7   4.2e-08   7.9e-06   19.4   0.3   987  1065   734   814   724   830 0.80 scf00000000_15 # 13675 # 16620 # -1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000003:65521-68466|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   1   7   8.5e-08   1.6e-05   18.4   0.0    54   118     4    69     1    74 0.92 scf00000003_52 # 65521 # 68466 # -1 # ID=4_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000003:65521-68466|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   2   7   2.7e-14     5e-12   39.9   3.2   348   566   100   320    73   324 0.74 scf00000003_52 # 65521 # 68466 # -1 # ID=4_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
scf00000003:65521-68466|-   -            982 56at2085             -           1080   1.3e-27   91.5  36.5   3   7   4.3e-05    0.0081    9.4   0.0   607   678   324   395   321   403 0.90 scf00000003_52 # 65521 # 68466 # -1 # ID=4_52;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.287
