Orthogroup	MHP_UFV01_genes	MHP_KM014_genes
OG0000000	FEF30_RS02495	CIB43_RS03010
OG0000000	FEF30_RS02035	CIB43_RS02600
OG0000001	FEF30_RS01590	CIB43_RS02150
OG0000001	FEF30_RS03180	CIB43_RS03715
OG0000001	FEF30_RS03130, FEF30_RS03125	CIB43_RS03670
OG0000002	FEF30_RS02580	CIB43_RS03100
OG0000002	FEF30_RS04295	CIB43_RS02610
OG0000004	FEF30_RS03540	CIB43_RS00290
OG0000005	FEF30_RS00415	CIB43_RS00810
OG0000005	FEF30_RS00435	CIB43_RS00830
OG0000006	FEF30_RS02880	CIB43_RS03435
OG0000006	FEF30_RS02870, FEF30_RS02730, FEF30_RS02700	CIB43_RS03420
OG0000007	FEF30_RS02555	CIB43_RS03095
OG0000007	FEF30_RS02545	CIB43_RS03080
OG0000007	FEF30_RS02540	CIB43_RS03075
OG0000008	FEF30_RS02685	CIB43_RS03225
OG0000009	FEF30_RS00990	CIB43_RS01550
OG0000010	FEF30_RS02240	CIB43_RS02735
OG0000011	FEF30_RS02330	CIB43_RS02850
OG0000012	FEF30_RS03655	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	FEF30_RS00910	CIB43_RS01485
OG0000014	FEF30_RS01400	CIB43_RS01955
OG0000015	FEF30_RS02045	CIB43_RS00010
OG0000016	FEF30_RS03220	CIB43_RS03755
OG0000017	FEF30_RS00470	CIB43_RS00855
OG0000017	FEF30_RS03230	CIB43_RS03765
OG0000020	FEF30_RS03755	CIB43_RS00635
OG0000022	FEF30_RS04290	CIB43_RS02590
OG0000023	FEF30_RS02055	CIB43_RS00020
OG0000024	FEF30_RS01585	CIB43_RS02140
OG0000025	FEF30_RS02025	CIB43_RS02585
OG0000026	FEF30_RS02005	CIB43_RS02565
OG0000027	FEF30_RS04125	CIB43_RS00440
OG0000028	FEF30_RS02785, FEF30_RS02790	CIB43_RS03340
OG0000030	FEF30_RS04120	CIB43_RS00435
OG0000031	FEF30_RS02100	CIB43_RS00065
OG0000035	FEF30_RS03545	CIB43_RS00280
OG0000036	FEF30_RS00430	CIB43_RS00815
OG0000038	FEF30_RS02160	CIB43_RS02625
OG0000039	FEF30_RS01930	CIB43_RS02500
OG0000041	FEF30_RS00985	CIB43_RS03980
OG0000042	FEF30_RS03315	CIB43_RS03855
OG0000043	FEF30_RS02105	CIB43_RS00070
OG0000044	FEF30_RS02200	CIB43_RS02665
OG0000045	FEF30_RS01935, FEF30_RS01940	CIB43_RS02520
OG0000047	FEF30_RS02085	CIB43_RS00045
OG0000048	FEF30_RS02480	CIB43_RS02995
OG0000049	FEF30_RS03400	CIB43_RS00150
OG0000051	FEF30_RS03030	CIB43_RS03575
OG0000052	FEF30_RS00405	CIB43_RS00775
OG0000053	FEF30_RS04260	CIB43_RS02315
OG0000054	FEF30_RS02845	CIB43_RS03395
OG0000055	FEF30_RS00450	CIB43_RS00835
OG0000056	FEF30_RS00250	CIB43_RS03960
OG0000057	FEF30_RS03300	CIB43_RS03840
OG0000058	FEF30_RS02120	CIB43_RS01140, CIB43_RS01145, CIB43_RS00085
OG0000059	FEF30_RS02110	CIB43_RS00080, CIB43_RS01165
OG0000060	FEF30_RS01505	CIB43_RS00780
OG0000061	FEF30_RS01900	CIB43_RS02745
OG0000062	FEF30_RS00295	CIB43_RS00675
OG0000063	FEF30_RS04165	CIB43_RS00660
OG0000064	FEF30_RS00280	CIB43_RS00650
OG0000065	FEF30_RS02625	CIB43_RS03145
OG0000068	FEF30_RS00960	CIB43_RS01520
OG0000069	FEF30_RS03195	CIB43_RS03740
OG0000070	FEF30_RS02850	CIB43_RS03400
OG0000071	FEF30_RS03610	CIB43_RS00360
OG0000072	FEF30_RS04405	CIB43_RS00375
OG0000073	FEF30_RS01015	CIB43_RS01580
OG0000075	FEF30_RS00655	CIB43_RS01060
