Orthogroup	MHP_UFV01_genes	MHP_1257_genes
OG0000000	FEF30_RS02570	ABKJ22_RS02210
OG0000000	FEF30_RS02505	ABKJ22_RS02265, ABKJ22_RS02260
OG0000000	FEF30_RS02500	ABKJ22_RS02255
OG0000000	FEF30_RS04350, FEF30_RS02495, FEF30_RS02690, FEF30_RS02695	ABKJ22_RS02090
OG0000000	FEF30_RS02035	ABKJ22_RS01715
OG0000001	FEF30_RS01590	ABKJ22_RS01295
OG0000001	FEF30_RS03130	ABKJ22_RS02690
OG0000001	FEF30_RS03125	ABKJ22_RS02685
OG0000002	FEF30_RS02580	ABKJ22_RS02205
OG0000002	FEF30_RS04340	ABKJ22_RS02250
OG0000002	FEF30_RS04295	ABKJ22_RS01720
OG0000003	FEF30_RS04200	ABKJ22_RS01780
OG0000003	FEF30_RS04345	ABKJ22_RS02215
OG0000004	FEF30_RS03540, FEF30_RS03550	ABKJ22_RS02940
OG0000005	FEF30_RS00415	ABKJ22_RS00095
OG0000005	FEF30_RS00435	ABKJ22_RS00115
OG0000005	FEF30_RS04180	ABKJ22_RS00100
OG0000005	FEF30_RS00425	ABKJ22_RS00105
OG0000005	FEF30_RS04185	ABKJ22_RS00120
OG0000006	FEF30_RS02700	ABKJ22_RS02280
OG0000007	FEF30_RS02555	ABKJ22_RS02220
OG0000007	FEF30_RS02545	ABKJ22_RS02225
OG0000007	FEF30_RS02540	ABKJ22_RS02230
OG0000008	FEF30_RS02685	ABKJ22_RS02100
OG0000008	FEF30_RS01955	ABKJ22_RS01635
OG0000008	FEF30_RS02885	ABKJ22_RS02455
OG0000009	FEF30_RS00980	ABKJ22_RS01035
OG0000009	FEF30_RS01500	ABKJ22_RS01210
OG0000009	FEF30_RS00990	ABKJ22_RS01020
OG0000010	FEF30_RS02240	ABKJ22_RS01835
OG0000011	FEF30_RS02330	ABKJ22_RS01925
OG0000011	FEF30_RS02325	ABKJ22_RS01920
OG0000012	FEF30_RS03655	ABKJ22_RS00425
OG0000013	FEF30_RS02775	ABKJ22_RS02355
OG0000013	FEF30_RS00500	ABKJ22_RS00180
OG0000014	FEF30_RS00910	ABKJ22_RS00595
OG0000014	FEF30_RS01400	ABKJ22_RS01105
OG0000014	FEF30_RS04210	ABKJ22_RS01095
OG0000015	FEF30_RS01950	ABKJ22_RS01630
OG0000016	FEF30_RS03220	ABKJ22_RS02785
OG0000016	FEF30_RS00485	ABKJ22_RS00165
OG0000017	FEF30_RS00470	ABKJ22_RS00150
OG0000017	FEF30_RS03230	ABKJ22_RS02795
OG0000019	FEF30_RS03670	ABKJ22_RS02945
OG0000020	FEF30_RS00265	ABKJ22_RS03435
OG0000020	FEF30_RS03755	ABKJ22_RS03440
OG0000022	FEF30_RS01975	ABKJ22_RS01655
OG0000022	FEF30_RS04290	ABKJ22_RS01710
OG0000023	FEF30_RS01630	ABKJ22_RS01335
OG0000024	FEF30_RS03120	ABKJ22_RS02680
OG0000024	FEF30_RS01585	ABKJ22_RS01290
OG0000025	FEF30_RS04285	ABKJ22_RS01660
OG0000025	FEF30_RS02025	ABKJ22_RS01705
OG0000026	FEF30_RS01680	ABKJ22_RS01380
OG0000026	FEF30_RS02005	ABKJ22_RS01685
OG0000027	FEF30_RS00060	ABKJ22_RS03225
OG0000027	FEF30_RS04125	ABKJ22_RS03240
OG0000029	FEF30_RS01390	ABKJ22_RS00600
OG0000029	FEF30_RS00925	ABKJ22_RS01090
OG0000030	FEF30_RS04110	ABKJ22_RS03215
