Orthogroup	MHP_UFV01_genes	MHP_MHP653_genes
OG0000000	FEF30_RS02570	DR096_RS03590
OG0000000	FEF30_RS02505	DR096_RS04410
OG0000000	FEF30_RS02690	DR096_RS03550
OG0000000	FEF30_RS02695	DR096_RS04445
OG0000000	FEF30_RS02035	DR096_RS02065
OG0000001	FEF30_RS01595	DR096_RS01680
OG0000001	FEF30_RS01590	DR096_RS01685
OG0000001	FEF30_RS03180	DR096_RS01190
OG0000002	FEF30_RS02580	DR096_RS04275
OG0000002	FEF30_RS02575	DR096_RS02905
OG0000002	FEF30_RS04340	DR096_RS04810
OG0000002	FEF30_RS04295	DR096_RS04795
OG0000003	FEF30_RS04200	DR096_RS03690, DR096_RS03695
OG0000003	FEF30_RS04345	DR096_RS04820
OG0000005	FEF30_RS00415	DR096_RS02575
OG0000005	FEF30_RS00435	DR096_RS04720
OG0000005	FEF30_RS04180	DR096_RS02565
OG0000005	FEF30_RS00425	DR096_RS02560
OG0000005	FEF30_RS04185	DR096_RS04715
OG0000007	FEF30_RS02555	DR096_RS03505
OG0000007	FEF30_RS02545	DR096_RS03510
OG0000007	FEF30_RS02540	DR096_RS00630
OG0000008	FEF30_RS02885	DR096_RS04360
OG0000009	FEF30_RS01500	DR096_RS02300
OG0000010	FEF30_RS02240	DR096_RS00395
OG0000011	FEF30_RS02330	DR096_RS00490
OG0000011	FEF30_RS02325	DR096_RS00485
OG0000012	FEF30_RS03655	DR096_RS03685
OG0000013	FEF30_RS02775	DR096_RS04100
OG0000013	FEF30_RS00500	DR096_RS03875
OG0000014	FEF30_RS00910	DR096_RS03315
OG0000014	FEF30_RS04210	DR096_RS04790
OG0000015	FEF30_RS01950, FEF30_RS02045	DR096_RS01405
OG0000016	FEF30_RS03220	DR096_RS01150
OG0000016	FEF30_RS00485	DR096_RS00345
OG0000017	FEF30_RS00470	DR096_RS00360
OG0000017	FEF30_RS03230	DR096_RS01140
OG0000019	FEF30_RS03670	DR096_RS03940
OG0000020	FEF30_RS00265	DR096_RS03230
OG0000020	FEF30_RS03755	DR096_RS04775
OG0000022	FEF30_RS01975	DR096_RS01995
OG0000022	FEF30_RS04290	DR096_RS04665
OG0000024	FEF30_RS03120	DR096_RS01490
OG0000024	FEF30_RS01585	DR096_RS01690
OG0000025	FEF30_RS04285	DR096_RS04660
OG0000025	FEF30_RS02025	DR096_RS02045
OG0000026	FEF30_RS01680	DR096_RS01600
OG0000026	FEF30_RS02005	DR096_RS02025
OG0000027	FEF30_RS00060	DR096_RS04770
OG0000027	FEF30_RS04125	DR096_RS04540
OG0000029	FEF30_RS00925	DR096_RS03330
OG0000030	FEF30_RS04110	DR096_RS04765
OG0000030	FEF30_RS04120	DR096_RS04535
OG0000032	FEF30_RS00065	DR096_RS00860
OG0000034	FEF30_RS02525	DR096_RS03570
OG0000036	FEF30_RS00430	DR096_RS02555
OG0000036	FEF30_RS00445	DR096_RS02535
OG0000038	FEF30_RS00810	DR096_RS00005
OG0000039	FEF30_RS01930	DR096_RS01385
OG0000041	FEF30_RS00985	DR096_RS03595
OG0000042	FEF30_RS03315	DR096_RS00855
OG0000043	FEF30_RS02295, FEF30_RS02105	DR096_RS00455
OG0000044	FEF30_RS04460	DR096_RS04875
OG0000045	FEF30_RS01935, FEF30_RS01940	DR096_RS01390
OG0000046	FEF30_RS04495	DR096_RS04310
OG0000048	FEF30_RS02480	DR096_RS03530
OG0000049	FEF30_RS03400	DR096_RS00770
OG0000050	FEF30_RS02820	DR096_RS03020
OG0000051	FEF30_RS03030	DR096_RS02440
OG0000052	FEF30_RS00405	DR096_RS02830
OG0000053	FEF30_RS04260	DR096_RS04590
OG0000054	FEF30_RS02845	DR096_RS02995
OG0000055	FEF30_RS00450	DR096_RS02530
OG0000056	FEF30_RS00250	DR096_RS01045
OG0000057	FEF30_RS03300	DR096_RS01065
OG0000060	FEF30_RS01505	DR096_RS02295
OG0000061	FEF30_RS01900	DR096_RS00405
OG0000062	FEF30_RS00295	DR096_RS01775
OG0000063	FEF30_RS04165	DR096_RS04645
OG0000064	FEF30_RS00280	DR096_RS01760
OG0000065	FEF30_RS02625	DR096_RS02855
OG0000066	FEF30_RS01670	DR096_RS01610
OG0000067	FEF30_RS00835	DR096_RS03370
OG0000068	FEF30_RS00960	DR096_RS03280
OG0000069	FEF30_RS03195	DR096_RS01175
OG0000070	FEF30_RS02850	DR096_RS02990
OG0000071	FEF30_RS03610	DR096_RS03055
OG0000072	FEF30_RS04405	DR096_RS04730
OG0000073	FEF30_RS01015	DR096_RS02090
OG0000074	FEF30_RS04230	DR096_RS04705
OG0000075	FEF30_RS00655	DR096_RS00165
OG0000077	FEF30_RS00755	DR096_RS00060
OG0000078	FEF30_RS01995	DR096_RS04150
OG0000079	FEF30_RS02935	DR096_RS02960
OG0000080	FEF30_RS02980	DR096_RS04245
OG0000081	FEF30_RS00650	DR096_RS00170
OG0000082	FEF30_RS02770	DR096_RS01735
OG0000083	FEF30_RS02400	DR096_RS00560
