#                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_MWWN01000001.1:314999-316795|+ -            599 501at2085            -            526  4.7e-249  822.7   9.2   1   1  7.1e-251  9.7e-249  821.7   9.2     1   526     1   594     1   594 0.93 NZ_MWWN01000001.1_230 # 314999 # 316795 # 1 # ID=1_230;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NZ_MWWN01000001.1:320083-322167|- -            695 501at2085            -            526   5.7e-47  155.9   1.2   1   4   1.8e-36   2.4e-34  114.2   0.1     4   153     8   162     5   186 0.86 NZ_MWWN01000001.1_233 # 320083 # 322167 # -1 # ID=1_233;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.371
NZ_MWWN01000001.1:320083-322167|- -            695 501at2085            -            526   5.7e-47  155.9   1.2   2   4      0.53        73   -2.9   0.0   155   173   263   281   256   293 0.80 NZ_MWWN01000001.1_233 # 320083 # 322167 # -1 # ID=1_233;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.371
NZ_MWWN01000001.1:320083-322167|- -            695 501at2085            -            526   5.7e-47  155.9   1.2   3   4     6e-12   8.2e-10   33.2   0.1   170   339   301   485   289   498 0.69 NZ_MWWN01000001.1_233 # 320083 # 322167 # -1 # ID=1_233;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.371
NZ_MWWN01000001.1:320083-322167|- -            695 501at2085            -            526   5.7e-47  155.9   1.2   4   4    0.0026      0.36    4.7   0.0   350   411   607   675   595   691 0.78 NZ_MWWN01000001.1_233 # 320083 # 322167 # -1 # ID=1_233;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.371
NZ_MWWN01000001.1:77253-79052|-   -            600 501at2085            -            526   2.4e-19   64.7   2.9   1   3   1.7e-21   2.4e-19   64.7   2.9    10   196   117   308   115   321 0.77 NZ_MWWN01000001.1_60 # 77253 # 79052 # -1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NZ_MWWN01000001.1:77253-79052|-   -            600 501at2085            -            526   2.4e-19   64.7   2.9   2   3      0.65        89   -3.2   0.5   136   181   389   434   381   451 0.73 NZ_MWWN01000001.1_60 # 77253 # 79052 # -1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NZ_MWWN01000001.1:77253-79052|-   -            600 501at2085            -            526   2.4e-19   64.7   2.9   3   3      0.34        47   -2.2   0.0   382   408   480   506   460   516 0.80 NZ_MWWN01000001.1_60 # 77253 # 79052 # -1 # ID=1_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NZ_MWWN01000001.1:12444-13652|-   -            403 501at2085            -            526   1.8e-18   61.8   3.1   1   2   3.1e-20   4.2e-18   60.6   0.3     8   140    20   155    14   168 0.88 NZ_MWWN01000001.1_7 # 12444 # 13652 # -1 # ID=1_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.400
NZ_MWWN01000001.1:12444-13652|-   -            403 501at2085            -            526   1.8e-18   61.8   3.1   2   2     0.023       3.2    1.6   0.2   161   256   205   309   194   325 0.67 NZ_MWWN01000001.1_7 # 12444 # 13652 # -1 # ID=1_7;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.400
NZ_MWWN01000001.1:313140-314441|+ -            434 501at2085            -            526   1.1e-12   42.7   0.5   1   2   3.1e-05    0.0042   11.1   0.1    62   180    45   170    35   173 0.76 NZ_MWWN01000001.1_227 # 313140 # 314441 # 1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_MWWN01000001.1:313140-314441|+ -            434 501at2085            -            526   1.1e-12   42.7   0.5   2   2   6.5e-11   8.9e-09   29.8   0.1    78   168   238   340   214   363 0.81 NZ_MWWN01000001.1_227 # 313140 # 314441 # 1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/11/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/11/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/11/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/11/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/11/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/11/Use
# Date:            Thu Nov 28 19:31:21 2024
# [ok]
