Orthogroup	MFC_MF11_proteins	MHP_133A_proteins
OG0000000	WP_160603262.1	WP_404924494.1
OG0000000	WP_308705401.1	WP_404924491.1
OG0000000	WP_308705396.1	WP_404924492.1
OG0000000	WP_157696714.1	WP_404924465.1
OG0000000	WP_308705385.1	WP_404924488.1
OG0000001	WP_220190178.1, WP_160580916.1	WP_232039579.1, WP_187145661.1, WP_404924278.1, WP_404924273.1, WP_404924272.1
OG0000002	WP_160603252.1	WP_404924213.1
OG0000002	WP_160603138.1	WP_404924467.1
OG0000004	WP_220190824.1	WP_404924499.1
OG0000007	WP_011284157.1	WP_404923946.1
OG0000007	WP_014335405.1	WP_404924219.1
OG0000008	WP_220190829.1	WP_404924456.1
OG0000011	WP_369122332.1	WP_404924482.1
OG0000013	WP_160603103.1, WP_258554024.1	WP_225972984.1
OG0000013	WP_258554019.1	WP_404924502.1
OG0000014	WP_220190805.1	WP_404924397.1, WP_404924423.1, WP_404924399.1
OG0000016	WP_160603026.1	WP_404924358.1
OG0000017	WP_160603021.1	WP_020835500.1
OG0000017	WP_160603055.1	WP_020835837.1
OG0000018	WP_160581182.1	WP_404924379.1
OG0000019	WP_160603287.1	WP_404924296.1
OG0000020	WP_220190820.1	WP_404924344.1
OG0000022	WP_160583783.1	WP_146379581.1
OG0000023	WP_160583963.1	WP_404924437.1, WP_404924382.1
OG0000024	WP_258554023.1	WP_179696078.1, WP_404924435.1
OG0000025	WP_160603136.1	WP_404924464.1
OG0000026	WP_160581190.1	WP_020835640.1, WP_160606777.1
OG0000027	WP_308507118.1	WP_020835902.1
OG0000027	WP_160603148.1	WP_404924323.1
OG0000029	WP_160603042.1	WP_404924422.1, WP_404924400.1
OG0000030	WP_160583816.1	WP_308704613.1, WP_020835904.1
OG0000031	WP_160584009.1	WP_088172525.1, WP_404924450.1
OG0000032	WP_220190186.1	WP_135618726.1, WP_404924322.1
OG0000033	WP_160603107.1	WP_404924244.1
OG0000039	WP_160603046.1	WP_404924451.1
OG0000040	WP_160603222.1, WP_308705384.1	WP_404924313.1
OG0000042	WP_160603044.1, WP_258554021.1, WP_258554022.1	WP_404924286.1
OG0000043	WP_160581416.1	WP_014579804.1
OG0000045	WP_160603048.1	WP_404924452.1
OG0000047	WP_160593376.1	WP_404924383.1
OG0000048	WP_308705394.1, WP_258554049.1	WP_011284150.1
OG0000049	WP_308705390.1	WP_020835860.1
OG0000050	WP_160603244.1	WP_404924247.1
OG0000051	WP_160603170.1	WP_404924263.1
OG0000052	WP_002557464.1	WP_404924352.1
OG0000053	WP_160603200.1	WP_404924445.1
OG0000054	WP_160603111.1	WP_404924248.1
OG0000056	WP_160603134.1	WP_404924340.1
OG0000057	WP_231237864.1	WP_404924285.1
OG0000062	WP_002557486.1	WP_011206522.1
OG0000063	WP_160583767.1	WP_041361715.1
OG0000064	WP_160603014.1	WP_348571896.1
OG0000065	WP_160583941.1	WP_225972975.1
OG0000066	WP_002557543.1	WP_011205965.1
OG0000068	WP_002557593.1	WP_011206103.1
OG0000069	WP_002557626.1	WP_011206373.1
OG0000070	WP_002557663.1	WP_011206292.1
OG0000071	WP_160581282.1	WP_404924311.1
OG0000072	WP_160603220.1	WP_404924312.1
OG0000073	WP_160603224.1	WP_404912207.1
OG0000074	WP_308705386.1	WP_404924417.1
OG0000076	WP_002557921.1	WP_404924369.1
OG0000077	WP_160603036.1	WP_135618533.1
OG0000079	WP_160603093.1	WP_020835797.1
OG0000080	WP_196792423.1	WP_192894279.1
OG0000081	WP_308705383.1	WP_404924367.1
OG0000083	WP_160603268.1	WP_014579823.1
OG0000084	WP_002557451.1	WP_011284142.1
OG0000085	WP_002557452.1	WP_404924208.1
OG0000086	WP_160584021.1	WP_404924209.1
OG0000087	WP_236681783.1	WP_020835732.1
OG0000088	WP_002557458.1	WP_020835733.1
OG0000089	WP_002557461.1	WP_011206231.1
OG0000090	WP_160581085.1	WP_404924351.1
OG0000091	WP_160603017.1	WP_020835487.1
OG0000092	WP_002557471.1	WP_011205847.1
OG0000093	WP_002557472.1	WP_160584856.1
OG0000094	WP_160603118.1	WP_160606485.1
OG0000095	WP_002557479.1	WP_044272251.1
OG0000096	WP_002557480.1	WP_011206529.1
OG0000097	WP_160583764.1	WP_404924347.1
OG0000098	WP_160603015.1	WP_404924345.1
OG0000099	WP_160603132.1	WP_404924341.1
OG0000100	WP_002557496.1	WP_404924338.1
OG0000101	WP_002557497.1	WP_011206510.1
OG0000102	WP_002557499.1	WP_404924487.1
OG0000103	WP_160603188.1	WP_404924223.1
OG0000104	WP_002557510.1	WP_011206239.1
OG0000105	WP_002557514.1	WP_146379630.1
OG0000106	WP_160603190.1	WP_146379631.1
OG0000107	WP_002557518.1	WP_011284169.1
OG0000108	WP_002557519.1	WP_011206247.1
OG0000109	WP_002557520.1	WP_404924224.1
OG0000110	WP_160581160.1	WP_404924239.1
OG0000111	WP_002557523.1	WP_404924238.1
OG0000112	WP_160583949.1	WP_404924236.1
OG0000113	WP_160593462.1	WP_404924231.1
OG0000114	WP_002557530.1	WP_404923958.1
OG0000115	WP_160583957.1	WP_011290245.1
OG0000116	WP_160583961.1	WP_404924436.1
OG0000117	WP_160581178.1	WP_160590503.1
OG0000118	WP_002557540.1	WP_011290108.1
OG0000119	WP_160581187.1	WP_135618686.1
OG0000120	WP_160581189.1	WP_011284027.1
OG0000121	WP_160583971.1	WP_011284032.1
