Orthogroup	MFC_MF22_genes	MFC_ATCC27716_genes
OG0000000	DR094_RS03000	MFC_RS01410
OG0000000	DR094_RS02820	MFC_RS02935
OG0000000	DR094_RS02970	MFC_RS00010
OG0000000	DR094_RS01215	MFC_RS00365
OG0000001	DR094_RS00325, DR094_RS00330	MFC_RS03350
OG0000002	DR094_RS02955	MFC_RS03355
OG0000002	DR094_RS02550	MFC_RS00395
OG0000002	DR094_RS03815	MFC_RS02940
OG0000002	DR094_RS03610	MFC_RS00370
OG0000003	DR094_RS03820	MFC_RS02995
OG0000004	DR094_RS01820	MFC_RS00155
OG0000007	DR094_RS02850	MFC_RS02975
OG0000007	DR094_RS02845	MFC_RS02970
OG0000007	DR094_RS02840	MFC_RS02965
OG0000011	DR094_RS03520	MFC_RS03510, MFC_RS03505
OG0000011	DR094_RS02895	MFC_RS01350
OG0000013	DR094_RS00075	MFC_RS03175
OG0000013	DR094_RS00080	MFC_RS02880
OG0000013	DR094_RS03050	MFC_RS03420
OG0000014	DR094_RS03555	MFC_RS00870
OG0000016	DR094_RS00380	MFC_RS01050
OG0000016	DR094_RS00960	MFC_RS02390
OG0000017	DR094_RS00975	MFC_RS03155
OG0000017	DR094_RS00390	MFC_RS01040
OG0000018	DR094_RS03735	MFC_RS00540
OG0000019	DR094_RS03350	MFC_RS03000
OG0000020	DR094_RS03600	MFC_RS00305
OG0000020	DR094_RS03595	MFC_RS00300
OG0000022	DR094_RS03605	MFC_RS00360
OG0000023	DR094_RS02170	MFC_RS00535, MFC_RS01695
OG0000024	DR094_RS00320	MFC_RS01110
OG0000025	DR094_RS01205	MFC_RS00355
OG0000026	DR094_RS02215	MFC_RS00580
OG0000027	DR094_RS03650	MFC_RS02850
OG0000028	DR094_RS00060	MFC_RS01205, MFC_RS01200
OG0000029	DR094_RS00545	MFC_RS00875
OG0000030	DR094_RS03655	MFC_RS02855
OG0000031	DR094_RS02590	MFC_RS01295
OG0000032	DR094_RS01390	MFC_RS02685, MFC_RS02860
OG0000033	DR094_RS00055	MFC_RS01210
OG0000039	DR094_RS00485	MFC_RS03135, MFC_RS00935
OG0000040	DR094_RS02025	MFC_RS01640
OG0000040	DR094_RS00270	MFC_RS01160, MFC_RS01165
OG0000042	DR094_RS00490	MFC_RS00930
OG0000042	DR094_RS00345	MFC_RS01085
OG0000043	DR094_RS02615	MFC_RS01320
OG0000045	DR094_RS03140, DR094_RS03135	MFC_RS00950
OG0000048	DR094_RS02695	MFC_RS00140
OG0000049	DR094_RS03355	MFC_RS03220, MFC_RS03365
OG0000050	DR094_RS03765	MFC_RS01260
OG0000051	DR094_RS01715	MFC_RS02240
OG0000052	DR094_RS01015	MFC_RS00160
OG0000053	DR094_RS03805	MFC_RS00665
OG0000054	DR094_RS00030	MFC_RS01235
OG0000055	DR094_RS03580	MFC_RS03415
OG0000055	DR094_RS03850	MFC_RS03540
OG0000056	DR094_RS01180	MFC_RS00325
OG0000057	DR094_RS00465	MFC_RS00965
OG0000062	DR094_RS01125	MFC_RS00270
OG0000063	DR094_RS03590	MFC_RS00275
OG0000064	DR094_RS01140	MFC_RS00285
OG0000065	DR094_RS02075	MFC_RS00440
OG0000066	DR094_RS02205	MFC_RS00570
OG0000067	DR094_RS00620	MFC_RS00800
OG0000068	DR094_RS00510	MFC_RS00910
OG0000069	DR094_RS00355	MFC_RS01075
OG0000070	DR094_RS00050	MFC_RS01215
OG0000071	DR094_RS02015	MFC_RS01630
OG0000072	DR094_RS03725	MFC_RS01635
OG0000073	DR094_RS02425	MFC_RS03395, MFC_RS03390
OG0000074	DR094_RS03685	MFC_RS03400
OG0000075	DR094_RS00790	MFC_RS02565
OG0000076	DR094_RS00775	MFC_RS02580
OG0000077	DR094_RS00690	MFC_RS02670
OG0000078	DR094_RS00235	MFC_RS03005
OG0000079	DR094_RS00130	MFC_RS02930, MFC_RS03120
OG0000080	DR094_RS03080	MFC_RS03315
OG0000081	DR094_RS00795	MFC_RS02560
OG0000082	DR094_RS00070	MFC_RS02870
OG0000083	DR094_RS02715	MFC_RS00040
OG0000084	DR094_RS02645	MFC_RS00070
OG0000085	DR094_RS02650	MFC_RS00075
OG0000086	DR094_RS03780	MFC_RS00085
OG0000087	DR094_RS02675	MFC_RS03320
OG0000088	DR094_RS02680	MFC_RS00105
OG0000089	DR094_RS02690	MFC_RS00115
OG0000090	DR094_RS01020	MFC_RS00165
OG0000091	DR094_RS01035	MFC_RS00180
OG0000092	DR094_RS01050	MFC_RS00195
OG0000093	DR094_RS01055	MFC_RS00200
OG0000094	DR094_RS01060	MFC_RS00205
OG0000095	DR094_RS01085	MFC_RS00230
OG0000096	DR094_RS01090	MFC_RS00235
OG0000097	DR094_RS01110	MFC_RS00255
OG0000098	DR094_RS01120	MFC_RS00265
OG0000099	DR094_RS01175	MFC_RS00320
OG0000100	DR094_RS01185	MFC_RS00335
OG0000101	DR094_RS01190	MFC_RS00340
OG0000102	DR094_RS01200	MFC_RS00350
OG0000103	DR094_RS02040	MFC_RS00405
OG0000104	DR094_RS02045	MFC_RS00410
OG0000105	DR094_RS02060	MFC_RS00425
OG0000106	DR094_RS02070	MFC_RS00435
OG0000107	DR094_RS02080	MFC_RS00445
OG0000108	DR094_RS02085	MFC_RS00450
OG0000109	DR094_RS02090	MFC_RS00455
OG0000110	DR094_RS02095	MFC_RS00460
OG0000111	DR094_RS02100	MFC_RS00465
OG0000112	DR094_RS02110	MFC_RS00475
OG0000113	DR094_RS03730	MFC_RS00490
OG0000114	DR094_RS02135	MFC_RS00500
OG0000115	DR094_RS02145	MFC_RS00510
OG0000116	DR094_RS02155	MFC_RS00520
OG0000117	DR094_RS02160	MFC_RS00525
OG0000118	DR094_RS02190	MFC_RS00555
OG0000119	DR094_RS02195	MFC_RS00560
OG0000120	DR094_RS02210	MFC_RS00575
OG0000121	DR094_RS02235	MFC_RS00600
OG0000122	DR094_RS02240	MFC_RS00605
OG0000123	DR094_RS02260	MFC_RS00625
OG0000124	DR094_RS02265	MFC_RS00630
OG0000125	DR094_RS02270	MFC_RS00635
OG0000126	DR094_RS02280	MFC_RS00645
OG0000127	DR094_RS02290	MFC_RS00655
OG0000128	DR094_RS02750	MFC_RS00670
OG0000129	DR094_RS02755	MFC_RS00675
OG0000130	DR094_RS02765	MFC_RS00685
OG0000131	DR094_RS02795	MFC_RS00715
OG0000132	DR094_RS03810	MFC_RS00735
OG0000133	DR094_RS00615	MFC_RS00805
OG0000134	DR094_RS03565	MFC_RS00810
OG0000135	DR094_RS00595	MFC_RS00825
OG0000136	DR094_RS00590	MFC_RS00830
OG0000137	DR094_RS00560	MFC_RS00860
