Orthogroup	MFC_MF22_genes	MHP_111A_genes
OG0000000	DR094_RS02970	NB623_RS01025
OG0000000	DR094_RS01215	NB623_RS01850
OG0000001	DR094_RS00325, DR094_RS00330	NB623_RS01400, NB623_RS02960, NB623_RS02915, NB623_RS02910
OG0000002	DR094_RS02550	NB623_RS01905
OG0000002	DR094_RS03815	NB623_RS01015
OG0000003	DR094_RS03820	NB623_RS01035
OG0000007	DR094_RS02850	NB623_RS01045
OG0000007	DR094_RS02845	NB623_RS01050
OG0000007	DR094_RS02840	NB623_RS01060
OG0000011	DR094_RS03520	NB623_RS02145
OG0000011	DR094_RS02895	NB623_RS02150
OG0000013	DR094_RS00075, DR094_RS00080	NB623_RS02540
OG0000014	DR094_RS03555	NB623_RS01220, NB623_RS00600
OG0000017	DR094_RS00975	NB623_RS00145
OG0000017	DR094_RS00390	NB623_RS03015
OG0000018	DR094_RS03735	NB623_RS01950
OG0000020	DR094_RS03600	NB623_RS03740
OG0000020	DR094_RS03595	NB623_RS03745
OG0000022	DR094_RS03605	NB623_RS01840
OG0000023	DR094_RS02170	NB623_RS01435, NB623_RS01940
OG0000024	DR094_RS00320	NB623_RS02905, NB623_RS01395
OG0000025	DR094_RS01205	NB623_RS01835
OG0000026	DR094_RS02215	NB623_RS01480, NB623_RS01815
OG0000027	DR094_RS01395	NB623_RS03520
OG0000027	DR094_RS03650	NB623_RS03535
OG0000029	DR094_RS00545	NB623_RS01215, NB623_RS00605
OG0000030	DR094_RS03655	NB623_RS03510, NB623_RS03530
OG0000031	DR094_RS02590	NB623_RS01985
OG0000032	DR094_RS01390	NB623_RS01690, NB623_RS03525
OG0000033	DR094_RS00055	NB623_RS02560
OG0000039	DR094_RS00485	NB623_RS01730
OG0000040	DR094_RS02025, DR094_RS00270	NB623_RS03440, NB623_RS03435
OG0000042	DR094_RS00490, DR094_RS00345	NB623_RS03100
OG0000043	DR094_RS02615	NB623_RS02180
OG0000045	DR094_RS03140, DR094_RS03135	NB623_RS01740
OG0000048	DR094_RS02695, DR094_RS02985	NB623_RS01920
OG0000049	DR094_RS03355	NB623_RS03205
OG0000050	DR094_RS03765	NB623_RS02600
OG0000051	DR094_RS01715	NB623_RS02820
OG0000052	DR094_RS01015	NB623_RS00080
OG0000053	DR094_RS03805	NB623_RS01570
OG0000054	DR094_RS00030	NB623_RS02625
OG0000055	DR094_RS03580, DR094_RS03850	NB623_RS00125
OG0000056	DR094_RS01180	NB623_RS03725
OG0000057	DR094_RS00465	NB623_RS03085
OG0000062	DR094_RS01125	NB623_RS03775
OG0000063	DR094_RS03590	NB623_RS03770
OG0000064	DR094_RS01140	NB623_RS03760
OG0000065	DR094_RS02075	NB623_RS02390
OG0000066	DR094_RS02205	NB623_RS01470
OG0000068	DR094_RS00510	NB623_RS00640
OG0000069	DR094_RS00355	NB623_RS02980
OG0000070	DR094_RS00050	NB623_RS02630
OG0000071	DR094_RS02015	NB623_RS03425
OG0000072	DR094_RS03725	NB623_RS03430
OG0000073	DR094_RS02425	NB623_RS00710
OG0000075	DR094_RS00790	NB623_RS00330
OG0000077	DR094_RS00690	NB623_RS00430
OG0000079	DR094_RS00130	NB623_RS02720
OG0000080	DR094_RS03080	NB623_RS02770
OG0000081	DR094_RS00795	NB623_RS00325
OG0000083	DR094_RS02715	NB623_RS02075
OG0000084	DR094_RS02645	NB623_RS02045
OG0000085	DR094_RS02650	NB623_RS02040
OG0000086	DR094_RS03780	NB623_RS02030
OG0000087	DR094_RS02675	NB623_RS02015
OG0000088	DR094_RS02680	NB623_RS02010
OG0000089	DR094_RS02690	NB623_RS02000
OG0000090	DR094_RS01020	NB623_RS00070
OG0000091	DR094_RS01035	NB623_RS00055
OG0000092	DR094_RS01050	NB623_RS00050
OG0000093	DR094_RS01055	NB623_RS00035
OG0000094	DR094_RS01060	NB623_RS00030
OG0000095	DR094_RS01085	NB623_RS00005
OG0000096	DR094_RS01090	NB623_RS03810
OG0000097	DR094_RS01110	NB623_RS03790
OG0000098	DR094_RS01120	NB623_RS03780
OG0000099	DR094_RS01175	NB623_RS03730
OG0000100	DR094_RS01185	NB623_RS03715
OG0000101	DR094_RS01190	NB623_RS03710
OG0000102	DR094_RS01200	NB623_RS01830
OG0000103	DR094_RS02040	NB623_RS02355
OG0000104	DR094_RS02045	NB623_RS02360
OG0000105	DR094_RS02060	NB623_RS02380
OG0000106	DR094_RS02070	NB623_RS02385
OG0000107	DR094_RS02080	NB623_RS02395
OG0000108	DR094_RS02085	NB623_RS02400
OG0000109	DR094_RS02090	NB623_RS02405
OG0000110	DR094_RS02095	NB623_RS02525
OG0000111	DR094_RS02100	NB623_RS02520
OG0000112	DR094_RS02110	NB623_RS02510
OG0000113	DR094_RS03730	NB623_RS02490
OG0000114	DR094_RS02135	NB623_RS02485
OG0000115	DR094_RS02145	NB623_RS02470
OG0000116	DR094_RS02155	NB623_RS01415
OG0000117	DR094_RS02160	NB623_RS01420
OG0000118	DR094_RS02190	NB623_RS01455
OG0000119	DR094_RS02195	NB623_RS01465
OG0000120	DR094_RS02210	NB623_RS01475
OG0000121	DR094_RS02235	NB623_RS01505
OG0000122	DR094_RS02240	NB623_RS01510
OG0000123	DR094_RS02260	NB623_RS01530
OG0000124	DR094_RS02265	NB623_RS01535
OG0000125	DR094_RS02270	NB623_RS01545
OG0000126	DR094_RS02280	NB623_RS01550
OG0000127	DR094_RS02290	NB623_RS01560
OG0000128	DR094_RS02750	NB623_RS01575
OG0000129	DR094_RS02755	NB623_RS01580
OG0000130	DR094_RS02765	NB623_RS01590
OG0000131	DR094_RS02795	NB623_RS01620
OG0000132	DR094_RS03810	NB623_RS01635
OG0000133	DR094_RS00615	NB623_RS00525
OG0000134	DR094_RS03565	NB623_RS00530
OG0000135	DR094_RS00595	NB623_RS00545
OG0000136	DR094_RS00590	NB623_RS00550
OG0000137	DR094_RS00560	NB623_RS00590
OG0000138	DR094_RS00535	NB623_RS00615
OG0000139	DR094_RS00505	NB623_RS00645
OG0000140	DR094_RS00500	NB623_RS00650
OG0000141	DR094_RS00475	NB623_RS03095
