Orthogroup	MFC_MF22_genes	MHP_MHP691_genes
OG0000000	DR094_RS00005	DR087_RS00160
OG0000000	DR094_RS02820	DR087_RS03480, DR087_RS03475
OG0000000	DR094_RS03835	DR087_RS04315
OG0000001	DR094_RS00325, DR094_RS00330	DR087_RS03325, DR087_RS03335, DR087_RS04015, DR087_RS04300, DR087_RS03255
OG0000002	DR094_RS03815	DR087_RS04740
OG0000002	DR094_RS03610	DR087_RS04755
OG0000003	DR094_RS03820	DR087_RS04750
OG0000007	DR094_RS02850	DR087_RS03535
OG0000007	DR094_RS02845	DR087_RS03530
OG0000007	DR094_RS02840	DR087_RS04335, DR087_RS03525
OG0000011	DR094_RS03520	DR087_RS01510, DR087_RS04590
OG0000011	DR094_RS02895	DR087_RS01515
OG0000013	DR094_RS00075, DR094_RS00080	DR087_RS01680
OG0000013	DR094_RS03050	DR087_RS04185
OG0000014	DR094_RS03555	DR087_RS03505, DR087_RS03520
OG0000016	DR094_RS00380	DR087_RS01400
OG0000017	DR094_RS00975	DR087_RS02410
OG0000017	DR094_RS00390	DR087_RS01410
OG0000018	DR094_RS03735	DR087_RS04435
OG0000020	DR094_RS03600	DR087_RS04440
OG0000020	DR094_RS03595	DR087_RS04445
OG0000022	DR094_RS03605	DR087_RS04630
OG0000023	DR094_RS02170	DR087_RS01210, DR087_RS00330
OG0000024	DR094_RS00320	DR087_RS03250
OG0000025	DR094_RS01205	DR087_RS02095
OG0000026	DR094_RS02215	DR087_RS01165, DR087_RS02075
OG0000027	DR094_RS01395	DR087_RS04635
OG0000027	DR094_RS03650	DR087_RS04475
OG0000029	DR094_RS00545	DR087_RS02775, DR087_RS03175
OG0000030	DR094_RS03655	DR087_RS04640, DR087_RS04470
OG0000031	DR094_RS02590	DR087_RS03210
OG0000032	DR094_RS01390	DR087_RS03235, DR087_RS00575
OG0000033	DR094_RS00055	DR087_RS04070
OG0000039	DR094_RS00485	DR087_RS03190
OG0000040	DR094_RS02025, DR094_RS00270	DR087_RS02165
OG0000042	DR094_RS00490, DR094_RS00345	DR087_RS03360
OG0000043	DR094_RS02615	DR087_RS01545
OG0000045	DR094_RS03140, DR094_RS03135	DR087_RS03185
OG0000048	DR094_RS02695, DR094_RS02985	DR087_RS00140
OG0000049	DR094_RS03355	DR087_RS01000
OG0000050	DR094_RS03765	DR087_RS02450
OG0000051	DR094_RS01715	DR087_RS01275
OG0000052	DR094_RS01015	DR087_RS00505
OG0000053	DR094_RS03805	DR087_RS04540
OG0000054	DR094_RS00030	DR087_RS02475
OG0000055	DR094_RS03580, DR094_RS03850	DR087_RS00555
OG0000056	DR094_RS01180	DR087_RS00765
OG0000057	DR094_RS00465	DR087_RS01485
OG0000062	DR094_RS01125	DR087_RS00395
OG0000063	DR094_RS03590	DR087_RS04450
OG0000064	DR094_RS01140	DR087_RS00380
OG0000065	DR094_RS02075	DR087_RS00215
OG0000066	DR094_RS02205	DR087_RS01175
OG0000067	DR094_RS00620	DR087_RS02860
OG0000068	DR094_RS00510	DR087_RS03140
OG0000069	DR094_RS00355	DR087_RS01375
OG0000070	DR094_RS00050	DR087_RS02480
OG0000071	DR094_RS02015	DR087_RS00780
OG0000072	DR094_RS03725	DR087_RS02175
OG0000073	DR094_RS02425	DR087_RS02200
OG0000074	DR094_RS03685	DR087_RS04685
OG0000075	DR094_RS00790	DR087_RS01860
OG0000077	DR094_RS00690	DR087_RS03060
OG0000079	DR094_RS00130	DR087_RS02980
OG0000080	DR094_RS03080	DR087_RS04005
OG0000081	DR094_RS00795	DR087_RS01855
OG0000082	DR094_RS00070	DR087_RS01685
OG0000083	DR094_RS02715	DR087_RS00065
OG0000084	DR094_RS02645	DR087_RS00090
OG0000085	DR094_RS02650	DR087_RS00095
OG0000086	DR094_RS03780	DR087_RS00105
OG0000087	DR094_RS02675	DR087_RS00120
OG0000088	DR094_RS02680	DR087_RS00125
OG0000089	DR094_RS02690	DR087_RS00135
OG0000090	DR094_RS01020	DR087_RS00500
OG0000091	DR094_RS01035	DR087_RS00485
OG0000092	DR094_RS01050	DR087_RS00470
OG0000093	DR094_RS01055	DR087_RS00465
OG0000094	DR094_RS01060	DR087_RS00460
OG0000095	DR094_RS01085	DR087_RS00435
OG0000096	DR094_RS01090	DR087_RS00430
OG0000097	DR094_RS01110	DR087_RS00410
OG0000098	DR094_RS01120	DR087_RS00400
OG0000099	DR094_RS01175	DR087_RS00775
OG0000100	DR094_RS01185	DR087_RS00750
OG0000101	DR094_RS01190	DR087_RS00745
OG0000102	DR094_RS01200	DR087_RS02090
OG0000103	DR094_RS02040	DR087_RS00180
OG0000104	DR094_RS02045	DR087_RS00185
OG0000105	DR094_RS02060	DR087_RS00200
OG0000106	DR094_RS02070	DR087_RS00210
OG0000107	DR094_RS02080	DR087_RS00220
OG0000108	DR094_RS02085	DR087_RS00225
OG0000109	DR094_RS02090	DR087_RS00230
OG0000110	DR094_RS02095	DR087_RS01695
OG0000111	DR094_RS02100	DR087_RS01700
OG0000112	DR094_RS02110	DR087_RS01710
OG0000113	DR094_RS03730	DR087_RS04610
OG0000114	DR094_RS02135	DR087_RS01740
OG0000115	DR094_RS02145	DR087_RS01750
OG0000116	DR094_RS02155	DR087_RS03310
OG0000117	DR094_RS02160	DR087_RS03305
OG0000118	DR094_RS02190	DR087_RS01190
OG0000119	DR094_RS02195	DR087_RS01185
OG0000120	DR094_RS02210	DR087_RS01170
OG0000121	DR094_RS02235	DR087_RS01145
OG0000122	DR094_RS02240	DR087_RS01140
OG0000123	DR094_RS02260	DR087_RS01120
OG0000124	DR094_RS02265	DR087_RS01115
OG0000125	DR094_RS02270	DR087_RS01110
OG0000126	DR094_RS02280	DR087_RS01100
OG0000127	DR094_RS02290	DR087_RS01090
OG0000128	DR094_RS02750	DR087_RS01075
OG0000129	DR094_RS02755	DR087_RS01070
OG0000130	DR094_RS02765	DR087_RS01060
OG0000131	DR094_RS02795	DR087_RS04535
OG0000132	DR094_RS03810	DR087_RS04530
OG0000133	DR094_RS00615	DR087_RS02865
OG0000134	DR094_RS03565	DR087_RS02870
OG0000135	DR094_RS00595	DR087_RS02885
OG0000136	DR094_RS00590	DR087_RS02890
OG0000137	DR094_RS00560	DR087_RS02930
OG0000138	DR094_RS00535	DR087_RS03165
OG0000139	DR094_RS00505	DR087_RS03135
OG0000140	DR094_RS00500	DR087_RS03130
OG0000141	DR094_RS00475	DR087_RS01495
OG0000142	DR094_RS03550	DR087_RS04585
OG0000143	DR094_RS00445	DR087_RS01465
OG0000144	DR094_RS00435	DR087_RS01455
OG0000145	DR094_RS00425	DR087_RS01445
OG0000146	DR094_RS00415	DR087_RS01435
OG0000147	DR094_RS00410	DR087_RS01430
OG0000148	DR094_RS00395	DR087_RS01415
OG0000149	DR094_RS00385	DR087_RS01405
OG0000150	DR094_RS00370	DR087_RS01390
OG0000151	DR094_RS00315	DR087_RS03290
OG0000152	DR094_RS00310	DR087_RS03285
OG0000153	DR094_RS00305	DR087_RS03280
OG0000154	DR094_RS00295	DR087_RS03270
OG0000155	DR094_RS00275	DR087_RS03545
OG0000156	DR094_RS00260	DR087_RS01225
OG0000157	DR094_RS03545	DR087_RS04555
OG0000158	DR094_RS03540	DR087_RS04560
OG0000159	DR094_RS00020	DR087_RS04805
OG0000160	DR094_RS00015	DR087_RS02460
OG0000161	DR094_RS00010	DR087_RS02455
OG0000162	DR094_RS02560	DR087_RS02445
OG0000163	DR094_RS02565	DR087_RS02440
OG0000164	DR094_RS03770	DR087_RS03205
OG0000165	DR094_RS02890	DR087_RS01520
OG0000166	DR094_RS02910	DR087_RS00005
OG0000167	DR094_RS02925	DR087_RS00020
OG0000168	DR094_RS02930	DR087_RS00025
OG0000169	DR094_RS01830	DR087_RS01010
OG0000170	DR094_RS01845	DR087_RS00990
OG0000171	DR094_RS01855	DR087_RS00980
OG0000172	DR094_RS01860	DR087_RS00975
OG0000173	DR094_RS01865	DR087_RS00970
OG0000174	DR094_RS01870	DR087_RS00965
OG0000175	DR094_RS01885	DR087_RS00950
OG0000176	DR094_RS01925	DR087_RS00900
OG0000177	DR094_RS01930	DR087_RS00895
OG0000178	DR094_RS01935	DR087_RS00890
OG0000179	DR094_RS01945	DR087_RS00880
OG0000180	DR094_RS01950	DR087_RS00875
OG0000181	DR094_RS03710	DR087_RS04520
OG0000182	DR094_RS01975	DR087_RS00820
OG0000183	DR094_RS02010	DR087_RS00785
OG0000184	DR094_RS02865	DR087_RS02140
OG0000185	DR094_RS02880	DR087_RS02155
OG0000186	DR094_RS02535	DR087_RS04735
OG0000187	DR094_RS02520	DR087_RS03425
OG0000188	DR094_RS02510	DR087_RS03415
OG0000189	DR094_RS03755	DR087_RS04425
OG0000190	DR094_RS02495	DR087_RS00260
OG0000191	DR094_RS02475	DR087_RS00240
OG0000192	DR094_RS02465	DR087_RS02805
