Orthogroup	MFC_MF22_genes	MHP_MHP653_genes
OG0000000	DR094_RS03000	DR096_RS03590
OG0000000	DR094_RS01215	DR096_RS02065
OG0000001	DR094_RS00325, DR094_RS00330	DR096_RS01680, DR096_RS01685, DR096_RS01190, DR096_RS04085
OG0000002	DR094_RS02550	DR096_RS02905
OG0000002	DR094_RS03815	DR096_RS04810
OG0000002	DR094_RS03610	DR096_RS04795
OG0000003	DR094_RS03820	DR096_RS04820
OG0000004	DR094_RS01820	DR096_RS00785
OG0000007	DR094_RS02850	DR096_RS03505
OG0000007	DR094_RS02845	DR096_RS03510
OG0000007	DR094_RS02840	DR096_RS00630
OG0000011	DR094_RS03520	DR096_RS00490
OG0000011	DR094_RS02895	DR096_RS00485
OG0000013	DR094_RS00075, DR094_RS00080	DR096_RS04100
OG0000013	DR094_RS03050	DR096_RS03875
OG0000014	DR094_RS03555	DR096_RS03315, DR096_RS04790
OG0000016	DR094_RS00380	DR096_RS01150
OG0000017	DR094_RS00975	DR096_RS00360
OG0000017	DR094_RS00390	DR096_RS01140
OG0000019	DR094_RS03350	DR096_RS03940
OG0000020	DR094_RS03600	DR096_RS03230
OG0000020	DR094_RS03595	DR096_RS04775
OG0000022	DR094_RS03605	DR096_RS04665
OG0000023	DR094_RS02170	DR096_RS01645
OG0000024	DR094_RS00320	DR096_RS01490, DR096_RS01690
OG0000025	DR094_RS01205	DR096_RS02045
OG0000026	DR094_RS02215	DR096_RS01600, DR096_RS02025
OG0000027	DR094_RS01395	DR096_RS04770
OG0000027	DR094_RS03650	DR096_RS04540
OG0000029	DR094_RS00545	DR096_RS03330
OG0000030	DR094_RS03655	DR096_RS04765, DR096_RS04535
OG0000031	DR094_RS02590	DR096_RS01370
OG0000032	DR094_RS01390	DR096_RS04045, DR096_RS04610, DR096_RS00860
OG0000039	DR094_RS00485	DR096_RS01385
OG0000042	DR094_RS00490, DR094_RS00345	DR096_RS00855
OG0000043	DR094_RS02615	DR096_RS00455
OG0000045	DR094_RS03140, DR094_RS03135	DR096_RS01390
OG0000048	DR094_RS02695, DR094_RS02985	DR096_RS03530
OG0000049	DR094_RS03355	DR096_RS00770
OG0000050	DR094_RS03765	DR096_RS03020
OG0000051	DR094_RS01715	DR096_RS02440
OG0000052	DR094_RS01015	DR096_RS02830
OG0000053	DR094_RS03805	DR096_RS04590
OG0000054	DR094_RS00030	DR096_RS02995
OG0000055	DR094_RS03580, DR094_RS03850	DR096_RS02530
OG0000056	DR094_RS01180	DR096_RS01045
OG0000057	DR094_RS00465	DR096_RS01065
OG0000062	DR094_RS01125	DR096_RS01775
OG0000063	DR094_RS03590	DR096_RS04645
OG0000064	DR094_RS01140	DR096_RS01760
OG0000065	DR094_RS02075	DR096_RS02855
OG0000066	DR094_RS02205	DR096_RS01610
OG0000067	DR094_RS00620	DR096_RS02595
OG0000068	DR094_RS00510	DR096_RS03280
OG0000069	DR094_RS00355	DR096_RS01175
OG0000070	DR094_RS00050	DR096_RS02990
OG0000071	DR094_RS02015	DR096_RS03055
