Orthogroup	MFC_MF22_genes	MHP_KM014_genes
OG0000000	DR094_RS03840	CIB43_RS03040
OG0000000	DR094_RS01215	CIB43_RS02600
OG0000001	DR094_RS00325, DR094_RS00330	CIB43_RS02150, CIB43_RS03715, CIB43_RS03670
OG0000002	DR094_RS03610	CIB43_RS02610
OG0000004	DR094_RS01820	CIB43_RS00110
OG0000007	DR094_RS02850	CIB43_RS03095
OG0000007	DR094_RS02845	CIB43_RS03080
OG0000007	DR094_RS02840	CIB43_RS03075
OG0000011	DR094_RS03520	CIB43_RS02845, CIB43_RS02850
OG0000014	DR094_RS03555	CIB43_RS01485, CIB43_RS01955
OG0000016	DR094_RS00380	CIB43_RS03755
OG0000017	DR094_RS00975	CIB43_RS00855
OG0000017	DR094_RS00390	CIB43_RS03765
OG0000018	DR094_RS03735	CIB43_RS01250, CIB43_RS01185
OG0000020	DR094_RS03595	CIB43_RS00635
OG0000022	DR094_RS03605	CIB43_RS02590
OG0000023	DR094_RS02170	CIB43_RS00020, CIB43_RS01245, CIB43_RS01195
OG0000024	DR094_RS00320	CIB43_RS02140
OG0000025	DR094_RS01205	CIB43_RS02585
OG0000026	DR094_RS02215	CIB43_RS02565
OG0000027	DR094_RS03650	CIB43_RS00440
OG0000028	DR094_RS00060	CIB43_RS03340
OG0000030	DR094_RS03655	CIB43_RS00435
OG0000031	DR094_RS02590	CIB43_RS01295, CIB43_RS00065
OG0000039	DR094_RS00485	CIB43_RS02500
OG0000042	DR094_RS00490, DR094_RS00345	CIB43_RS03855
OG0000043	DR094_RS02615	CIB43_RS00070
OG0000045	DR094_RS03140, DR094_RS03135	CIB43_RS02520
OG0000048	DR094_RS02695, DR094_RS02985	CIB43_RS02995
OG0000051	DR094_RS01715	CIB43_RS03575
OG0000052	DR094_RS01015	CIB43_RS00775
OG0000053	DR094_RS03805	CIB43_RS02315
OG0000054	DR094_RS00030	CIB43_RS03395
OG0000055	DR094_RS03580, DR094_RS03850	CIB43_RS00835
OG0000056	DR094_RS01180	CIB43_RS00630, CIB43_RS03960
OG0000057	DR094_RS00465	CIB43_RS03840
OG0000062	DR094_RS01125	CIB43_RS00675
OG0000063	DR094_RS03590	CIB43_RS00660
OG0000064	DR094_RS01140	CIB43_RS00650
OG0000065	DR094_RS02075	CIB43_RS03145
OG0000067	DR094_RS00620	CIB43_RS01410
OG0000068	DR094_RS00510	CIB43_RS01520
OG0000069	DR094_RS00355	CIB43_RS03740
OG0000070	DR094_RS00050	CIB43_RS03400
OG0000071	DR094_RS02015	CIB43_RS00360
OG0000072	DR094_RS03725	CIB43_RS00375
OG0000073	DR094_RS02425	CIB43_RS01580
OG0000075	DR094_RS00790	CIB43_RS01060
OG0000077	DR094_RS00690	CIB43_RS01330
OG0000078	DR094_RS00235	CIB43_RS02560
OG0000079	DR094_RS00130	CIB43_RS03480
OG0000080	DR094_RS03080	CIB43_RS03525
OG0000081	DR094_RS00795	CIB43_RS01055
OG0000082	DR094_RS00070	CIB43_RS03315
OG0000083	DR094_RS02715	CIB43_RS02935
OG0000084	DR094_RS02645	CIB43_RS02955
OG0000086	DR094_RS03780	CIB43_RS02970
OG0000087	DR094_RS02675	CIB43_RS02975
OG0000088	DR094_RS02680	CIB43_RS02980
OG0000089	DR094_RS02690	CIB43_RS02990
OG0000090	DR094_RS01020	CIB43_RS00770
OG0000091	DR094_RS01035	CIB43_RS00760
OG0000092	DR094_RS01050	CIB43_RS00745
OG0000093	DR094_RS01055	CIB43_RS00735
OG0000094	DR094_RS01060	CIB43_RS00730
OG0000095	DR094_RS01085	CIB43_RS00715
OG0000096	DR094_RS01090	CIB43_RS00700
OG0000097	DR094_RS01110	CIB43_RS00690
OG0000100	DR094_RS01185	CIB43_RS00610
OG0000101	DR094_RS01190	CIB43_RS00600
OG0000102	DR094_RS01200	CIB43_RS02580
OG0000103	DR094_RS02040	CIB43_RS03110
OG0000104	DR094_RS02045	CIB43_RS03120
OG0000105	DR094_RS02060	CIB43_RS03130
OG0000106	DR094_RS02070	CIB43_RS03140
OG0000107	DR094_RS02080	CIB43_RS03150
OG0000108	DR094_RS02085	CIB43_RS03155
OG0000109	DR094_RS02090	CIB43_RS03160
OG0000110	DR094_RS02095	CIB43_RS03290
OG0000111	DR094_RS02100	CIB43_RS03285
OG0000112	DR094_RS02110	CIB43_RS03280
OG0000113	DR094_RS03730	CIB43_RS03260
OG0000114	DR094_RS02135	CIB43_RS03245
OG0000115	DR094_RS02145	CIB43_RS03230
OG0000116	DR094_RS02155	CIB43_RS02165
OG0000117	DR094_RS02160	CIB43_RS02170
