Orthogroup	MHP_ES2_genes	MHP_11_genes
OG0000000	E5E95_RS02310	B5C39_RS02485
OG0000000	E5E95_RS02230	B5C39_RS03935
OG0000000	E5E95_RS02430	B5C39_RS02595
OG0000000	E5E95_RS04240	B5C39_RS03835
OG0000000	E5E95_RS01830	B5C39_RS03750
OG0000000	E5E95_RS04235	B5C39_RS03235
OG0000001	E5E95_RS03000	B5C39_RS03070
OG0000001	E5E95_RS04150	B5C39_RS03020
OG0000002	E5E95_RS02320	B5C39_RS03825
OG0000002	E5E95_RS02315	B5C39_RS03650
OG0000002	E5E95_RS01840	B5C39_RS03240
OG0000003	E5E95_RS03910	B5C39_RS03345
OG0000004	E5E95_RS03410	B5C39_RS00380
OG0000004	E5E95_RS03400	B5C39_RS00390
OG0000004	E5E95_RS03425	B5C39_RS00400
OG0000005	E5E95_RS00090	B5C39_RS00915
OG0000005	E5E95_RS00110	B5C39_RS00935
OG0000005	E5E95_RS00095	B5C39_RS00920
OG0000005	E5E95_RS00100	B5C39_RS00925
OG0000005	E5E95_RS00115	B5C39_RS00940
OG0000006	E5E95_RS02705	B5C39_RS03845
OG0000006	E5E95_RS02445	B5C39_RS02605
OG0000006	E5E95_RS04120, E5E95_RS04115	B5C39_RS02640
OG0000008	E5E95_RS04080	B5C39_RS03830
OG0000008	E5E95_RS03930, E5E95_RS04135	B5C39_RS03850
OG0000009	E5E95_RS01210	B5C39_RS03820
OG0000009	E5E95_RS00680	B5C39_RS02225
OG0000010	E5E95_RS01970	B5C39_RS03350
OG0000010	E5E95_RS03990	B5C39_RS03795
OG0000010	E5E95_RS01575	B5C39_RS01340
OG0000011	E5E95_RS02070	B5C39_RS03455
OG0000011	E5E95_RS02060	B5C39_RS03450
OG0000012	E5E95_RS02435, E5E95_RS03230	B5C39_RS01220
OG0000013	E5E95_RS02610	B5C39_RS02685
OG0000013	E5E95_RS03955	B5C39_RS03780
OG0000014	E5E95_RS00595	B5C39_RS02300
OG0000014	E5E95_RS01105	B5C39_RS01820
OG0000014	E5E95_RS00605	B5C39_RS02290
OG0000016	E5E95_RS03040	B5C39_RS00060
OG0000016	E5E95_RS00160	B5C39_RS00985
OG0000017	E5E95_RS00145	B5C39_RS00970
OG0000017	E5E95_RS03050	B5C39_RS00070
OG0000020	E5E95_RS03770	B5C39_RS00735
OG0000021	E5E95_RS00510	B5C39_RS02385
OG0000022	E5E95_RS01770	B5C39_RS03170
OG0000022	E5E95_RS01825	B5C39_RS03225
OG0000024	E5E95_RS02945	B5C39_RS03015
OG0000024	E5E95_RS01290	B5C39_RS01625
OG0000025	E5E95_RS01775	B5C39_RS03175
OG0000025	E5E95_RS01820	B5C39_RS03220
OG0000026	E5E95_RS01380	B5C39_RS01535
OG0000026	E5E95_RS01800	B5C39_RS03200
OG0000027	E5E95_RS03560	B5C39_RS00530
OG0000027	E5E95_RS03575	B5C39_RS00545
OG0000028	E5E95_RS02625	B5C39_RS02695
OG0000029	E5E95_RS01100	B5C39_RS01825
OG0000029	E5E95_RS00610	B5C39_RS02285
OG0000030	E5E95_RS03550	B5C39_RS00520
OG0000030	E5E95_RS03570	B5C39_RS00540
OG0000031	E5E95_RS01625	B5C39_RS03115
OG0000032	E5E95_RS03565	B5C39_RS03770
OG0000035	E5E95_RS03405	B5C39_RS00395
OG0000035	E5E95_RS03395	B5C39_RS00375
OG0000036	E5E95_RS00120	B5C39_RS00945
OG0000037	E5E95_RS04000	B5C39_RS03745
OG0000038	E5E95_RS00500	B5C39_RS02400
OG0000038	E5E95_RS01865	B5C39_RS03265
OG0000039	E5E95_RS01650	B5C39_RS03875
OG0000039	E5E95_RS01645	B5C39_RS03130
OG0000040	E5E95_RS03495	B5C39_RS00465
OG0000042	E5E95_RS03140	B5C39_RS00160
OG0000043	E5E95_RS02030	B5C39_RS03420
OG0000044	E5E95_RS04290	B5C39_RS03955
OG0000045	E5E95_RS01655	B5C39_RS03140
OG0000046	E5E95_RS03505	B5C39_RS00475
OG0000047	E5E95_RS01725	B5C39_RS03620
OG0000047	E5E95_RS04090	B5C39_RS00010
OG0000048	E5E95_RS02215	B5C39_RS03615
OG0000049	E5E95_RS03260	B5C39_RS00240
OG0000050	E5E95_RS02655	B5C39_RS02725
OG0000051	E5E95_RS02855	B5C39_RS02930
OG0000052	E5E95_RS00075	B5C39_RS00890
OG0000053	E5E95_RS01465	B5C39_RS01450
OG0000054	E5E95_RS02680	B5C39_RS02750
OG0000055	E5E95_RS00125	B5C39_RS00950
OG0000056	E5E95_RS03750	B5C39_RS00720
OG0000057	E5E95_RS03125	B5C39_RS00145
OG0000060	E5E95_RS01215	B5C39_RS03815
OG0000061	E5E95_RS01980	B5C39_RS03095
OG0000062	E5E95_RS03805	B5C39_RS00780
OG0000063	E5E95_RS03800	B5C39_RS00775
OG0000064	E5E95_RS03790	B5C39_RS00765
OG0000065	E5E95_RS02365	B5C39_RS02530
OG0000066	E5E95_RS01370	B5C39_RS01545
OG0000067	E5E95_RS00525	B5C39_RS02370
OG0000068	E5E95_RS00645	B5C39_RS02250
OG0000069	E5E95_RS03015	B5C39_RS00035
OG0000070	E5E95_RS02685	B5C39_RS02755
OG0000071	E5E95_RS03485	B5C39_RS00455
OG0000072	E5E95_RS03490	B5C39_RS00460
OG0000073	E5E95_RS00705	B5C39_RS02200
OG0000074	E5E95_RS00900	B5C39_RS02005
OG0000076	E5E95_RS00355	B5C39_RS01185
OG0000077	E5E95_RS00445	B5C39_RS02455
OG0000078	E5E95_RS01790	B5C39_RS03190
OG0000079	E5E95_RS02760	B5C39_RS02835
OG0000080	E5E95_RS03935	B5C39_RS03700
OG0000081	E5E95_RS00335	B5C39_RS01165
OG0000082	E5E95_RS02605	B5C39_RS02680
OG0000083	E5E95_RS02140	B5C39_RS03525
OG0000084	E5E95_RS02165	B5C39_RS03550
OG0000085	E5E95_RS02170	B5C39_RS03555
OG0000086	E5E95_RS02180	B5C39_RS03565
OG0000087	E5E95_RS02195	B5C39_RS03580
OG0000088	E5E95_RS02200	B5C39_RS03585
OG0000089	E5E95_RS02210	B5C39_RS03595
OG0000090	E5E95_RS00070	B5C39_RS00885
OG0000091	E5E95_RS00055	B5C39_RS00870
OG0000092	E5E95_RS00040	B5C39_RS00855
OG0000093	E5E95_RS00035	B5C39_RS00850
OG0000094	E5E95_RS00030	B5C39_RS00845
OG0000095	E5E95_RS00005	B5C39_RS00820
OG0000096	E5E95_RS03840	B5C39_RS00815
OG0000097	E5E95_RS03820	B5C39_RS00795
OG0000098	E5E95_RS03810	B5C39_RS00785
OG0000099	E5E95_RS03760	B5C39_RS00725
OG0000100	E5E95_RS03740	B5C39_RS00710
OG0000101	E5E95_RS03735	B5C39_RS00705
OG0000102	E5E95_RS01815	B5C39_RS03215
OG0000103	E5E95_RS02330	B5C39_RS02495
OG0000104	E5E95_RS02335	B5C39_RS02500
OG0000105	E5E95_RS02350	B5C39_RS02515
OG0000106	E5E95_RS02360	B5C39_RS02525
OG0000107	E5E95_RS02370	B5C39_RS02535
OG0000108	E5E95_RS02375	B5C39_RS02540
OG0000109	E5E95_RS02380	B5C39_RS02545
OG0000110	E5E95_RS02595	B5C39_RS02670
OG0000111	E5E95_RS02590	B5C39_RS02665
OG0000112	E5E95_RS02580	B5C39_RS02655
OG0000113	E5E95_RS02560	B5C39_RS02635
OG0000114	E5E95_RS04300	B5C39_RS02625
OG0000115	E5E95_RS02535	B5C39_RS02610
OG0000116	E5E95_RS01315	B5C39_RS01600
OG0000117	E5E95_RS01320	B5C39_RS01595
OG0000118	E5E95_RS01355	B5C39_RS01560
