Orthogroup	MHP_ES2_genes	MFC_ATCC27716_genes
OG0000000	E5E95_RS02310	MFC_RS01410
OG0000000	E5E95_RS02240	MFC_RS02935
OG0000000	E5E95_RS01830	MFC_RS00365
OG0000001	E5E95_RS01300, E5E95_RS01295, E5E95_RS03000, E5E95_RS04155, E5E95_RS04150	MFC_RS03350
OG0000002	E5E95_RS02320, E5E95_RS02315	MFC_RS00395
OG0000002	E5E95_RS02250	MFC_RS02940
OG0000002	E5E95_RS01840	MFC_RS00370
OG0000003	E5E95_RS04070	MFC_RS02995
OG0000004	E5E95_RS03235	MFC_RS00155
OG0000007	E5E95_RS02300	MFC_RS02975
OG0000007	E5E95_RS02295	MFC_RS02970
OG0000007	E5E95_RS02290	MFC_RS02965
OG0000008	E5E95_RS03905	MFC_RS03380
OG0000011	E5E95_RS02065, E5E95_RS02070	MFC_RS03510, MFC_RS03505
OG0000011	E5E95_RS02060	MFC_RS01350
OG0000013	E5E95_RS02610	MFC_RS03175, MFC_RS02880
OG0000013	E5E95_RS03955	MFC_RS03420
OG0000014	E5E95_RS00595, E5E95_RS01105, E5E95_RS00605	MFC_RS00870
OG0000016	E5E95_RS03040	MFC_RS01050
OG0000017	E5E95_RS00145	MFC_RS03155
OG0000017	E5E95_RS03050	MFC_RS01040
OG0000018	E5E95_RS02480	MFC_RS00540
OG0000019	E5E95_RS04180	MFC_RS03330
OG0000020	E5E95_RS03770	MFC_RS00305
OG0000022	E5E95_RS01825	MFC_RS00360
OG0000023	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105	MFC_RS01695
OG0000024	E5E95_RS02945, E5E95_RS01290	MFC_RS01110
OG0000025	E5E95_RS01820	MFC_RS00355
OG0000026	E5E95_RS01380, E5E95_RS01800	MFC_RS00580
OG0000027	E5E95_RS03575	MFC_RS02850
OG0000028	E5E95_RS02625	MFC_RS01205, MFC_RS01200
OG0000029	E5E95_RS01100, E5E95_RS00610	MFC_RS00875
OG0000030	E5E95_RS03550, E5E95_RS03570	MFC_RS02855
OG0000031	E5E95_RS01625	MFC_RS01295
OG0000032	E5E95_RS03995	MFC_RS02685
OG0000032	E5E95_RS03565	MFC_RS02860
OG0000037	E5E95_RS04000	MFC_RS03185
OG0000039	E5E95_RS01650, E5E95_RS01645	MFC_RS03135, MFC_RS00935
OG0000040	E5E95_RS03495	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	E5E95_RS03140	MFC_RS00930, MFC_RS01085
OG0000043	E5E95_RS02030	MFC_RS01320
OG0000045	E5E95_RS01655	MFC_RS00950
OG0000048	E5E95_RS02215	MFC_RS00140
OG0000049	E5E95_RS03260	MFC_RS03220, MFC_RS03365
OG0000050	E5E95_RS02655	MFC_RS01260
OG0000051	E5E95_RS02855	MFC_RS02240
OG0000052	E5E95_RS00075	MFC_RS00160
OG0000053	E5E95_RS01465	MFC_RS00665
OG0000054	E5E95_RS02680	MFC_RS01235
OG0000055	E5E95_RS00125	MFC_RS03415, MFC_RS03540
OG0000056	E5E95_RS03750	MFC_RS00325
OG0000057	E5E95_RS03125	MFC_RS00965
OG0000062	E5E95_RS03805	MFC_RS00270
OG0000063	E5E95_RS03800	MFC_RS00275
OG0000064	E5E95_RS03790	MFC_RS00285
OG0000065	E5E95_RS02365	MFC_RS00440
OG0000066	E5E95_RS01370	MFC_RS00570
OG0000068	E5E95_RS00645	MFC_RS00910
OG0000069	E5E95_RS03015	MFC_RS01075
OG0000070	E5E95_RS02685	MFC_RS01215
OG0000071	E5E95_RS03485	MFC_RS01630
OG0000072	E5E95_RS03490	MFC_RS01635
OG0000073	E5E95_RS00705	MFC_RS03395, MFC_RS03390
OG0000074	E5E95_RS00900	MFC_RS03400
OG0000076	E5E95_RS00355	MFC_RS02580
OG0000077	E5E95_RS00445	MFC_RS02670
OG0000078	E5E95_RS01790	MFC_RS03005
OG0000079	E5E95_RS02760	MFC_RS02930, MFC_RS03120
OG0000080	E5E95_RS03935	MFC_RS03315
OG0000081	E5E95_RS00335	MFC_RS03430, MFC_RS02560
OG0000082	E5E95_RS02605	MFC_RS02870
OG0000083	E5E95_RS02140	MFC_RS00040
OG0000084	E5E95_RS02165	MFC_RS00070
OG0000085	E5E95_RS02170	MFC_RS00075
OG0000086	E5E95_RS02180	MFC_RS00085
OG0000087	E5E95_RS02195	MFC_RS03320
OG0000088	E5E95_RS02200	MFC_RS00105
OG0000089	E5E95_RS02210	MFC_RS00115
OG0000090	E5E95_RS00070	MFC_RS00165
OG0000091	E5E95_RS00055	MFC_RS00180
OG0000092	E5E95_RS00040	MFC_RS00195
OG0000093	E5E95_RS00035	MFC_RS00200
OG0000094	E5E95_RS00030	MFC_RS00205
OG0000095	E5E95_RS00005	MFC_RS00230
OG0000096	E5E95_RS03840	MFC_RS00235
OG0000097	E5E95_RS03820	MFC_RS00255
OG0000098	E5E95_RS03810	MFC_RS00265
OG0000099	E5E95_RS03760	MFC_RS00320
OG0000100	E5E95_RS03740	MFC_RS00335
OG0000101	E5E95_RS03735	MFC_RS00340
OG0000102	E5E95_RS01815	MFC_RS00350
OG0000103	E5E95_RS02330	MFC_RS00405
OG0000104	E5E95_RS02335	MFC_RS00410
OG0000105	E5E95_RS02350	MFC_RS00425
OG0000106	E5E95_RS02360	MFC_RS00435
OG0000107	E5E95_RS02370	MFC_RS00445
OG0000108	E5E95_RS02375	MFC_RS00450
OG0000109	E5E95_RS02380	MFC_RS00455
OG0000110	E5E95_RS02595	MFC_RS00460
OG0000111	E5E95_RS02590	MFC_RS00465
OG0000112	E5E95_RS02580	MFC_RS00475
OG0000113	E5E95_RS02560	MFC_RS00490
OG0000114	E5E95_RS04300	MFC_RS00500
OG0000115	E5E95_RS02535	MFC_RS00510
OG0000116	E5E95_RS01315	MFC_RS00520
OG0000117	E5E95_RS01320	MFC_RS00525
OG0000118	E5E95_RS01355	MFC_RS00555
OG0000119	E5E95_RS01360	MFC_RS00560
OG0000120	E5E95_RS01375	MFC_RS00575
OG0000121	E5E95_RS01400	MFC_RS00600
OG0000122	E5E95_RS01405	MFC_RS00605
OG0000123	E5E95_RS01425	MFC_RS00625
OG0000124	E5E95_RS01430	MFC_RS00630
OG0000125	E5E95_RS01435	MFC_RS00635
OG0000126	E5E95_RS01445	MFC_RS00645
OG0000127	E5E95_RS01455	MFC_RS00655
OG0000128	E5E95_RS01470	MFC_RS00670
OG0000129	E5E95_RS01475	MFC_RS00675
OG0000130	E5E95_RS01485	MFC_RS00685
OG0000131	E5E95_RS01515	MFC_RS00715
OG0000132	E5E95_RS01530	MFC_RS00735
OG0000133	E5E95_RS00530	MFC_RS00805
OG0000134	E5E95_RS00535	MFC_RS00810
OG0000135	E5E95_RS00550	MFC_RS00825
OG0000136	E5E95_RS00555	MFC_RS00830
OG0000137	E5E95_RS00585	MFC_RS00860
OG0000138	E5E95_RS00620	MFC_RS00885
OG0000139	E5E95_RS00650	MFC_RS00915
OG0000140	E5E95_RS00655	MFC_RS00920
OG0000141	E5E95_RS03135	MFC_RS00955
OG0000142	E5E95_RS03130	MFC_RS00960
OG0000143	E5E95_RS03105	MFC_RS00985
OG0000144	E5E95_RS03095	MFC_RS00995
OG0000145	E5E95_RS03085	MFC_RS01005
OG0000146	E5E95_RS03075	MFC_RS01015
OG0000147	E5E95_RS03070	MFC_RS01020
OG0000148	E5E95_RS03055	MFC_RS01035
OG0000149	E5E95_RS03045	MFC_RS01045
OG0000150	E5E95_RS03030	MFC_RS01060
OG0000151	E5E95_RS02985	MFC_RS01115
OG0000152	E5E95_RS02980	MFC_RS01120
OG0000153	E5E95_RS02975	MFC_RS01125
OG0000154	E5E95_RS02965	MFC_RS01135
OG0000155	E5E95_RS02925	MFC_RS01155
OG0000156	E5E95_RS02915	MFC_RS01175
OG0000157	E5E95_RS02910	MFC_RS01180
OG0000158	E5E95_RS02905	MFC_RS01190
OG0000159	E5E95_RS04310	MFC_RS01245
OG0000160	E5E95_RS02665	MFC_RS01250
OG0000161	E5E95_RS02660	MFC_RS01255
OG0000162	E5E95_RS02650	MFC_RS01265
OG0000163	E5E95_RS02645	MFC_RS01270
