Orthogroup	MHP_ES2_genes	MHP_168_genes
OG0000000	E5E95_RS02310	MHP168_RS02175
OG0000000	E5E95_RS02430	MHP168_RS02315
OG0000000	E5E95_RS04235	MHP168_RS01690
OG0000001	E5E95_RS01300	MHP168_RS01365
OG0000001	E5E95_RS01295	MHP168_RS03950
OG0000001	E5E95_RS03000	MHP168_RS02805
OG0000001	E5E95_RS04150	MHP168_RS02760
OG0000002	E5E95_RS02320	MHP168_RS03985
OG0000002	E5E95_RS02315	MHP168_RS03895
OG0000002	E5E95_RS01840	MHP168_RS01665, MHP168_RS01685
OG0000003	E5E95_RS00505	MHP168_RS01845
OG0000003	E5E95_RS01915	MHP168_RS00480
OG0000003	E5E95_RS03910	MHP168_RS03875
OG0000004	E5E95_RS03410	MHP168_RS03180
OG0000004	E5E95_RS03425	MHP168_RS03190
OG0000005	E5E95_RS00090	MHP168_RS00085
OG0000005	E5E95_RS00095	MHP168_RS00095
OG0000005	E5E95_RS00100, E5E95_RS00115	MHP168_RS00100, MHP168_RS03905
OG0000006	E5E95_RS02705	MHP168_RS02510, MHP168_RS02505
OG0000006	E5E95_RS02445	MHP168_RS02320
OG0000006	E5E95_RS04120, E5E95_RS04115	MHP168_RS02355
OG0000008	E5E95_RS03925, E5E95_RS04080	MHP168_RS02310
OG0000008	E5E95_RS03905	MHP168_RS01780
OG0000008	E5E95_RS04135	MHP168_RS04005
OG0000009	E5E95_RS00665	MHP168_RS00985
OG0000009	E5E95_RS00680	MHP168_RS00975
OG0000010	E5E95_RS01970	MHP168_RS01930
OG0000010	E5E95_RS03990, E5E95_RS01575	MHP168_RS01645
OG0000011	E5E95_RS02070	MHP168_RS04085
OG0000011	E5E95_RS02060	MHP168_RS02015
OG0000012	E5E95_RS02435	MHP168_RS01400, MHP168_RS02105, MHP168_RS03590
OG0000013	E5E95_RS02610	MHP168_RS02405
OG0000013	E5E95_RS03955	MHP168_RS03910
OG0000014	E5E95_RS01105	MHP168_RS01070
