Orthogroup	MHP_ES2_genes	MHP_MHP691_genes
OG0000000	E5E95_RS03920	DR087_RS04315
OG0000000	E5E95_RS04235, E5E95_RS01835	DR087_RS03570
OG0000001	E5E95_RS01300	DR087_RS03325
OG0000001	E5E95_RS01295	DR087_RS03335
OG0000001	E5E95_RS03000	DR087_RS04015
OG0000001	E5E95_RS04150	DR087_RS03255
OG0000002	E5E95_RS02320	DR087_RS03810
OG0000002	E5E95_RS02250	DR087_RS04740
OG0000002	E5E95_RS01840	DR087_RS04755
OG0000003	E5E95_RS01915	DR087_RS01665
OG0000003	E5E95_RS00930	DR087_RS04220
OG0000003	E5E95_RS04060	DR087_RS04345
OG0000003	E5E95_RS04070	DR087_RS04750
OG0000004	E5E95_RS03410	DR087_RS00850
OG0000004	E5E95_RS03400	DR087_RS00860
OG0000004	E5E95_RS03425	DR087_RS00840
OG0000005	E5E95_RS00090	DR087_RS00530
OG0000005	E5E95_RS00095	DR087_RS00540
OG0000005	E5E95_RS00100, E5E95_RS00115	DR087_RS04465
OG0000006	E5E95_RS02705	DR087_RS04360
OG0000007	E5E95_RS00935	DR087_RS04205, DR087_RS04210
OG0000007	E5E95_RS02300	DR087_RS03535
OG0000007	E5E95_RS00950	DR087_RS03750
OG0000007	E5E95_RS02295	DR087_RS03530
OG0000007	E5E95_RS02290	DR087_RS04335, DR087_RS03525
OG0000008	E5E95_RS03930, E5E95_RS04135	DR087_RS04355
OG0000010	E5E95_RS01970	DR087_RS01605
OG0000011	E5E95_RS02070	DR087_RS04590
OG0000011	E5E95_RS02060	DR087_RS01515
OG0000012	E5E95_RS03230	DR087_RS03620
OG0000013	E5E95_RS02610	DR087_RS01680
OG0000013	E5E95_RS03955	DR087_RS04185
OG0000014	E5E95_RS00595	DR087_RS03505
OG0000014	E5E95_RS00605	DR087_RS03520
OG0000015	E5E95_RS02450	DR087_RS00350
OG0000015	E5E95_RS01590	DR087_RS03240
OG0000016	E5E95_RS03040	DR087_RS01400
OG0000016	E5E95_RS00160	DR087_RS02395
OG0000017	E5E95_RS00145	DR087_RS02410
OG0000017	E5E95_RS03050	DR087_RS01410
OG0000018	E5E95_RS02480	DR087_RS04435
OG0000019	E5E95_RS04175	DR087_RS03610
OG0000020	E5E95_RS03770	DR087_RS04440
OG0000021	E5E95_RS03755	DR087_RS03640
OG0000021	E5E95_RS00510	DR087_RS02025
OG0000022	E5E95_RS01770	DR087_RS02045
OG0000022	E5E95_RS01825	DR087_RS04630
OG0000023	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105	DR087_RS00330
OG0000024	E5E95_RS02945	DR087_RS03250
OG0000025	E5E95_RS01775	DR087_RS04625
