Orthogroup	MHP_ES2_genes	MHP_MHP653_genes
OG0000000	E5E95_RS02310	DR096_RS03590
OG0000000	E5E95_RS02235	DR096_RS03425
OG0000000	E5E95_RS02240	DR096_RS04410
OG0000000	E5E95_RS04040	DR096_RS04405
OG0000000	E5E95_RS02430	DR096_RS03550
OG0000000	E5E95_RS04240	DR096_RS04445
OG0000000	E5E95_RS01830	DR096_RS04160, DR096_RS02065
OG0000000	E5E95_RS04235, E5E95_RS01835	DR096_RS03340
OG0000001	E5E95_RS01300	DR096_RS01680
OG0000001	E5E95_RS01295	DR096_RS01685
OG0000001	E5E95_RS03000	DR096_RS01190
OG0000002	E5E95_RS02320	DR096_RS04275
OG0000002	E5E95_RS02315	DR096_RS02905
OG0000002	E5E95_RS02250	DR096_RS04810
OG0000002	E5E95_RS01840	DR096_RS04795
OG0000003	E5E95_RS01915	DR096_RS03690
OG0000003	E5E95_RS00930	DR096_RS04710
OG0000003	E5E95_RS04060	DR096_RS04435
OG0000003	E5E95_RS04070	DR096_RS04820
OG0000003	E5E95_RS03910	DR096_RS04825
OG0000004	E5E95_RS03235	DR096_RS00785
OG0000005	E5E95_RS00090	DR096_RS02575
OG0000005	E5E95_RS00110	DR096_RS04720
OG0000005	E5E95_RS00095	DR096_RS02565
OG0000005	E5E95_RS00100	DR096_RS02560
OG0000005	E5E95_RS00115	DR096_RS04715
OG0000006	E5E95_RS02705	DR096_RS04365
OG0000007	E5E95_RS00935	DR096_RS02415
OG0000007	E5E95_RS02300	DR096_RS03505
OG0000007	E5E95_RS00950	DR096_RS04240
OG0000007	E5E95_RS02295	DR096_RS03510
OG0000007	E5E95_RS02290	DR096_RS00630
OG0000008	E5E95_RS03930, E5E95_RS04135	DR096_RS04360
OG0000009	E5E95_RS01210	DR096_RS02300
OG0000010	E5E95_RS01970	DR096_RS00395
OG0000011	E5E95_RS02070	DR096_RS00490
OG0000011	E5E95_RS02060	DR096_RS00485
OG0000012	E5E95_RS03230	DR096_RS03685
OG0000013	E5E95_RS02610	DR096_RS04100
OG0000013	E5E95_RS03955	DR096_RS03875
OG0000014	E5E95_RS00595	DR096_RS03315
OG0000014	E5E95_RS00605	DR096_RS04790
OG0000015	E5E95_RS04195, E5E95_RS01745, E5E95_RS02450, E5E95_RS01590	DR096_RS01405
OG0000016	E5E95_RS03040	DR096_RS01150
OG0000016	E5E95_RS00160	DR096_RS00345
OG0000017	E5E95_RS00145	DR096_RS00360
OG0000017	E5E95_RS03050	DR096_RS01140
OG0000019	E5E95_RS04175	DR096_RS03940
OG0000020	E5E95_RS03770	DR096_RS03230
OG0000021	E5E95_RS00510	DR096_RS03450
OG0000022	E5E95_RS01770	DR096_RS01995
OG0000022	E5E95_RS01825	DR096_RS04665
OG0000023	E5E95_RS01335	DR096_RS01645
OG0000024	E5E95_RS02945	DR096_RS01490
OG0000024	E5E95_RS01290	DR096_RS01690
OG0000025	E5E95_RS01775	DR096_RS04660
OG0000025	E5E95_RS01820	DR096_RS02045
OG0000026	E5E95_RS01380	DR096_RS01600
OG0000026	E5E95_RS01800	DR096_RS02025
OG0000027	E5E95_RS03560	DR096_RS04770
OG0000027	E5E95_RS03575	DR096_RS04540
OG0000028	E5E95_RS02620	DR096_RS01750, DR096_RS01755
OG0000029	E5E95_RS00610	DR096_RS03330
OG0000030	E5E95_RS03550	DR096_RS04765
OG0000030	E5E95_RS03570	DR096_RS04535
OG0000031	E5E95_RS01625	DR096_RS01370
OG0000032	E5E95_RS03995	DR096_RS04610
OG0000032	E5E95_RS03565	DR096_RS00860
OG0000034	E5E95_RS04045	DR096_RS03570
OG0000034	E5E95_RS04050	DR096_RS04455
OG0000035	E5E95_RS03395	DR096_RS03635
OG0000036	E5E95_RS00120	DR096_RS02535
OG0000039	E5E95_RS01650, E5E95_RS01645	DR096_RS01385
OG0000041	E5E95_RS01205	DR096_RS02305
OG0000041	E5E95_RS00670	DR096_RS03595
OG0000042	E5E95_RS03140	DR096_RS00855
OG0000043	E5E95_RS02030	DR096_RS00455
OG0000044	E5E95_RS04290	DR096_RS04875
OG0000045	E5E95_RS01655	DR096_RS01390
OG0000046	E5E95_RS03505	DR096_RS04310
OG0000048	E5E95_RS02215	DR096_RS03530
OG0000049	E5E95_RS03260	DR096_RS00770
OG0000050	E5E95_RS02655	DR096_RS03020
OG0000051	E5E95_RS02855	DR096_RS02440
OG0000052	E5E95_RS00075	DR096_RS02830
OG0000053	E5E95_RS01465	DR096_RS04590
OG0000054	E5E95_RS02680	DR096_RS02995
OG0000055	E5E95_RS00125	DR096_RS02530
OG0000056	E5E95_RS03750	DR096_RS01045
OG0000057	E5E95_RS03125	DR096_RS01065
OG0000060	E5E95_RS01215	DR096_RS02295
OG0000061	E5E95_RS01980	DR096_RS00405
OG0000062	E5E95_RS03805	DR096_RS01775
OG0000063	E5E95_RS03800	DR096_RS04645
OG0000064	E5E95_RS03790	DR096_RS01760
OG0000065	E5E95_RS02365	DR096_RS02855
OG0000066	E5E95_RS01370	DR096_RS01610
OG0000067	E5E95_RS00525	DR096_RS03370
OG0000068	E5E95_RS00645	DR096_RS03280
OG0000069	E5E95_RS03015	DR096_RS01175
OG0000070	E5E95_RS02685	DR096_RS02990
OG0000071	E5E95_RS03485	DR096_RS03055
OG0000072	E5E95_RS03490	DR096_RS04730
OG0000073	E5E95_RS00705	DR096_RS02090
OG0000074	E5E95_RS00900	DR096_RS04705
OG0000075	E5E95_RS00340	DR096_RS00165
OG0000077	E5E95_RS00445	DR096_RS00060
OG0000078	E5E95_RS01790	DR096_RS02015
OG0000079	E5E95_RS02760	DR096_RS02960
OG0000080	E5E95_RS03935	DR096_RS04245
OG0000081	E5E95_RS00335	DR096_RS00170
OG0000082	E5E95_RS02605	DR096_RS01735
OG0000083	E5E95_RS02140	DR096_RS00560
OG0000084	E5E95_RS02165	DR096_RS00585
OG0000085	E5E95_RS02170	DR096_RS00590
OG0000086	E5E95_RS02180	DR096_RS00600
OG0000087	E5E95_RS02195	DR096_RS00615
OG0000088	E5E95_RS02200	DR096_RS00620
OG0000089	E5E95_RS02210	DR096_RS03525
OG0000090	E5E95_RS00070	DR096_RS02835
OG0000091	E5E95_RS00055	DR096_RS01865
OG0000092	E5E95_RS00040	DR096_RS01850
OG0000093	E5E95_RS00035	DR096_RS01845
OG0000094	E5E95_RS00030	DR096_RS01840
OG0000095	E5E95_RS00005	DR096_RS01815
OG0000096	E5E95_RS03840	DR096_RS01810
OG0000097	E5E95_RS03820	DR096_RS01790
OG0000098	E5E95_RS03810	DR096_RS01780
OG0000099	E5E95_RS03760	DR096_RS03485
OG0000100	E5E95_RS03740	DR096_RS01035
OG0000101	E5E95_RS03735	DR096_RS01030
OG0000102	E5E95_RS01815	DR096_RS02040
OG0000103	E5E95_RS02330	DR096_RS02890
OG0000104	E5E95_RS02335	DR096_RS02885
OG0000105	E5E95_RS02350	DR096_RS02870
OG0000106	E5E95_RS02360	DR096_RS02860
OG0000107	E5E95_RS02370	DR096_RS02850
OG0000108	E5E95_RS02375	DR096_RS02845
OG0000109	E5E95_RS02380	DR096_RS02840
