Orthogroup	MHP_ES2_genes	MHP_KM014_genes
OG0000000	E5E95_RS02235	CIB43_RS03015
OG0000000	E5E95_RS02230	CIB43_RS03010
OG0000000	E5E95_RS01830	CIB43_RS02595, CIB43_RS02600
OG0000001	E5E95_RS01295	CIB43_RS02150
OG0000001	E5E95_RS03000	CIB43_RS03715
OG0000001	E5E95_RS04155, E5E95_RS04150	CIB43_RS03670
OG0000002	E5E95_RS02320	CIB43_RS03100
OG0000002	E5E95_RS01840	CIB43_RS02610
OG0000003	E5E95_RS00505	CIB43_RS01390
OG0000003	E5E95_RS03910	CIB43_RS02725
OG0000004	E5E95_RS03410	CIB43_RS00290
OG0000004	E5E95_RS03400	CIB43_RS00275
OG0000004	E5E95_RS03235	CIB43_RS00110
OG0000005	E5E95_RS00090	CIB43_RS00810
OG0000005	E5E95_RS00110	CIB43_RS00830
OG0000006	E5E95_RS02705	CIB43_RS03435
OG0000006	E5E95_RS02445, E5E95_RS04120, E5E95_RS04115	CIB43_RS03420
OG0000007	E5E95_RS02300	CIB43_RS03095
OG0000007	E5E95_RS02295	CIB43_RS03080
OG0000007	E5E95_RS02290	CIB43_RS03075
OG0000008	E5E95_RS03925, E5E95_RS04080	CIB43_RS03225
OG0000009	E5E95_RS00680	CIB43_RS01550
OG0000010	E5E95_RS01970	CIB43_RS02735
OG0000011	E5E95_RS02065	CIB43_RS02845
OG0000011	E5E95_RS02070	CIB43_RS02850
OG0000012	E5E95_RS03230	CIB43_RS00860, CIB43_RS03990, CIB43_RS02750
OG0000014	E5E95_RS00595	CIB43_RS01485
OG0000014	E5E95_RS01105	CIB43_RS01955
OG0000015	E5E95_RS02450	CIB43_RS01220
OG0000016	E5E95_RS03040	CIB43_RS03755
OG0000017	E5E95_RS00145	CIB43_RS00855
OG0000017	E5E95_RS03050	CIB43_RS03765
OG0000018	E5E95_RS02480	CIB43_RS01185
OG0000019	E5E95_RS04175	CIB43_RS00115
OG0000019	E5E95_RS04180	CIB43_RS03950, CIB43_RS00005
OG0000021	E5E95_RS01875	CIB43_RS01400
OG0000021	E5E95_RS03845	CIB43_RS02635
OG0000022	E5E95_RS01825	CIB43_RS02590
OG0000023	E5E95_RS01720, E5E95_RS04100, E5E95_RS04110, E5E95_RS04105	CIB43_RS01195
OG0000024	E5E95_RS01290	CIB43_RS02140
OG0000025	E5E95_RS01820	CIB43_RS02585
OG0000026	E5E95_RS01800	CIB43_RS02565
OG0000027	E5E95_RS03575	CIB43_RS00440
OG0000028	E5E95_RS02625	CIB43_RS03340
OG0000028	E5E95_RS02620	CIB43_RS03325
OG0000030	E5E95_RS03570	CIB43_RS00435
OG0000035	E5E95_RS03405	CIB43_RS00280
OG0000035	E5E95_RS03395	CIB43_RS00270
OG0000037	E5E95_RS04000	CIB43_RS02465
OG0000038	E5E95_RS01910, E5E95_RS00500, E5E95_RS01865	CIB43_RS02625
OG0000039	E5E95_RS01650, E5E95_RS01645	CIB43_RS02500
OG0000041	E5E95_RS00670	CIB43_RS03980
OG0000042	E5E95_RS03140	CIB43_RS03855
OG0000043	E5E95_RS02030	CIB43_RS02825
OG0000043	E5E95_RS02030	CIB43_RS00070
OG0000045	E5E95_RS01655	CIB43_RS02520
OG0000047	E5E95_RS04090	CIB43_RS01205
OG0000048	E5E95_RS02215	CIB43_RS02995
OG0000049	E5E95_RS03260	CIB43_RS00150
OG0000051	E5E95_RS02855	CIB43_RS03575
OG0000052	E5E95_RS00075	CIB43_RS00775
OG0000053	E5E95_RS01465	CIB43_RS02315
OG0000054	E5E95_RS02680	CIB43_RS03395
OG0000055	E5E95_RS00125	CIB43_RS00835
OG0000056	E5E95_RS03750	CIB43_RS00630, CIB43_RS03960
OG0000057	E5E95_RS03125	CIB43_RS03840
OG0000058	E5E95_RS01660	CIB43_RS01140
OG0000058	E5E95_RS02525	CIB43_RS01145
OG0000059	E5E95_RS02510	CIB43_RS00080, CIB43_RS01165
OG0000060	E5E95_RS01215, E5E95_RS00080	CIB43_RS00780
OG0000061	E5E95_RS01980	CIB43_RS02745
OG0000062	E5E95_RS03805	CIB43_RS00675
OG0000063	E5E95_RS03800	CIB43_RS00660
OG0000064	E5E95_RS03790	CIB43_RS00650
OG0000065	E5E95_RS02365	CIB43_RS03145
OG0000068	E5E95_RS00645	CIB43_RS01520
OG0000069	E5E95_RS03015	CIB43_RS03740
OG0000070	E5E95_RS02685	CIB43_RS03400
OG0000071	E5E95_RS03485	CIB43_RS00360
OG0000072	E5E95_RS03490	CIB43_RS00375
OG0000073	E5E95_RS00705	CIB43_RS01580
OG0000075	E5E95_RS00340	CIB43_RS01060
OG0000077	E5E95_RS00445	CIB43_RS01330
OG0000078	E5E95_RS01790	CIB43_RS02560
OG0000079	E5E95_RS02760	CIB43_RS03480
OG0000080	E5E95_RS03935	CIB43_RS03525
OG0000081	E5E95_RS00335	CIB43_RS01055
OG0000082	E5E95_RS02605	CIB43_RS03315
OG0000083	E5E95_RS02140	CIB43_RS02935
OG0000084	E5E95_RS02165	CIB43_RS02955
OG0000086	E5E95_RS02180	CIB43_RS02970
OG0000087	E5E95_RS02195	CIB43_RS02975
OG0000088	E5E95_RS02200	CIB43_RS02980
OG0000089	E5E95_RS02210	CIB43_RS02990
OG0000090	E5E95_RS00070	CIB43_RS00770
OG0000091	E5E95_RS00055	CIB43_RS00760
OG0000092	E5E95_RS00040	CIB43_RS00745
OG0000093	E5E95_RS00035	CIB43_RS00735
OG0000094	E5E95_RS00030	CIB43_RS00730
OG0000095	E5E95_RS00005	CIB43_RS00715
OG0000096	E5E95_RS03840	CIB43_RS00700
OG0000097	E5E95_RS03820	CIB43_RS00690
OG0000100	E5E95_RS03740	CIB43_RS00610
OG0000101	E5E95_RS03735	CIB43_RS00600
OG0000102	E5E95_RS01815	CIB43_RS02580
OG0000103	E5E95_RS02330	CIB43_RS03110
OG0000104	E5E95_RS02335	CIB43_RS03120
OG0000105	E5E95_RS02350	CIB43_RS03130
