Orthogroup	MHP_ES2_genes	MHP_UFV02_genes
OG0000000	E5E95_RS02310	FEF31_RS01935
OG0000000	E5E95_RS02240	FEF31_RS01875
OG0000000	E5E95_RS04075	FEF31_RS04515
OG0000000	E5E95_RS02230	FEF31_RS01860
OG0000000	E5E95_RS02430	FEF31_RS02055
OG0000000	E5E95_RS01830	FEF31_RS01380, FEF31_RS01385
OG0000001	E5E95_RS01300	FEF31_RS00940
OG0000001	E5E95_RS01295	FEF31_RS00935
OG0000001	E5E95_RS03000	FEF31_RS02540
OG0000001	E5E95_RS04150	FEF31_RS02490
OG0000002	E5E95_RS02320	FEF31_RS01945
OG0000002	E5E95_RS02315	FEF31_RS01940
OG0000002	E5E95_RS02250	FEF31_RS04505
OG0000002	E5E95_RS01840	FEF31_RS04455
OG0000003	E5E95_RS01870	FEF31_RS01515
OG0000003	E5E95_RS01915	FEF31_RS04365
OG0000003	E5E95_RS04070	FEF31_RS04510
OG0000003	E5E95_RS03910	FEF31_RS01590
OG0000004	E5E95_RS03410	FEF31_RS03760
OG0000004	E5E95_RS03425	FEF31_RS03775
OG0000005	E5E95_RS00090	FEF31_RS03370
OG0000005	E5E95_RS00110	FEF31_RS04665
OG0000005	E5E95_RS00095	FEF31_RS04660
OG0000005	E5E95_RS00100	FEF31_RS03380
OG0000005	E5E95_RS00115	FEF31_RS04670
OG0000006	E5E95_RS02705	FEF31_RS02230
OG0000006	E5E95_RS04120, E5E95_RS04115	FEF31_RS02090
OG0000007	E5E95_RS02300	FEF31_RS01925
OG0000007	E5E95_RS02295	FEF31_RS01915
OG0000007	E5E95_RS02290	FEF31_RS01910
OG0000008	E5E95_RS03925, E5E95_RS04080	FEF31_RS02050
OG0000008	E5E95_RS03905	FEF31_RS01300
OG0000008	E5E95_RS03930, E5E95_RS04135	FEF31_RS02250
OG0000009	E5E95_RS00665	FEF31_RS00325
OG0000009	E5E95_RS01210	FEF31_RS00845
OG0000009	E5E95_RS00680	FEF31_RS00335
OG0000010	E5E95_RS01970	FEF31_RS01600
OG0000010	E5E95_RS01575	FEF31_RS04440
OG0000011	E5E95_RS02070	FEF31_RS01695
OG0000011	E5E95_RS02060	FEF31_RS01690
OG0000012	E5E95_RS02435, E5E95_RS03230	FEF31_RS02235
OG0000013	E5E95_RS02610	FEF31_RS02135
OG0000013	E5E95_RS03955	FEF31_RS03455
OG0000014	E5E95_RS00595	FEF31_RS00255
OG0000014	E5E95_RS01105	FEF31_RS00745
OG0000014	E5E95_RS00605	FEF31_RS04375
OG0000015	E5E95_RS01745	FEF31_RS01295
OG0000016	E5E95_RS03040	FEF31_RS02580
OG0000016	E5E95_RS00160	FEF31_RS03440
OG0000017	E5E95_RS00145	FEF31_RS03425
OG0000017	E5E95_RS03050	FEF31_RS02590
